"pwsid","a_int.dwater","pw_ext_pop.disability"
"AZ0407121",NA,295
"AZ0407128",NA,1021
"AZ0407150",0,6276
"AZ0407154",NA,2384
"AZ0407167",0,10
"AZ0407169",0,91
"AZ0407179",NA,10
"AZ0407195",1,141
"AZ0407280",0,3
"AZ0407286",2,9
"AZ0407296",1,NA
"AZ0407305",0,170
"AZ0407307",0,24
"AZ0407343",6,9
"AZ0407366",0,0
"AZ0407392",4,13
"AZ0407409",2,228
"AZ0407411",1,NA
"AZ0407482",0,12
"AZ0407484",5,NA
"AZ0407492",24,1
"AZ0407493",0,NA
"AZ0407500",0,5750
"AZ0407504",NA,2556
"AZ0407511",0,6
"AZ0407517",0,61
"AZ0407523",0,153
"AZ0407524",2,NA
"AZ0407526",0,605
"AZ0407528",0,44
"AZ0407531",5,1241
"AZ0407532",0,285
"AZ0407555",6,15
"AZ0407618",0,27
"AZ0407621",0,30
"AZ0407624",0,40
"AZ0407633",0,5
"AZ0407660",1,5
"AZ0407670",0,41
"AZ0407671",23,6
"AZ0407677",0,27
"AZ0407682",0,59
"AZ0407695",NA,14191
"AZ0407700",0,0
"AZ0407713",0,NA
"AZ0407732",5,11
"AZ0407733",0,38
"AZ0407736",0,38
"AZ0407765",NA,922
"AZ0407900",24,17
"AZ0407903",0,7
"AZ0408001",3,13
"AZ0408005",0,60
"AZ0408006",2,13
"AZ0408014",4,25
"AZ0408015",1,627
"AZ0408017",1,288
"AZ0408018",10,NA
"AZ0408020",2,10968
"AZ0408021",2,105
"AZ0408022",1,9645
"AZ0408024",0,435
"AZ0408026",0,33
"AZ0408032",3,7513
"AZ0408035",2,720
"AZ0408037",0,19
"AZ0408038",0,1510
"AZ0408039",3,29
"AZ0408040",0,139
"AZ0408041",1,121
"AZ0408042",4,11
"AZ0408046",39,45
"AZ0408057",1,NA
"AZ0408059",5,219
"AZ0408062",3,186
"AZ0408063",0,4306
"AZ0408064",28,NA
"AZ0408066",1,NA
"AZ0408068",3,906
"AZ0408072",2,31
"AZ0408078",1,81
"AZ0408080",1,8
"AZ0408081",1,1098
"AZ0408082",NA,10
"AZ0408089",1,NA
"AZ0408090",1,45
"AZ0408093",2,13
"AZ0408122",1,53
"AZ0408127",2,NA
"AZ0408129",0,53
"AZ0408133",0,377
"AZ0408137",1,90
"AZ0408138",1,218
"AZ0408142",1,NA
"AZ0408149",3,25
"AZ0408150",3,31
"AZ0408164",28,NA
"AZ0408173",1,0
"AZ0408174",10,67
"AZ0408177",5,76
"AZ0408178",3,4
"AZ0408184",3,326
"AZ0408333",1,65
"AZ0408341",1,98
"AZ0408342",2,9
"AZ0408701",10,9
"AZ0409000",1,3
"AZ0409001",0,3
"AZ0409003",0,1306
"AZ0409004",1,894
"AZ0409005",1,52
"AZ0409009",2,44
"AZ0409013",1,19
"AZ0409014",1,73
"AZ0409015",1,858
"AZ0409016",5,194
"AZ0409017",0,112
"AZ0409018",0,96
"AZ0409021",0,296
"AZ0409023",1,90
"AZ0409024",1,15
"AZ0409026",1,2056
"AZ0409028",1,10
"AZ0409029",2,764
"AZ0409030",1,36
"AZ0409031",6,507
"AZ0409032",2,6
"AZ0409034",1,236
"AZ0409035",4,1422
"AZ0409036",0,13
"AZ0409039",1,15
"AZ0409040",2,1
"AZ0409041",2,10
"AZ0409046",5,1
"AZ0409049",1,7
"AZ0409050",1,12
"AZ0409060",0,34
"AZ0409074",1,NA
"AZ0409075",1,2
"AZ0409086",6,NA
"AZ0409090",1,75
"AZ0409091",6,3
"AZ0409300",1,23
"AZ0409305",1,18
"AZ0409311",2,31
"AZ0409316",0,NA
"AZ0409329",2,16
"AZ0409330",1,35
"AZ0409343",2,2
"AZ0410001",0,13
"AZ0410002",0,17
"AZ0410003",NA,347
"AZ0410004",0,4036
"AZ0410006",0,1211
"AZ0410007",0,9
"AZ0410008",0,NA
"AZ0410011",0,NA
"AZ0410035",0,308
"AZ0410041",1,1359
"AZ0410046",0,38
"AZ0410047",0,1
"AZ0410048",0,87
"AZ0410049",0,614
"AZ0410051",0,2900
"AZ0410057",0,34
"AZ0410058",0,78
"AZ0410060",0,384
"AZ0410063",0,104
"AZ0410064",1,295
"AZ0410065",0,15
"AZ0410070",0,158
"AZ0410074",1,72
"AZ0410076",1,8556
"AZ0410092",0,464
"AZ0410093",1,96
"AZ0410095",NA,1874
"AZ0410098",0,12
"AZ0410101",1,23
"AZ0410112",NA,98849
"AZ0410117",0,38
"AZ0410118",0,15
"AZ0410119",0,53
"AZ0410123",0,21
"AZ0410127",7,170
"AZ0410128",1,255
"AZ0410132",0,2
"AZ0410136",0,8
"AZ0410138",0,329
"AZ0410139",0,359
"AZ0410140",0,9
"AZ0410142",0,139
"AZ0410144",16,5
"AZ0410150",0,1357
"AZ0410152",0,18
"AZ0410153",0,70
"AZ0410154",0,NA
"AZ0410157",1,1219
"AZ0410158",0,60
"AZ0410159",0,106
"AZ0410162",0,19
"AZ0410164",0,6152
"AZ0410169",0,908
"AZ0410171",0,93
"AZ0410173",0,592
"AZ0410175",0,724
"AZ0410177",1,375
"AZ0410178",0,6
"AZ0410179",19,3
"AZ0410187",0,0
"AZ0410188",0,29
"AZ0410199",0,4
"AZ0410206",0,NA
"AZ0410208",0,23
"AZ0410213",0,577
"AZ0410218",0,112
"AZ0410219",0,14
"AZ0410228",0,27
"AZ0410242",0,20
"AZ0410260",0,1
"AZ0410262",0,655
"AZ0410264",0,82
"AZ0410265",0,30
"AZ0410268",2,0
"AZ0410269",0,13
"AZ0410270",0,4
"AZ0410272",1,23
"AZ0410278",0,21
"AZ0410281",0,91
"AZ0410282",0,23
"AZ0410283",0,7
"AZ0410286",0,34
"AZ0410311",0,NA
"AZ0410312",0,1189
"AZ0410317",0,13
"AZ0410319",1,7
"AZ0410329",0,165
"AZ0410350",0,47
"AZ0410351",0,5
"AZ0410354",1,107
"AZ0410357",3,907
"AZ0410400",0,NA
"AZ0410402",0,NA
"AZ0410405",0,15
"AZ0410408",1,256
"AZ0410409",1,359
"AZ0410410",1,359
"AZ0410411",0,10
"AZ0410414",0,15
"AZ0410435",0,NA
"AZ0410445",0,NA
"AZ0410450",1,4
"AZ0410481",0,NA
"AZ0410701",0,7
"AZ0410810",0,6
"AZ0411003",2,10
"AZ0411004",NA,11585
"AZ0411005",2,27
"AZ0411009",NA,16641
"AZ0411012",9,157
"AZ0411017",1,1243
"AZ0411018",0,386
"AZ0411019",0,926
"AZ0411020",0,981
"AZ0411021",1,604
"AZ0411022",5,1
"AZ0411024",4,175
"AZ0411030",19,1728
"AZ0411031",4,509
"AZ0411036",18,89
"AZ0411037",2,18
"AZ0411039",0,3276
"AZ0411042",3,33
"AZ0411044",0,225
"AZ0411052",0,61
"AZ0411061",0,15
"AZ0411062",1,58
"AZ0411066",27,7
"AZ0411076",0,275
"AZ0411079",0,23
"AZ0411087",60,691
"AZ0411090",0,4
"AZ0411097",46,90
"AZ0411100",NA,327
"AZ0411111",2,34
"AZ0411115",2,83
"AZ0411117",1,1769
"AZ0411128",NA,9373
"AZ0411129",5,0
"AZ0411130",1,148
"AZ0411131",NA,6427
"AZ0411135",3,395
"AZ0411136",0,562
"AZ0411160",1,451
"AZ0411201",0,12
"AZ0411301",46,24
"AZ0411315",1,5
"AZ0411321",142,4
"AZ0411322",60,691
"AZ0411324",2,21
"AZ0411328",4,121
"AZ0411334",1,49
"AZ0411365",0,15
"AZ0411381",1,8
"AZ0411383",4,24
"AZ0411407",2,28
"AZ0411409",9,71
"AZ0411556",0,10
"AZ0411557",5,13
"AZ0411705",43,125
"AZ0411708",0,27
"AZ0411712",86,27
"AZ0412001",0,193
"AZ0412004",1,2437
"AZ0412005",1,23
"AZ0412006",0,193
"AZ0412009",1,249
"AZ0412011",2,2204
"AZ0412015",1,32
"AZ0412020",1,3
"AZ0412037",1,81
"AZ0412040",0,11
"AZ0412044",1,17
"AZ0412305",0,3
"AZ0412306",1,NA
"AZ0412308",1,5
"AZ0412311",4,7
"AZ0412321",0,9
"AZ0413001",0,594
"AZ0413008",2,109
"AZ0413010",0,120
"AZ0413011",0,3
"AZ0413012",7,720
"AZ0413015",1,1717
"AZ0413016",2,6
"AZ0413017",1,402
"AZ0413020",1,197
"AZ0413021",2,316
"AZ0413023",0,1624
"AZ0413024",1,851
"AZ0413025",0,2247
"AZ0413026",0,NA
"AZ0413027",0,2
"AZ0413028",0,2
"AZ0413029",0,9
"AZ0413030",1,25
"AZ0413034",0,25
"AZ0413035",0,1
"AZ0413036",0,32
"AZ0413037",1,103
"AZ0413038",3,74
"AZ0413039",3,309
"AZ0413040",0,36
"AZ0413041",31,82
"AZ0413042",3,59
"AZ0413043",3,4
"AZ0413044",3,45
"AZ0413045",NA,9203
"AZ0413046",1,413
"AZ0413048",0,6900
"AZ0413049",0,15
"AZ0413051",1,297
"AZ0413052",0,120
"AZ0413055",1,21
"AZ0413057",1,161
"AZ0413058",2,22
"AZ0413059",1,128
"AZ0413060",0,67
"AZ0413062",0,447
"AZ0413071",1,48
"AZ0413072",0,283
"AZ0413074",0,6
"AZ0413075",0,NA
"AZ0413077",0,49
"AZ0413078",2,77
"AZ0413079",1,405
"AZ0413096",4,10
"AZ0413103",6,30
"AZ0413104",0,568
"AZ0413105",0,228
"AZ0413106",0,493
"AZ0413108",0,13
"AZ0413109",0,2
"AZ0413113",0,NA
"AZ0413114",4,247
"AZ0413119",0,NA
"AZ0413121",0,22
"AZ0413122",1,7
"AZ0413127",0,43
"AZ0413130",2,67
"AZ0413137",0,225
"AZ0413141",NA,45
"AZ0413148",1,74
"AZ0413150",1,21
"AZ0413155",1,152
"AZ0413164",0,96
"AZ0413184",0,209
"AZ0413190",0,18
"AZ0413192",1,197
"AZ0413193",3,NA
"AZ0413202",1,197
"AZ0413208",2,103
"AZ0413221",110,31
"AZ0413247",0,60
"AZ0413248",0,0
"AZ0413256",0,2
"AZ0413258",1,8
"AZ0413263",1,91
"AZ0413264",2,NA
"AZ0413267",1,NA
"AZ0413268",0,54
"AZ0413281",110,NA
"AZ0413298",25,1
"AZ0413303",2,52
"AZ0413307",0,90
"AZ0413330",0,NA
"AZ0413338",0,NA
"AZ0413340",0,NA
"AZ0413341",0,10
"AZ0413348",4,14
"AZ0413351",0,NA
"AZ0413358",1,140
"AZ0413373",33,19
"AZ0413378",1,63
"AZ0413408",1,16
"AZ0413415",1,NA
"AZ0413419",4,NA
"AZ0413423",0,NA
"AZ0413425",1,NA
"AZ0413431",2,8
"AZ0413487",NA,10
"AZ0414001",51,12
"AZ0414003",1,43
"AZ0414004",0,5645
"AZ0414005",0,2040
"AZ0414014",6,2
"AZ0414015",NA,911
"AZ0414018",51,44
"AZ0414022",104,556
"AZ0414024",NA,11776
"AZ0414030",51,35
"AZ0414037",1,55
"AZ0414039",6,8
"AZ0414065",0,NA
"AZ0414070",7,112
"AZ0414073",35,19
"AZ0414075",35,NA
"AZ0414080",50,31
"AZ0414082",4,134
"AZ0414086",1,0
"AZ0414098",0,60
"AZ0414099",NA,375
"AZ0414107",51,12
"AZ0414322",1,12
"AZ0414391",2,14
"AZ0414403",0,52
"AZ0414432",8,2
"AZ0414442",0,23
"AZ0414463",2,23
"AZ0415002",1,11
"AZ0415006",1,55
"AZ0415010",0,127
"AZ0415011",0,15
"AZ0415021",0,27
"AZ0415023",0,148
"AZ0415026",0,19
"AZ0415027",0,76
"AZ0415029",1,25
"AZ0415038",1,93
"AZ0415040",0,11
"AZ0415058",0,86
"AZ0415096",0,49
"AZ0415122",0,NA
"AZ0415123",6,57
"AZ0415346",0,761
"AZ0415497",3,220
"AZ0415509",0,32
"AZ0415801",0,0
"AZ0420019",0,40
"AZ0420026",0,13
"AZ0420033",0,38
"AZ0420042",0,44
"AZ0420043",0,11
"AZ0420092",0,NA
"AZ0420096",0,16
"AZ0420159",0,NA
"AZ0420175",0,9
"AZ0420176",1,NA
"AZ0420197",0,6
"AZ0420205",0,27
"AZ0420419",1,7
"AZ0420420",0,47
"AZ0420439",0,317
"AZ0420443",0,109
"AZ0420445",0,52
"AZ0420475",0,NA
"AZ0420478",0,NA
"AZ0420487",0,NA
"AZ0420500",0,NA
"AZ0420529",0,NA
"AZ0420531",1,22
"AZ0420542",0,74
"AZ0420546",0,NA
"AZ0420549",NA,186
"AZ0420557",0,0
"AZ0420570",1,63
"AZ0420575",0,NA
"AZ0420595",1,228
"AZ0420597",0,17
"AZ0420598",0,5
"AZ0420600",0,10
"AZ0420602",0,172
"AZ0420606",1,359
"IA0105002",0,132
"IA0135046",0,81
"IA0140007",0,258
"IA0140701",0,36
"IA0160099",NA,11
"IA0180001",NA,263
"IA0207704",0,11
"IA0220075",0,227
"IA0345054",NA,121
"IA0370047",0,45
"IA0375053",0,171
"IA0398082",0,569
"IA0400900",NA,5074
"IA0400901",NA,1958
"IA0400902",NA,1895
"IA0407008",0,1249
"IA0410026",0,26
"IA0467008",1,86
"IA0472012",0,72
"IA0477040",0,22
"IA0505077",NA,272
"IA0510040",0,19
"IA0520030",0,107
"IA0543031",1,34
"IA0600600",0,15
"IA0603072",0,200
"IA0607013",NA,72
"IA0610099",0,259
"IA0625078",0,28
"IA0640030",0,52
"IA0650001",0,13
"IA0653050",0,86
"IA0656081",0,33
"IA0670043",0,130
"IA0680041",0,109
"IA0685045",0,62
"IA0688053",NA,826
"IA0690301",0,73
"IA0690305",0,14
"IA0709084",0,3880
"IA0717084",0,80
"IA0717353",NA,22
"IA0721014",0,0
"IA0723027",0,1089
"IA0733084",1,102
"IA0737062",0,242
"IA0743057",NA,271
"IA0790074",NA,10429
"IA0790601",0,7
"IA0800601",3,1
"IA0800923",0,0
"IA0819033",0,1529
"IA0819303",0,3
"IA0819305",0,3
"IA0819602",0,0
"IA0837701",0,4
"IA0844006",NA,2903
"IA0848015",0,275
"IA0848701",NA,474
"IA0858090",0,282
"IA0862042",0,20
"IA0900647",0,6
"IA0915030",0,163
"IA0932001",0,51
"IA0960045",0,35
"IA0965073",NA,94
"IA0970006",0,312
"IA0975032",NA,126
"IA0990085",0,1071
"IA0990990",0,1
"IA1011001",0,39
"IA1025031",0,117
"IA1031044",0,66
"IA1031601",0,1
"IA1037070",NA,722
"IA1037301",0,10
"IA1037302",0,0
"IA1044006",NA,301
"IA1051051",0,50
"IA1093031",0,123
"IA1103009",0,88
"IA1108025",0,167
"IA1145047",0,47
"IA1147085",0,20
"IA1150030",0,29
"IA1155049",1,80
"IA1170078",0,28
"IA1175056",0,105
"IA1178097",0,899
"IA1182035",0,6
"IA1203026",0,140
"IA1207061",0,93
"IA1222044",0,11
"IA1228038",0,160
"IA1240081",NA,54
"IA1253006",0,157
"IA1271058",0,57
"IA1281028",0,168
"IA1286042",NA,124
"IA1300101",0,49
"IA1320039",0,37
"IA1335001",0,4
"IA1340001",0,4
"IA1345043",0,184
"IA1351027",1,263
"IA1363051",0,70
"IA1374086",0,3
"IA1376098",NA,241
"IA1381073",0,12
"IA1389001",0,32
"IA1400902",0,49
"IA1400903",0,51
"IA1403062",0,31
"IA1409041",0,29
"IA1415072",0,1473
"IA1427070",1,118
"IA1433016",1,21
"IA1438091",0,112
"IA1444022",0,15
"IA1449053",5,9
"IA1453080",5,10
"IA1457025",0,111
"IA1471069",0,5
"IA1479015",0,37
"IA1503053",0,126
"IA1509074",NA,1174
"IA1516093",0,27
"IA1528010",0,96
"IA1535078",0,34
"IA1558055",5,45
"IA1570032",0,8
"IA1600301",0,2
"IA1600682",NA,6
"IA1603005",0,28
"IA1630028",0,109
"IA1636090",0,160
"IA1656001",NA,87
"IA1667076",0,154
"IA1681092",0,94
"IA1689022",0,545
"IA1694000",NA,169
"IA1700642",0,5
"IA1716076",NA,1242
"IA1750048",NA,3600
"IA1754073",0,23
"IA1759048",0,30
"IA1773097",0,113
"IA1778008",0,15
"IA1781019",0,44
"IA1785032",NA,112
"IA1800601",0,3
"IA1800900",NA,23
"IA1803079",NA,111
"IA1811001",0,467
"IA1811020",NA,496
"IA1817045",0,23
"IA1833060",0,16
"IA1838032",NA,136
"IA1849071",0,16
"IA1855066",0,29
"IA1880073",0,20
"IA1903027",0,17
"IA1940068",0,156
"IA1946078",0,30
"IA1957064",0,63
"IA1967041",0,274
"IA1970051",0,439
"IA2032023",0,70
"IA2038038",NA,1056
"IA2038701",1,4
"IA2109041",NA,17
"IA2115029",0,85
"IA2122067",0,35
"IA2154039",0,49
"IA2171071",0,1717
"IA2203039",4,6
"IA2220002",0,112
"IA2223011",0,288
"IA2228037",0,36
"IA2234074",0,182
"IA2242018",0,221
"IA2254061",0,28
"IA2256041",4,10
"IA2258012",4,125
"IA2258603",4,7
"IA2264095",0,149
"IA2277020",0,11
"IA2279003",0,150
"IA2285055",0,20
"IA2300607",0,5
"IA2307001",0,2
"IA2320062",NA,28
"IA2322066",0,557
"IA2324016",0,33
"IA2326048",NA,4025
"IA2328024",0,74
"IA2330036",NA,358
"IA2330301",0,9
"IA2339094",0,20
"IA2341099",0,41
"IA2346047",0,69
"IA2348002",0,31
"IA2391001",0,6
"IA2394017",NA,60
"IA2417018",0,97
"IA2421025",0,37
"IA2424027",0,1244
"IA2424701",0,0
"IA2427049",NA,89
"IA2432034",0,35
"IA2436023",0,75
"IA2446029",0,106
"IA2452044",0,64
"IA2458023",0,45
"IA2503003",0,634
"IA2520098",0,151
"IA2525010",2,10
"IA2529035",2,65
"IA2533038",NA,63
"IA2537001",1,135
"IA2547085",0,32
"IA2561036",NA,901
"IA2564074",1,69
"IA2570046",0,81
"IA2570304",0,2
"IA2573080",0,1281
"IA2573301",0,45
"IA2573701",NA,5928
"IA2576036",NA,75
"IA2576705",NA,66
"IA2613019",0,249
"IA2662064",0,28
"IA2718755",NA,21
"IA2725073",0,24
"IA2740050",0,293
"IA2742076",0,266
"IA2809055",NA,38
"IA2813019",0,9
"IA2817020",0,29
"IA2825099",0,76
"IA2835056",0,45
"IA2839021",NA,991
"IA2864013",0,26
"IA2900603",0,10
"IA2900626",0,16
"IA2909053",NA,4390
"IA2915000",0,101
"IA2948062",NA,182
"IA2952075",0,57
"IA2985002",0,292
"IA3000099",0,11
"IA3003067",0,113
"IA3045046",NA,88
"IA3050079",NA,520
"IA3060091",0,112
"IA3070078",NA,821
"IA3073001",0,16
"IA3080016",0,49
"IA3087057",NA,57
"IA3090081",0,55
"IA3100600",0,36
"IA3100606",0,21
"IA3100608",1,12
"IA3100609",0,43
"IA3100629",0,2
"IA3100823",0,3
"IA3102001",0,409
"IA3113001",0,5
"IA3118080",NA,147
"IA3122301",1,7
"IA3126052",0,7236
"IA3126303",0,11
"IA3126304",0,2
"IA3126306",0,5
"IA3126603",1,35
"IA3126605",0,21
"IA3130091",NA,318
"IA3133033",0,166
"IA3135018",0,148
"IA3146055",0,27
"IA3158001",0,15
"IA3165014",0,35
"IA3170001",0,178
"IA3170302",0,32
"IA3170335",0,5
"IA3189001",0,31
"IA3203066",0,153
"IA3203301",0,2
"IA3215044",0,9
"IA3218024",0,1012
"IA3225701",0,13
"IA3275087",0,64
"IA3290060",0,21
"IA3307065",0,50
"IA3317047",NA,68
"IA3338010",NA,84
"IA3342041",0,154
"IA3346037",0,44
"IA3350059",0,59
"IA3353088",0,1390
"IA3371056",0,22
"IA3375001",0,20
"IA3379009",0,23
"IA3383014",0,305
"IA3405012",0,1172
"IA3409066",0,5
"IA3414044",0,21
"IA3420031",0,43
"IA3423069",0,213
"IA3430091",0,136
"IA3440007",0,54
"IA3500933",0,4
"IA3503014",0,6
"IA3525079",2,14
"IA3539080",0,14
"IA3544024",0,387
"IA3544301",0,12
"IA3549026",0,7
"IA3554061",0,24
"IA3570037",0,112
"IA3615040",0,58
"IA3621023",11,140
"IA3649072",6,24
"IA3655071",0,31
"IA3661048",0,151
"IA3667012",0,128
"IA3671021",0,18
"IA3709001",0,39
"IA3730098",1,88
"IA3742004",0,824
"IA3759031",0,54
"IA3803094",0,25
"IA3809067",0,166
"IA3815042",0,102
"IA3833013",0,242
"IA3839052",0,14
"IA3870073",0,123
"IA3880001",0,15
"IA3890097",0,57
"IA3900301",1,202
"IA3907092",5,33
"IA3914081",0,31
"IA3937016",0,207
"IA3949000",2,21
"IA3971026",0,1
"IA3980040",0,29
"IA4003012",0,15
"IA4009016",0,46
"IA4027010",0,103
"IA4039071",0,13
"IA4045090",0,48
"IA4051002",NA,79
"IA4063094",0,1261
"IA4070022",0,30
"IA4103045",0,308
"IA4109077",1,29
"IA4115092",0,38
"IA4130075",0,358
"IA4135093",0,23
"IA4150014",0,92
"IA4155035",0,74
"IA4170033",1,22
"IA4201001",NA,256
"IA4213013",0,80
"IA4236005",0,321
"IA4254061",0,78
"IA4260097",0,738
"IA4260602",0,23
"IA4271062",0,19
"IA4271901",0,5
"IA4283067",0,60
"IA4289094",0,41
"IA4291038",NA,38
"IA4300600",1,5
"IA4300601",2,8
"IA4316087",NA,124
"IA4333089",0,22
"IA4337092",0,173
"IA4341017",0,12
"IA4344088",NA,453
"IA4347093",0,31
"IA4349094",0,35
"IA4364044",0,26
"IA4388034",0,166
"IA4425032",0,16
"IA4453016",NA,1362
"IA4453318",0,13
"IA4453901",NA,309
"IA4458060",0,206
"IA4465093",0,25
"IA4475001",0,14
"IA4478023",0,49
"IA4490091",0,125
"IA4493028",0,135
"IA4509024",0,10
"IA4515087",0,397
"IA4525017",0,48
"IA4535081",0,44
"IA4552063",0,26
"IA4558001",0,83
"IA4609028",0,45
