"pwsid","a_int.dwater","pw_ext_pop.disability"
"AK2220139",0,NA
"AK2220146",NA,45
"AK2220153",2,118
"AK2220169",0,NA
"AK2220170",2,14
"AK2220173",19,172
"AK2220215",NA,11
"AK2220310",0,8
"AK2220408",0,8
"AK2220439",0,NA
"AK2220473",0,NA
"AK2220482",0,NA
"AK2220485",NA,32
"AK2220488",10,6
"AK2220493",1,0
"AK2220495",0,4
"AK2221208",1,4
"AK2221834",0,115
"AK2222848",0,8
"AK2223145",NA,9
"AK2223315",7,NA
"AK2223624",3,12
"AK2223983",9,7
"AK2224028",0,44
"AK2224036",0,11
"AK2224078",0,11
"AK2224117",NA,86
"AK2224159",12,8
"AK2224167",0,131
"AK2224214",0,25
"AK2224256",NA,13
"AK2224329",0,7
"AK2224337",7,19
"AK2224476",0,NA
"AK2224646",NA,4147
"AK2225032",0,14
"AK2225511",1,11
"AK2226014",0,7
"AK2226020",NA,2039
"AK2226021",0,12
"AK2226035",NA,NA
"AK2226051",1,0
"AK2226057",0,2
"AK2227199",0,67
"AK2227204",0,58
"AK2227212",0,7
"AK2227220",0,21
"AK2227547",0,8
"AK2240448",NA,897
"AK2240456",0,593
"AK2240464",28,34
"AK2240472",5,11
"AK2240498",28,15
"AK2240707",28,35
"AK2240757",0,91
"AK2241020",0,26
"AK2241054",NA,1434
"AK2241062",32,1
"AK2241088",15,8
"AK2241101",32,NA
"AK2241648",NA,22
"AK2243103",27,17
"AK2243137",27,2
"AK2243658",64,10
"AK2243771",17,5
"AK2244955",0,27
"AK2247490",0,74
"AK2247953",0,1
"AK2249028",27,NA
"AK2249099",0,11
"AK2249434",64,7
"AK2250011",1,979
"AK2250037",56,2
"AK2250045",0,9
"AK2250053",0,3
"AK2250061",56,12
"AK2250087",56,0
"AK2250126",5,5
"AK2250134",56,1
"AK2260032",52,7
"AK2260040",52,3
"AK2260058",10,7
"AK2260066",61,6
"AK2260074",10,9
"AK2260090",52,56
"AK2260163",7,74
"AK2260197",11,196
"AK2260202",52,4
"AK2260228",61,9
"AK2260244",6,73
"AK2260252",0,NA
"AK2260260",61,12
"AK2260286",10,53
"AK2260294",27,60
"AK2260309",NA,132
"AK2260325",52,29
"AK2260333",24,9
"AK2260359",61,3
"AK2260367",52,26
"AK2260414",0,3
"AK2260595",10,22
"AK2260804",6,3
"AK2260812",61,2
"AK2260820",13,36
"AK2261096",61,NA
"AK2261444",61,1
"AK2262199",0,3
"AK2262238",61,4
"AK2262246",52,8
"AK2263006",61,2
"AK2263014",24,2
"AK2270150",7,38
"AK2270168",22,10
"AK2270176",7,99
"AK2270184",11,82
"AK2270207",63,30
"AK2270215",77,69
"AK2270223",24,20
"AK2270257",51,10
"AK2270273",22,67
"AK2270281",51,55
"AK2270299",63,113
"AK2270312",11,115
"AK2270320",11,130
"AK2270338",21,65
"AK2270346",8,304
"AK2270362",63,23
"AK2270613",77,56
"AK2270697",17,5
"AK2270736",21,28
"AK2271025",21,66
"AK2271033",13,5
"AK2271041",51,106
"AK2271059",51,1
"AK2271148",9,21
"AK2271211",21,8
"AK2271562",77,3
"AK2271700",21,5
"AK2271874",17,1
"AK2271999",7,398
"AK2272004",63,83
"AK2272005",24,63
"AK2272012",17,8
"AK2272017",24,45
"AK2272747",24,92
"AK2272750",7,16
"AK2280040",80,6
"AK2280066",80,29
"AK2280074",80,18
"AK2280155",80,58
"AK2280171",80,13
"AK2280302",17,5
"AK2291130",5,0
"AK2291211",0,6
"AK2291229",0,60
"AK2291499",3,41
"AK2291952",5,0
"AK2292099",3,39
"AK2293205",0,124
"AK2298002",2,4
"AK2298103",NA,710
"AK2300159",44,16
"AK2300183",42,4
"AK2300191",0,24
"AK2300214",21,16
"AK2300272",25,2
"AK2300484",7,1
"AK2300769",1,1
"AK2300816",25,16
"AK2310277",4,3
"AK2310675",NA,515
"AK2310683",0,3
"AK2310714",0,82
"AK2310730",0,3457
"AK2310803",0,2
"AK2310837",6,7
"AK2310853",NA,4
"AK2310879",1,1
"AK2310895",0,10
"AK2310900",NA,1334
"AK2310918",0,125
"AK2310926",11,133
"AK2310934",0,NA
"AK2312415",12,2
"AK2312813",NA,57
"AK2313233",0,39
"AK2320078",2,698
"AK2320086",0,37
"AK2320094",0,19
"AK2320248",0,23
"AK2320256",0,19
"AK2320264",0,42
"AK2320426",0,62
"AK2340010",3,306
"AK2340060",115,329
"AK2340109",1,65
"AK2340117",38,43
"AK2340125",4,54
"AK2340159",38,27
"AK2340167",5,29
"AK2340183",5,39
"AK2340191",5,2
"AK2340214",5,3
"AK2340222",4,18
"AK2340230",1,43
"AK2340248",5,27
"AK2340337",5,30
"AK2340345",5,33
"AK2340361",21,26
"AK2340379",13,79
"AK2340387",5,67
"AK2340418",5,16
"AK2340442",5,23
"AK2340492",5,42
"AK2340507",5,20
"AK2340565",21,1
"AK2340751",5,68
"AK2350235",0,32
"AK2360109",44,19
"AK2360141",1,21
"AK2360159",71,4
"AK2360214",1,11
"AK2360230",42,NA
"AK2360256",1,83
"AK2360272",71,85
"AK2360442",44,4
"AK2360785",1,13
"AK2360816",44,4
"AK2360866",25,18
"AK2370625",NA,142
"AK2370780",0,37
"AK2372075",0,2
"AK2380214",3,7
"AK2380329",NA,4
"AK2380531",0,24
"AK2380638",0,30
"AK2381422",0,3
"AK2381498",3,7
"AK2382096",0,24
"AK2390065",7,46
"AK2390586",6,11
"AK2390756",0,12
"040000002",0,61
"AL0000001",NA,123
"AL0000002",9,113
"AL0000003",0,23
"AL0000013",2,383
"AL0000017",NA,5949
"AL0000023",NA,1750
"AL0000025",1,472
"AL0000028",0,127
"AL0000029",1,3253
"AL0000035",NA,3605
"AL0000036",0,3036
"AL0000038",NA,1746
"AL0000048",NA,694
"AL0000053",2,1072
"AL0000061",28,1097
"AL0000065",12,84
"AL0000068",2,1220
"AL0000073",0,61
"AL0000079",0,187
"AL0000081",0,1
"AL0000082",1,116
"AL0000083",1,73
"AL0000085",NA,1605
"AL0000087",0,62
"AL0000088",0,72
"AL0000089",0,3
"AL0000091",0,1114
"AL0000092",0,474
"AL0000093",NA,1115
"AL0000095",0,11
"AL0000097",NA,310
"AL0000098",0,103
"AL0000100",NA,196
"AL0000101",0,126
"AL0000102",0,2
"AL0000103",NA,1261
"AL0000104",0,574
"AL0000108",NA,273
"AL0000116",1,68
"AL0000117",NA,7
"AL0000118",0,412
"AL0000122",0,70
"AL0000123",0,238
"AL0000125",NA,1082
"AL0000128",0,91
"AL0000131",NA,526
"AL0000133",NA,9129
"AL0000149",NA,86
"AL0000154",0,2572
"AL0000161",0,290
"AL0000162",0,2918
"AL0000164",NA,1112
"AL0000168",NA,1850
"AL0000174",NA,2092
"AL0000177",0,494
"AL0000178",0,603
"AL0000179",0,1406
"AL0000180",NA,91
"AL0000187",NA,428
"AL0000188",NA,816
"AL0000189",NA,139
"AL0000213",1,1794
"AL0000219",0,654
"AL0000221",0,152
"AL0000229",0,597
"AL0000232",0,376
"AL0000233",0,9
"AL0000234",1,101
"AL0000237",0,45
"AL0000243",0,63
"AL0000244",NA,1
"AL0000245",0,58
"AL0000252",0,53
"AL0000254",10,35
"AL0000255",5,305
"AL0000256",0,987
"AL0000257",0,66
"AL0000262",21,606
"AL0000264",0,271
"AL0000266",0,45
"AL0000268",0,481
"AL0000270",0,11
"AL0000277",0,25
"AL0000279",0,466
"AL0000283",0,139
"AL0000295",30,703
"AL0000296",32,4846
"AL0000298",0,16
"AL0000299",NA,86
"AL0000302",6,211
"AL0000311",0,159
"AL0000314",NA,77
"AL0000316",NA,108
"AL0000318",0,36
"AL0000319",22,99
"AL0000320",0,429
"AL0000321",0,2060
"AL0000327",1,2084
"AL0000329",0,15
"AL0000331",0,1646
"AL0000337",0,138
"AL0000338",0,518
"AL0000339",19,17
"AL0000341",0,3
"AL0000344",0,55
"AL0000351",0,279
"AL0000352",0,84
"AL0000353",0,61
"AL0000354",0,330
"AL0000356",11,1837
"AL0000361",NA,82
"AL0000364",NA,50
"AL0000368",10,32
"AL0000372",NA,88
"AL0000375",NA,1171
"AL0000378",20,70
"AL0000379",NA,43
"AL0000384",0,7
"AL0000385",17,162
"AL0000387",NA,43
"AL0000388",0,5
"AL0000390",0,341
"AL0000392",0,55
"AL0000393",0,12
"AL0000394",NA,1936
"AL0000397",0,8
"AL0000402",0,1340
"AL0000404",2,129
"AL0000406",0,787
"AL0000408",0,1156
"AL0000409",0,266
"AL0000413",NA,491
"AL0000414",NA,41
"AL0000415",NA,96
"AL0000416",0,89
"AL0000420",1,1173
"AL0000436",2,602
"AL0000438",NA,342
"AL0000439",NA,239
"AL0000441",NA,3191
"AL0000443",0,88
"AL0000463",1,516
"AL0000482",NA,481
"AL0000484",0,34
"AL0000490",NA,3407
"AL0000491",0,21
"AL0000500",NA,14
"AL0000506",0,161
"AL0000508",NA,168
"AL0000509",NA,1758
"AL0000523",NA,28
"AL0000533",0,239
"AL0000535",4,961
"AL0000537",1,NA
"AL0000539",25,1301
"AL0000540",0,606
"AL0000546",0,18
"AL0000547",NA,3988
"AL0000548",2,892
"AL0000549",2,616
"AL0000551",0,973
"AL0000553",2,1776
"AL0000555",NA,896
"AL0000558",13,816
"AL0000559",0,345
"AL0000561",1,112
"AL0000563",2,53
"AL0000566",0,33
"AL0000570",0,30
"AL0000571",NA,132
"AL0000572",NA,966
"AL0000573",3,48
"AL0000575",NA,23
"AL0000577",23,5747
"AL0000578",4,593
"AL0000580",0,153
"AL0000581",3,797
"AL0000582",0,77
"AL0000583",10,17
"AL0000587",5,262
"AL0000588",1,1677
"AL0000589",0,70
"AL0000591",74,1073
"AL0000592",1,96
"AL0000594",NA,1154
"AL0000595",0,70
"AL0000596",0,182
"AL0000597",0,1044
"AL0000598",1,27
"AL0000604",1,50
"AL0000606",0,228
"AL0000607",28,710
"AL0000610",0,1314
"AL0000612",0,19
"AL0000615",NA,11
"AL0000622",0,1314
"AL0000624",21,451
"AL0000626",0,93
"AL0000628",NA,371
"AL0000629",0,503
"AL0000636",0,507
"AL0000643",NA,45
"AL0000645",NA,862
"AL0000651",0,621
"AL0000657",31,578
"AL0000663",0,219
"AL0000664",0,420
"AL0000666",0,72
"AL0000669",0,24
"AL0000671",0,399
"AL0000676",NA,80
"AL0000677",0,183
"AL0000678",0,216
"AL0000681",NA,12634
"AL0000685",2,49
"AL0000689",0,247
"AL0000693",NA,235
"AL0000702",0,412
"AL0000708",0,97
"AL0000713",1,654
"AL0000717",0,218
"AL0000726",NA,117
"AL0000728",NA,682
"AL0000729",NA,2825
"AL0000732",22,410
"AL0000737",NA,13243
"AL0000738",NA,81541
"AL0000741",0,163
"AL0000748",0,1505
"AL0000751",0,1095
"AL0000753",0,2449
"AL0000755",NA,735
"AL0000761",0,2667
"AL0000763",NA,231
"AL0000765",NA,214
"AL0000767",21,49
"AL0000769",0,52
"AL0000770",0,165
"AL0000772",43,401
"AL0000773",NA,431
"AL0000777",NA,136
"AL0000783",NA,8983
"AL0000788",0,136
"AL0000789",NA,310
"AL0000794",0,320
"AL0000798",NA,1951
"AL0000800",1,193
"AL0000801",0,197
"AL0000804",2,5503
"AL0000805",5,730
"AL0000814",0,482
"AL0000816",0,4476
"AL0000820",NA,4316
"AL0000824",NA,3457
"AL0000831",0,56
"AL0000833",NA,7084
"AL0000846",0,262
"AL0000847",3,171
"AL0000852",0,15
"AL0000853",NA,118
"AL0000858",1,69
"AL0000860",2,3
"AL0000862",0,172
"AL0000865",1,27
"AL0000867",1,77
"AL0000870",NA,1189
"AL0000878",1,42
"AL0000882",NA,28301
"AL0000885",0,6
"AL0000888",NA,7908
"AL0000893",0,488
"AL0000897",NA,414
"AL0000899",NA,41
"AL0000904",1,134
"AL0000905",0,294
"AL0000908",NA,1609
"AL0000909",0,35
"AL0000914",0,331
"AL0000918",0,9
"AL0000919",0,62
"AL0000920",NA,202
"AL0000921",NA,101
"AL0000924",0,444
"AL0000925",0,143
"AL0000926",22,1590
"AL0000929",1,28
"AL0000930",1,1116
"AL0000933",0,2670
"AL0000934",NA,1346
"AL0000935",0,117
"AL0000936",NA,1678
"AL0000940",0,313
"AL0000943",1,1658
"AL0000945",NA,419
"AL0000947",NA,433
"AL0000949",NA,176
"AL0000951",NA,776
"AL0000957",31,399
"AL0000967",NA,3354
"AL0000971",2,243
"AL0000983",23,411
"AL0000993",11,110
"AL0000994",29,83
"AL0001002",NA,5738
"AL0001005",NA,31203
"AL0001006",4,314
"AL0001015",5,3711
"AL0001021",24,2243
"AL0001022",25,1112
"AL0001031",NA,2244
"AL0001044",0,21
"AL0001046",15,236
"AL0001047",7,171
"AL0001050",0,46
"AL0001052",1,1027
"AL0001056",3,57
"AL0001070",0,34017
"AL0001071",0,4
"AL0001072",0,3
"AL0001073",0,124
"AL0001074",0,20
"AL0001077",0,11
"AL0001078",0,19
"AL0001084",NA,10232
"AL0001085",NA,195
"AL0001086",NA,2937
"AL0001088",0,1353
"AL0001091",NA,353
"AL0001092",12,623
"AL0001097",NA,607
"AL0001100",0,508
"AL0001102",23,435
"AL0001103",5,191
"AL0001105",0,347
"AL0001106",19,33
"AL0001107",51,347
"AL0001108",0,30
"AL0001110",0,379
"AL0001114",3,33
"AL0001120",0,1070
"AL0001124",0,1984
"AL0001127",NA,900
"AL0001130",NA,103
"AL0001131",NA,240
"AL0001132",0,41
"AL0001137",NA,1222
"AL0001139",NA,142
"AL0001142",8,8550
"AL0001145",14,693
"AL0001148",0,4146
"AL0001149",NA,75
"AL0001150",NA,2183
"AL0001151",0,774
"AL0001156",0,121
"AL0001157",0,1566
"AL0001160",5,1535
"AL0001163",NA,2547
"AL0001164",0,204
"AL0001168",1,259
"AL0001171",0,202
"AL0001172",2,147
"AL0001176",0,243
"AL0001199",0,1020
"AL0001202",0,107
"AL0001203",0,1543
"AL0001204",0,1660
"AL0001205",0,29
"AL0001208",0,212
"AL0001209",29,246
"AL0001211",0,330
"AL0001213",0,78
"AL0001216",0,511
"AL0001217",0,64
"AL0001219",1,25
"AL0001220",0,560
"AL0001222",0,21
"AL0001223",0,363
"AL0001228",NA,1400
"AL0001229",NA,152
"AL0001236",0,141
"AL0001245",NA,1089
"AL0001247",0,369
"AL0001250",0,16
"AL0001258",0,3099
"AL0001260",NA,2850
"AL0001265",NA,2933
"AL0001270",6,135
"AL0001273",NA,497
"AL0001274",1,4
"AL0001279",0,241
"AL0001283",0,40
"AL0001285",NA,0
"AL0001288",1,58
"AL0001289",0,224
"AL0001290",NA,76
"AL0001293",0,102
"AL0001298",0,468
"AL0001299",1,129
"AL0001301",0,695
"AL0001302",NA,119
"AL0001306",NA,536
"AL0001307",1,5636
"AL0001309",0,64
"AL0001313",NA,13461
"AL0001322",1,384
"AL0001324",0,212
"AL0001326",0,443
"AL0001327",NA,8
"AL0001336",2,3154
"AL0001337",0,28
"AL0001342",0,108
"AL0001343",NA,263
"AL0001344",0,321
"AL0001345",2,15
"AL0001351",NA,1613
"AL0001353",0,185
"AL0001357",0,2
"AL0001358",0,103
"AL0001360",0,11
"AL0001361",0,5
"AL0001362",1,45
"AL0001363",0,100
"AL0001364",0,32
"AL0001366",1,15
"AL0001368",NA,4
"AL0001371",NA,54
"AL0001374",22,540
"AL0001378",NA,91
"AL0001380",0,36
"AL0001391",0,15
"AL0001393",0,136
"AL0001402",0,101
"AL0001403",0,51
"AL0001410",1,230
"AL0001411",0,1060
"AL0001412",0,80
"AL0001420",18,475
"AL0001422",NA,735
"AL0001423",0,187
"AL0001424",0,490
"AL0001426",NA,10
"AL0001427",NA,26
"AL0001428",41,193
"AL0001432",NA,599
"AL0001434",0,744
"AL0001437",0,473
"AL0001439",NA,43
"AL0001460",1,6
"AL0001489",0,46
"AL0001490",NA,679
"AL0001500",7,26
"AL0001505",0,174
"AL0001506",NA,31
"AL0001507",NA,28
"AL0001508",0,15
"AL0001509",NA,9
"AL0001510",NA,101
"AL0001511",0,67
"AL0001512",0,3
"AL0001513",10,33
"AL0001516",19,23
"AL0001537",NA,49
"AL0001540",0,309
"AL0001541",0,13
"AL0001671",NA,1322
"AL0001672",0,219
"AL0001685",0,6
"AL0001716",NA,95
"AL0001721",2,503
"AL0001739",0,22
"AL0001748",1,169
"AL0001750",NA,14
"AL0001753",NA,2
"AL0001755",NA,121
"AL0001761",0,38
"AL0001767",0,35
"AL0001769",NA,3
"AL0001770",0,62
"AL0001775",NA,36
"AL0001783",0,118
"AL0001784",0,94
"AL0001786",1,858
"AL0001789",19,12
"AL0001791",0,3
"AL0001796",0,334
"AL0001798",0,69
"AL0001799",NA,112
"TN0008267",0,294
"AR0000001",0,11
"AR0000002",0,15
"AR0000003",0,207
"AR0000004",0,2179
"AR0000005",0,53
"AR0000006",4,33
"AR0000007",0,68
"AR0000008",0,696
"AR0000009",0,127
"AR0000010",5,74
"AR0000011",2,258
"AR0000012",0,14
"AR0000013",0,1573
"AR0000014",6,65
"AR0000015",0,1258
"AR0000016",0,233
"AR0000017",0,1221
"AR0000018",7,66
"AR0000019",3,37
"AR0000021",0,114
"AR0000022",0,522
"AR0000023",0,39
"AR0000024",1,38
"AR0000025",0,4148
"AR0000026",1,58
"AR0000027",0,1115
"AR0000028",0,239
"AR0000031",0,13
"AR0000033",0,726
"AR0000034",0,391
"AR0000035",0,61
"AR0000036",1,70
"AR0000037",0,1131
"AR0000038",0,NA
"AR0000039",0,4399
"AR0000041",0,4315
"AR0000042",2,58
"AR0000043",0,335
"AR0000044",1,1837
"AR0000045",3,8
"AR0000046",2,56
"AR0000047",0,90
"AR0000048",0,801
"AR0000049",0,40
"AR0000051",0,686
"AR0000052",0,214
"AR0000053",1,1034
"AR0000054",0,91
"AR0000055",0,6863
"AR0000056",1,2781
"AR0000057",0,79
"AR0000058",0,64
"AR0000059",0,73
"AR0000060",0,850
"AR0000061",0,195
"AR0000062",0,2922
"AR0000063",3,97
"AR0000064",0,222
"AR0000065",2,600
"AR0000066",0,1093
"AR0000067",0,90
"AR0000068",0,16
"AR0000069",0,212
"AR0000070",1,273
"AR0000071",1,45
"AR0000072",1,112
"AR0000074",NA,955
"AR0000075",1,324
"AR0000076",0,103
"AR0000077",0,524
"AR0000078",0,361
"AR0000080",12,115
"AR0000081",1,558
"AR0000082",2,457
"AR0000083",0,615
"AR0000085",0,2124
"AR0000087",0,826
"AR0000088",0,135
"AR0000089",0,34
"AR0000090",0,544
"AR0000091",0,30
"AR0000092",0,36
"AR0000093",0,530
"AR0000094",0,49
"AR0000095",0,46
"AR0000096",1,573
"AR0000097",0,60
"AR0000098",0,25
"AR0000099",0,42
"AR0000101",1,2634
"AR0000102",1,80
"AR0000103",0,19
"AR0000104",0,1794
"AR0000105",0,180
"AR0000106",0,238
"AR0000107",0,718
"AR0000108",0,62
"AR0000109",16,2084
"AR0000110",7,77
"AR0000111",0,80
"AR0000112",26,232
"AR0000114",59,80
"AR0000115",0,29
"AR0000116",4,161
"AR0000118",0,105
"AR0000119",0,4069
"AR0000120",0,220
"AR0000121",0,187
"AR0000122",1,651
"AR0000123",0,55
"AR0000124",0,16827
"AR0000126",0,445
"AR0000127",0,266
"AR0000128",0,251
"AR0000129",0,573
"AR0000130",1,53
"AR0000131",0,325
"AR0000135",0,60
"AR0000136",0,304
"AR0000138",0,3038
"AR0000140",0,328
"AR0000141",1,89
"AR0000142",0,4441
"AR0000143",0,146
"AR0000144",0,827
"AR0000145",0,1283
"AR0000146",0,520
"AR0000147",1,837
"AR0000148",0,167
"AR0000149",0,245
"AR0000150",0,294
"AR0000151",0,27
"AR0000152",1,1368
"AR0000153",0,124
"AR0000154",0,46
"AR0000155",0,87
"AR0000156",0,4897
"AR0000158",0,151
"AR0000159",0,58
"AR0000160",0,191
"AR0000162",0,465
"AR0000163",0,1291
"AR0000164",0,808
"AR0000165",0,44
"AR0000166",0,191
"AR0000167",2,78
"AR0000168",2,65
"AR0000169",0,44
"AR0000170",0,889
"AR0000171",0,692
"AR0000172",0,9
"AR0000173",0,24
"AR0000174",2,43
"AR0000175",1,54
"AR0000176",0,137
"AR0000178",5,9
"AR0000179",0,52
"AR0000180",1,372
"AR0000181",0,27
"AR0000182",0,30
"AR0000183",0,52
"AR0000184",0,1510
"AR0000185",0,2321
"AR0000186",0,40
"AR0000187",0,97
"AR0000188",0,61
"AR0000189",0,7290
"AR0000190",3,105
"AR0000191",1,1103
"AR0000192",1,296
"AR0000193",0,1096
"AR0000195",0,3751
"AR0000196",3,551
"AR0000197",1,444
"AR0000199",1,113
"AR0000200",9,584
"AR0000201",0,858
"AR0000202",0,315
"AR0000204",0,3162
"AR0000205",0,82
"AR0000206",0,215
"AR0000208",0,3719
"AR0000209",0,15406
"AR0000213",0,202
"AR0000214",1,269
"AR0000215",0,846
"AR0000216",0,129
"AR0000217",0,162
"AR0000218",0,99
"AR0000219",0,685
"AR0000220",0,245
"AR0000222",0,5359
"AR0000223",4,73
"AR0000224",0,18
"AR0000225",0,335
"AR0000227",12,15
"AR0000230",14,1710
"AR0000231",6,30
"AR0000232",10,18
"AR0000233",25,77
"AR0000234",6,57
"AR0000236",0,869
"AR0000237",0,2495
"AR0000239",0,258
"AR0000241",0,400
"AR0000242",3,177
"AR0000243",9,215
"AR0000244",6,651
"AR0000246",0,49
"AR0000247",0,43
"AR0000248",0,248
"AR0000249",0,88
"AR0000250",0,2149
"AR0000251",0,588
"AR0000252",0,585
"AR0000254",0,1389
"AR0000255",0,634
"AR0000256",0,542
"AR0000257",8,146
"AR0000258",0,63
"AR0000259",0,156
"AR0000261",0,55
"AR0000262",0,16
"AR0000263",1,28
"AR0000264",0,1271
"AR0000265",1,169
"AR0000266",1,373
"AR0000267",1,246
"AR0000269",1,254
"AR0000271",3,142
"AR0000272",0,8044
"AR0000273",0,842
"AR0000274",20,23
"AR0000276",0,289
"AR0000277",0,136
"AR0000279",0,249
"AR0000282",0,0
"AR0000283",8,37
"AR0000284",0,844
"AR0000286",0,132
"AR0000287",0,166
"AR0000288",0,275
"AR0000289",0,1931
"AR0000290",0,262
"AR0000292",0,162
"AR0000293",0,27
"AR0000294",5,73
"AR0000295",3,36
"AR0000296",0,289
"AR0000297",1,223
"AR0000298",6,1
"AR0000299",0,111
"AR0000300",0,116
"AR0000301",1,779
"AR0000302",0,105
"AR0000303",0,40
"AR0000304",0,48
"AR0000305",0,81
"AR0000306",NA,77
"AR0000307",0,228
"AR0000309",1,1229
"AR0000310",3,932
"AR0000313",68,182
"AR0000314",68,42
"AR0000315",0,231
"AR0000316",1,42
"AR0000317",1,19
"AR0000318",0,320
"AR0000319",0,318
"AR0000320",2,631
"AR0000321",10,42
"AR0000322",3,33
"AR0000323",9,233
"AR0000326",14,729
"AR0000327",3,173
"AR0000328",0,639
"AR0000329",11,167
"AR0000330",2,317
"AR0000332",0,160
"AR0000334",0,10
"AR0000336",31,30
"AR0000337",0,34
"AR0000338",0,4005
"AR0000339",0,430
"AR0000340",0,28
"AR0000341",0,517
"AR0000343",0,532
"AR0000344",1,60
"AR0000345",0,1486
"AR0000346",0,425
"AR0000348",1,483
"AR0000349",0,1794
"AR0000350",0,54
"AR0000351",0,537
"AR0000352",0,668
"AR0000354",30,304
"AR0000355",10,120
"AR0000356",3,421
"AR0000357",0,27
"AR0000358",6,96
"AR0000360",0,6140
"AR0000361",0,218
"AR0000362",0,461
"AR0000365",0,2374
"AR0000366",4,42
"AR0000367",1,188
"AR0000370",0,209
"AR0000371",0,95
"AR0000372",1,128
"AR0000373",0,203
"AR0000374",0,587
"AR0000375",2,1424
"AR0000376",0,84
"AR0000377",1,31
"AR0000378",0,527
"AR0000380",0,5
"AR0000383",0,30
"AR0000384",2,669
"AR0000385",1,490
"AR0000388",6,102
"AR0000389",1,22
"AR0000391",14,144
"AR0000392",32,517
"AR0000393",16,163
"AR0000394",2,720
"AR0000395",3,136
"AR0000397",0,85
"AR0000400",1,88
"AR0000401",0,517
"AR0000402",0,180
"AR0000403",2,90
"AR0000404",0,2870
"AR0000405",1,204
"AR0000406",0,31
"AR0000407",0,247
"AR0000409",10,51
"AR0000410",0,159
"AR0000411",0,115
"AR0000412",0,152
"AR0000413",1,827
"AR0000414",0,127
"AR0000415",3,463
"AR0000416",31,1219
"AR0000417",1,38
"AR0000418",13,149
"AR0000419",20,966
"AR0000420",21,118
"AR0000421",1,152
"AR0000422",0,750
"AR0000423",0,131
"AR0000424",0,51
"AR0000425",5,350
"AR0000426",1,140
"AR0000427",0,65
"AR0000428",0,148
"AR0000430",0,563
"AR0000431",1,499
"AR0000432",0,394
"AR0000435",0,1819
"AR0000436",4,98
"AR0000437",1,100
"AR0000438",0,1373
"AR0000439",8,122
"AR0000440",2,339
"AR0000441",0,696
"AR0000443",0,185
"AR0000444",0,349
"AR0000445",1,385
"AR0000446",0,5387
"AR0000448",0,77
"AR0000449",0,565
"AR0000450",12,137
"AR0000451",0,46
"AR0000452",0,376
"AR0000454",0,802
"AR0000458",1,38
"AR0000459",0,847
"AR0000461",0,65
"AR0000462",0,187
"AR0000464",1,318
"AR0000465",0,53286
"AR0000466",0,5393
"AR0000467",15,4
"AR0000471",0,111
"AR0000472",0,111
"AR0000473",0,52
"AR0000474",1,1751
"AR0000475",0,106
"AR0000476",0,84
"AR0000477",0,23
"AR0000483",0,457
"AR0000484",0,6001
"AR0000485",0,60
"AR0000486",0,2578
"AR0000488",0,518
"AR0000491",0,229
"AR0000492",0,2753
"AR0000493",0,2148
"AR0000495",0,1263
"AR0000497",0,41
"AR0000498",0,700
"AR0000500",1,106
"AR0000501",2,430
"AR0000503",0,18
"AR0000504",11,1521
"AR0000505",21,136
"AR0000506",0,87
"AR0000507",0,20090
"AR0000508",16,92
"AR0000509",11,243
"AR0000510",2,1037
"AR0000511",1,37
"AR0000512",0,663
"AR0000513",2,2614
"AR0000514",0,12
"AR0000515",0,91
"AR0000516",0,21
"AR0000517",0,96
"AR0000518",1,149
"AR0000519",0,23
"AR0000520",0,635
"AR0000521",0,1148
"AR0000524",0,133
"AR0000525",1,110
"AR0000526",0,511
"AR0000527",0,287
"AR0000528",0,47
"AR0000529",0,19
"AR0000530",1,278
"AR0000531",2,210
"AR0000532",0,203
"AR0000533",0,156
"AR0000535",2,104
"AR0000536",2,436
"AR0000537",0,137
"AR0000538",0,65
"AR0000542",0,1280
"AR0000544",0,83
"AR0000545",0,15
"AR0000546",0,19
"AR0000548",6,58
"AR0000550",2,3011
"AR0000551",0,49
"AR0000552",1,104
"AR0000553",2,85
"AR0000554",0,101
"AR0000555",0,484
"AR0000556",4,78
"AR0000557",8,26
"AR0000558",0,42
"AR0000559",9,47
"AR0000560",0,193
"AR0000561",5,31
"AR0000562",1,103
"AR0000564",0,820
"AR0000566",0,264
"AR0000567",0,425
"AR0000569",NA,11808
"AR0000572",0,1312
"AR0000573",6,832
"AR0000574",0,2885
"AR0000575",0,11000
"AR0000577",0,304
"AR0000579",0,713
"AR0000580",1,208
"AR0000582",0,346
"AR0000583",1,1233
"AR0000584",0,604
"AR0000585",4,158
"AR0000586",0,400
"AR0000587",0,100
"AR0000588",1,427
"AR0000589",1,154
"AR0000590",0,3767
"AR0000591",0,38
"AR0000592",1,1465
"AR0000594",1,640
"AR0000596",3,104
"AR0000597",0,294
"AR0000598",0,65
"AR0000599",0,309
"AR0000600",46,134
"AR0000601",7,800
"AR0000602",8,109
"AR0000603",75,435
"AR0000604",27,191
"AR0000606",0,630
"AR0000616",13,88
"AR0000617",0,1224
"AR0000618",8,31
"AR0000619",0,107
"AR0000620",8,3
"AR0000622",6,1
"AR0000623",0,503
"AR0000626",1,28
"AR0000627",0,118
"AR0000628",0,692
"AR0000633",3,10
"AR0000635",0,157
"AR0000636",1,169
"AR0000637",3,48
"AR0000638",1,29
"AR0000639",0,10
"AR0000640",0,39
"AR0000642",15,30
