"pwsid","a_int.identified_as_disadvantaged","pw_int_hh.percent_pre_1960s_housing_lead_paint_indicator","pw_int_pop.low_life_expectancy_percentile"
"NY2902848",0,75,15.19
"NY2902851",0.1,57,3.28
"NY2902852",0,48,0
"NY2902853",0,73,7.47
"NY2902854",0,78,19.52
"NY2902856",0.64,59,29.49
"NY2902857",0,84,10.57
"NY2902858",0,92,14.06
"NY2912267",0,55,8.47
"NY3100556",0,62,53
"NY3100557",0,44,24
"NY3100558",0,65,NA
"NY3100561",0.19,48,30.84
"NY3100563",0,21,39.33
"NY3100564",0.65,70,69.18
"NY3100566",0.79,72,29.22
"NY3100568",0.7,80,69.76
"NY3100571",0,40,65.15
"NY3100572",0.14,64,48.12
"NY3100573",0,51,50.97
"NY3100574",0,30,6
"NY3100577",0,52,21.41
"NY3100580",0,55,57
"NY3100583",0,62,53
"NY3100585",0,29,32.37
"NY3100586",0,60,42
"NY3100587",0,51,31
"NY3100588",0,51,67
"NY3100595",0,51,50.3
"NY3116262",0,51,2
"NY3201459",0,NA,NA
"NY3201466",0,NA,NA
"NY3201470",0,32,29
"NY3201473",0,49,20
"NY3201476",1,NA,NA
"NY3201477",0,58,18
"NY3201481",1,NA,NA
"NY3201483",1,NA,NA
"NY3202384",0,42,51
"NY3202385",0,48,35
"NY3202386",0,55,20.64
"NY3202387",0,58,18
"NY3202389",0,41,51.7
"NY3202394",0,43,3.91
"NY3202403",0,49,20
"NY3202404",0,36,51.37
"NY3202405",0.27,68,65.55
"NY3202407",0,49,34
"NY3202409",0,46,57.53
"NY3202410",0,49,20
"NY3202411",0.1,65,42.54
"NY3202412",1,NA,NA
"NY3202415",0,67,44.69
"NY3202416",0,34,42
"NY3202419",1,NA,NA
"NY3202420",0,39,18
"NY3202470",0,48,8
"NY3203514",0,34,42
"NY3203515",0,39,18
"NY3203519",0.65,58,18
"NY3203520",0,49,34
"NY3212121",1,NA,NA
"NY3218204",0,33,32.38
"NY3221818",0,39,41.06
"NY3222694",0,46,50.45
"NY3230025",1,NA,NA
"NY3230037",1,NA,NA
"NY3233160",0,63,83
"NY3290094",0,36,30
"NY3300981",0,42,16
"NY3300985",0,36,15
"NY3300989",0,42,16
"NY3300991",0,33,2
"NY3300992",0,42,16
"NY3304307",0,43,23.68
"NY3304310",0,34,4.17
"NY3304312",0,40,28.61
"NY3304316",0,42,16
"NY3304334",0.55,73,61.91
"NY3304335",0,37,11
"NY3304336",0.21,37,28.7
"NY3304337",0,44,NA
"NY3304343",0.21,40,14.93
"NY3304344",0,11,32.94
"NY3304347",0,53,1.76
"NY3315600",0.74,15,13.18
"NY3316112",0.37,47,50.13
"NY3318329",0,36,15
"NY3400707",0,45,37
"NY3400715",0,44,16
"NY3400784",0,24,1
"NY3401150",0,52,77.03
"NY3401151",0,8,15.32
"NY3401154",0,57,37.49
"NY3401155",0,39,10
"NY3401156",0.54,77,54.96
"NY3401160",0,44,16.17
"NY3401161",0,48,18
"NY3401162",0,55,18
"NY3401163",0,59,44
"NY3401164",0,38,9.03
"NY3401165",0,44,16
"NY3401170",0,46,5.14
"NY3401178",0,60,39
"NY3401182",0,39,39
"NY3404514",0,60,39
"NY3404515",0,13,4.24
"NY3411680",0,55,18
"NY3411948",0,29,28.01
"NY3417176",0,28,NA
"NY3420254",0,45,37
"NY3421320",0,48,18
"NY3430008",0,15,2.84
"NY3430034",0,37,33.02
"NY3430047",0,45,37
"NY3430049",0,55,18
"NY3501315",0,30,38
"NY3501317",0,21,39
"NY3501320",0,34,7
"NY3501323",0,26,79
"NY3501324",0,34,7
"NY3501325",0,21,39
"NY3501326",0,35,13
"NY3501329",0,28,69
"NY3501331",0,NA,NA
"NY3501332",0,21,39
"NY3501333",0,34,7
"NY3501334",0,28,69
"NY3501335",0,21,8
"NY3501336",0,28,76.1
"NY3503524",0,35,24.33
"NY3503525",0,28,16.75
"NY3503526",0,61,12.89
"NY3503527",0,31,23.9
"NY3503528",0,31,48.98
"NY3503529",0,37,2
"NY3503530",0,69,49
"NY3503531",0,26,4.96
"NY3503532",0,68,17.79
"NY3503533",0,31,51.95
"NY3503534",0.43,48,36.81
"NY3503535",0,36,22.12
"NY3503536",0,35,20.99
"NY3503539",0,27,35
"NY3503540",0,27,35
"NY3503541",0,NA,NA
"NY3503542",0,32,20.2
"NY3503544",0,31,52
"NY3503547",0,22,34.02
"NY3503549",0.95,78,56.74
"NY3503550",0,25,25.03
"NY3503552",0,38,29
"NY3503553",0,36,28
"NY3503554",0.45,72,67.99
"NY3503555",0,37,2
"NY3503557",0,41,3.59
"NY3503558",0,30,5
"NY3503559",0,56,52
"NY3503561",0,39,9
"NY3503563",0,69,49
"NY3503565",0,20,16
"NY3503566",0,69,49
"NY3503567",0,15,42.57
"NY3503568",0,26,79
"NY3503569",0,26,79
"NY3503570",0,12,19
"NY3503573",0,20,17.19
"NY3503574",0,24,54
"NY3503576",0,8,1
"NY3503577",0,38,10.19
"NY3503578",0,39,37.63
"NY3503580",0,26,17.44
"NY3503582",0,35,25.16
"NY3503584",0,13,41.1
"NY3503585",0,32,36
"NY3503586",0,30,39.13
"NY3503588",0,26,79
"NY3503590",0,32,73
"NY3503591",0,13,35.27
"NY3503592",0,41,2
"NY3503595",0,40,11.57
"NY3503596",0,44,7
"NY3503598",0,8,1
"NY3503600",0,21,39
"NY3503602",0,20,16
"NY3503605",0,34,48.47
"NY3503606",0,38,29
"NY3503607",0,33,34.23
"NY3503611",0,37,51
"NY3503614",0,26,49
"NY3503615",0,NA,18
"NY3503620",0,44,7
"NY3503621",0,32,36
"NY3503625",0,44,7
"NY3503626",0,24,24
"NY3503627",0.99,3,80
"NY3503632",0,27,35
"NY3503633",0,27,35
"NY3503889",0,8,NA
"NY3505650",0,8,1.31
"NY3505660",0,30,5
"NY3505661",0,44,7
"NY3505663",0,30,37
"NY3505664",0,31,24
"NY3510449",0,37,2
"NY3510480",0,31,24.4
"NY3510586",0,38,29
"NY3510587",0,26,79
"NY3510641",0,13,47.46
"NY3510680",0,15,59
"NY3510681",0,35,13
"NY3510766",0,52,3
"NY3510816",0,30,38
"NY3511338",0,32,NA
"NY3511887",0,32,NA
"NY3512132",0,41,2
"NY3512133",0,69,49
"NY3512264",0,31,52
"NY3513621",0,NA,NA
"NY3513627",0,NA,NA
"NY3516857",0,26,79
"NY3517527",0,34,7.13
"NY3519648",0,23,13
"NY3521334",0,27,32.58
"NY3530051",0,28,69
"NY3530052",0,27,35
"NY3530057",0,52,3
"NY3530065",0,35,25.99
"NY3530066",0,26,79
"NY3530071",0,20,16.33
"NY3530183",0,28,69
"NY3530190",0,32,20
"NY3530193",0,38,29
"NY3530201",0.35,26,2
"NY3530231",0,21,39
"NY3600596",1,71,20.7
"NY3600598",0.51,44,37.97
"NY3600599",1,60,42
"NY3600600",0.99,70,70.83
"NY3600602",0,60,51
"NY3600757",1,49,8
"NY3604569",0,49,57
"NY3612221",0,47,63
"NY3622603",1,49,8
"NY3630002",1,51,54
"NY3630012",1,49,8
"NY3630023",0,21,39
"NY3630094",0,16,43
"NY3630096",0,49,57
"NY3700907",0,27,24
"NY3700908",0.63,32,14.98
"NY3700911",1,28,37
"NY3700916",0,24,49
"NY3700920",1,33,11
"NY3700921",0,24,49
"NY3700923",0,24,49
"NY3700927",0,31,24.95
"NY3700929",0,27,24
"NY3700941",1,36,63
"NY3700942",0,35,22
"NY3700943",1,28,44
"NY3700994",1,36,55.57
"NY3701000",0,27,24
"NY3701001",0,27,24
"NY3701003",0.42,23,41.22
"NY3704353",0,34,12.08
"NY3704355",1,65,55.93
"NY3704359",0,35,22
"NY3704360",1,30,63
"NY3704361",0.78,69,40.2
"NY3704363",0.54,55,58.57
"NY3704364",1,47,60
"NY3704365",0,46,0
"NY3715923",0,27,24
"NY3720098",1,33,12.18
"NY3721559",0,34,12
"NY3725000",1,28,44
"NY3730001",1,30,63
"NY3730037",0,25,33.72
"NY3730045",1,36,63
"NY3730165",1,39,8.14
"NY3730200",0,46,0
"NY3730203",0,46,0
"NY3800144",0,50,42
"NY3800145",0,65,49.38
"NY3800147",0,46,6
"NY3800149",0,55,2
"NY3800150",0,48,33
"NY3800151",0,37,38
"NY3800152",1,49,11
"NY3800153",0,55,2
"NY3800154",0.26,67,37.9
"NY3800155",0,37,38
"NY3800156",0,51,18
"NY3800158",0.02,44,16.03
"NY3800159",0,37,38
"NY3800160",0,54,15
"NY3801586",0,44,16
"NY3801587",0,37,38
"NY3801588",1,NA,NA
"NY3801589",0.91,49,11
"NY3801590",0,40,NA
"NY3801591",0,37,38
"NY3804190",0,54,15
"NY3808444",0,55,2
"NY3810482",0,54,15
"NY3810685",0,NA,NA
"NY3810686",0,48,33
"NY3817904",0,46,6
"NY3820553",0,48,33
"NY3820801",0,66,50
"NY3821435",0,37,38
"NY3822687",0,44,16
"NY3822721",0,44,16
"NY3830021",0,37,38
"NY3901311",0,70,29
"NY3901352",0,25,NA
"NY3901354",0,25,NA
"NY3901356",0,27,18
"NY3903639",0,33,41
"NY3903640",0,50,2
"NY3903641",0,23,4
"NY3903642",0,40,12.33
"NY3903644",0,21,12
"NY3903647",0,NA,NA
"NY3903648",0,42,29
"NY3903649",0,42,29
"NY3903651",0,31,18
"NY3903652",0,62,29
"NY3903653",0,42,18
"NY3903654",0,29,4
"NY3903655",0,60,13.34
"NY3903657",0,60,8
"NY3903709",0,42,15
"NY3903710",0,37,42
"NY3903711",0,27,18
"NY3903712",0,29,4
"NY3903713",0,53,15.68
"NY3903714",0,61,13
"NY3903715",0,29,4
"NY3903716",0,70,29
"NY3903718",0,NA,NA
"NY3905675",0,31,17.75
"NY3905680",0,33,20.13
"NY3905681",0,29,4
"NY3905682",0,29,4
"NY3905683",0,30,39.97
"NY3905685",0,34,37
"NY3905686",0,31,18
"NY3905692",0,42,29
"NY3905694",0,21,12
"NY3905695",0,31,18
"NY3905696",0,21,12
"NY3905697",0,31,18
"NY3905698",0,31,18
"NY3905699",0,33,14.44
"NY3905700",0,42,16.2
"NY3905702",0,45,25
"NY3905703",0,21,38
"NY3905705",0,23,38.45
"NY3905706",0,27,18
"NY3905707",0,36,28.11
"NY3905708",0,60,13.81
"NY3905709",0,21,12
"NY3905712",0,31,18
"NY3905713",0,63,14
"NY3905872",0,30,10.67
"NY3907005",0,38,15
"NY3909761",0,21,12
"NY3915411",0,31,18
"NY3916004",0,NA,NA
"NY3916013",0,37,42
"NY3919662",0,NA,NA
"NY3919736",0,41,2
"NY3920080",0,27,18
"NY3920093",0,37,42
"NY3920281",0,37,42
"NY3920295",0,29,4
"NY3920317",0,40,31.17
"NY3920885",0,21,38
"NY3920886",0,48,14.87
"NY3920935",0,32,5.95
"NY3921640",0,45,18
"NY3921641",0,27,18
"NY3921697",0,37,42
"NY3921698",0,31,18
"NY3921704",0,57,16.16
"NY3921710",0,27,18
"NY3921719",0,42,11
"NY3921720",0,69,28.87
"NY3921739",0,41,2
"NY3921740",0,35,32.22
"NY3922189",0,31,18
"NY3922190",0,27,18
"NY3925000",0,64,27.16
"NY3930002",0,27,18
"NY3930047",0,29,4
"NY4100035",0,64,66.02
"NY4100041",1,73,76.32
"NY4100042",0,76,69
"NY4100043",0,34,13
"NY4100044",0.43,48,44.22
"NY4100045",0,38,38
"NY4100048",0,38,38
"NY4100050",0.29,66,60.45
"NY4100051",0,33,24.97
"NY4100062",0,37,13
"NY4104503",0,51,45
"NY4110144",0,40,24.21
"NY4110688",0,37,14.63
"NY4110691",0,34,28
"NY4110693",0,34,28
"NY4110694",0,43,26
"NY4110695",0,35,25
"NY4110696",0,35,25
"NY4110699",0,29,13
"NY4110700",0,35,25
"NY4110701",0,22,48
"NY4114514",0,49,44
"NY4117236",0,49,37.16
"NY4117261",0,43,26
"NY4118153",1,46,21
"NY4130001",0,43,26
"NY4130008",0,22,NA
"NY4130243",0,46,42.77
"NY4130300",0,40,22
"NY4130317",0,30,14.63
"NY4130332",0,43,26
"NY4130338",0,51,5
"NY4130339",0,38,15.74
"NY4301305",0,7,23
"NY4301306",0,29,15
"NY4301307",0,NA,NA
"NY4301309",0,NA,NA
"NY4303664",0,69,81
"NY4303666",0,54,6.59
"NY4303673",0.09,28,19.39
"NY4303675",0,36,13.47
"NY4303907",0,NA,NA
"NY4315999",0,48,26
"NY4317681",0,28,15.2
"NY4320349",0,NA,NA
"NY4320531",0,69,81
"NY4325001",0,7,23
"NY4330011",0,38,9
"NY4404381",0,52,42.12
"NY4404384",1,42,26.35
"NY4404385",1,56,37
"NY4404386",1,48,18
"NY4404387",0,41,3.91
"NY4404389",0,48,20
"NY4404390",0.54,68,63.55
"NY4404391",1,43,5
"NY4404392",0.61,41,61.26
"NY4404393",0.62,41,61.27
"NY4404394",0.18,69,51.35
"NY4404395",0,39,0
"NY4404397",0.26,48,16.31
"NY4404398",1,53,8
"NY4404400",0,48,20
"NY4404401",1,53,8
"NY4404402",0,39,0
"NY4404404",0.66,40,48.92
"NY4410149",0,32,5
"NY4410154",0,58,27
"NY4410156",0,58,27
"NY4410159",0,58,27
"NY4410166",0,40,3
"NY4410167",0,46,8
"NY4410170",0,58,27
"NY4410705",0,39,0
"NY4500162",0,54,60.43
"NY4500164",0.56,71,46.3
"NY4500165",0,28,53
"NY4500166",0.31,63,47.42
"NY4500167",0,20,8.13
"NY4500168",0.02,43,27.84
"NY4500169",0,63,45.67
"NY4500170",0.98,63,32
"NY4500171",0,30,8.06
"NY4500173",0,52,34.41
"NY4500175",0,7,9.02
"NY4500177",0,24,41.79
"NY4500178",0,3,6
"NY4500186",0,4,15.09
"NY4500187",0,0,26
"NY4501768",0,15,57
"NY4501775",0,4,6
"NY4501776",0,NA,NA
"NY4501780",0,4,6
"NY4501788",0,21,5
"NY4501792",0,20,19
"NY4501793",0,3,6
"NY4501794",0,NA,NA
"NY4501795",0,0,26
"NY4501797",0,21,5
"NY4501798",0,39,31
"NY4501800",0,NA,NA
"NY4501802",0,20,19
"NY4501803",0,20,12.47
"NY4501806",0,31,33
"NY4501810",0,NA,NA
"NY4501812",0,5,41
"NY4501813",0,43,18
"NY4501817",0,15,57
"NY4501818",0,NA,NA
"NY4501821",0,NA,NA
"NY4501823",0,4,6
"NY4501824",0,32,1
"NY4501825",0,5,41
"NY4501826",0,5,41
"NY4501827",0,4,6
"NY4503513",0,44,4
"NY4505658",0,36,18.91
"NY4508372",0,15,41
"NY4508373",0,15,57
"NY4510711",0,15,57
"NY4510771",0,15,57
"NY4510772",0,NA,NA
"NY4511618",0,29,52.91
"NY4511620",0,13,8.5
"NY4511623",0,21,5
"NY4512612",0,15,57
"NY4513992",0,21,0
"NY4514027",0,20,19
"NY4517170",0,20,19
"NY4517244",0,NA,NA
"NY4519064",0,NA,NA
"NY4519111",0,8,27.17
"NY4519642",0,4,6
"NY4521804",0,11,8.88
"NY4521831",0,31,33
"NY4522501",0,13,39.08
"NY4530032",0,31,6.82
"NY4530219",0,NA,NA
"NY4530267",0,38,25.56
"NY4600064",0,40,25
"NY4600067",0,37,53
"NY4600069",0,58,44.13
"NY4600070",0.51,73,61.77
"NY4600071",0,69,64.05
"NY4600072",0,37,53
"NY4600073",0,41,10.33
"NY4600091",0,46,17.11
"NY4600093",0,34,13.69
"NY4618789",0,40,25
"NY4630007",0,NA,NA
"NY4700093",0,45,2
"NY4700094",0,41,25
"NY4700095",1,32,41
"NY4700096",0,52,22
"NY4700097",0,41,25
"NY4700098",0,45,2
"NY4700099",0,45,11
"NY4700100",0,27,42
"NY4701522",1,32,41
"NY4701524",0,NA,NA
"NY4710779",0,52,22
"NY4710781",0,45,2
"NY4710782",0,45,11
"NY4800726",1,51,50
"NY4800728",1,48,29
"NY4800729",1,NA,NA
"NY4801184",1,48,30.61
"NY4801185",1,48,29
"NY4801188",0.46,48,35.97
"NY4801191",0,47,1
"NY4821864",0,NA,NA
"NY4900686",0,41,16
"NY4901194",0,62,5
"NY4901195",1,47,13.98
"NY4901198",0,64,23.14
"NY4901199",0,54,57.43
"NY4901200",1,47,54.4
"NY4910642",1,47,55
"NY4911740",0,63,77
"NY4912215",1,47,55
"NY4930001",0,40,34
"NY4930002",1,47,55
"NY4940015",0,46,44
"NY5000658",1,NA,NA
"NY5000660",0,32,30
"NY5000661",0,NA,NA
"NY5000664",0,32,37
"NY5000665",0,33,56
"NY5000667",1,37,NA
"NY5000730",0,48,13
"NY5000733",1,27,21
"NY5000735",1,56,52
"NY5000739",0,37,22
"NY5000743",0,NA,NA
"NY5000744",0,32,30
"NY5000747",0,30,63
"NY5000748",1,NA,NA
"NY5000750",1,47,23
"NY5000753",1,NA,NA
"NY5000754",0,38,33
"NY5000755",0,31,36
"NY5001203",1,57,19
"NY5001204",0,38,33
"NY5001205",0,43,13
"NY5001206",1,44,47.12
"NY5001207",0,67,18
"NY5001208",1,56,8
"NY5001209",0.29,73,38.73
"NY5001213",0,52,50
"NY5001214",1,40,1
"NY5001215",0.55,77,64.25
"NY5001216",0,38,33
"NY5001217",1,33,73
"NY5001219",0,48,13
"NY5001220",0.71,47,22.97
"NY5001221",1,40,1
"NY5001222",0,34,31.98
"NY5001223",0,51,60
"NY5006496",0,25,14
"NY5011945",1,56,52
"NY5018387",1,NA,NA
"NY5030080",0,43,13
"NY5030103",0,35,35
"NY5030104",0,30,63
"NY5030105",1,37,NA
"NY5030110",0,38,33
"NY5030113",1,47,23
"NY5030114",0,48,13
"NY5030125",0,30,63
"NY5101291",0,12,28
"NY5101296",0.65,38,56.17
"NY5103243",0,34,0
"NY5103263",0,48,16.44
"NY5103266",0,28,25.99
"NY5103271",0,44,20.76
"NY5103276",0,13,15.76
"NY5103280",0,44,NA
"NY5103281",0,44,NA
"NY5103294",0,41,7
"NY5103700",0,16,7.66
"NY5103703",0.25,58,11.71
"NY5103704",0.27,26,31.56
"NY5103705",0.04,24,31.89
"NY5105655",0,7,30
"NY5105656",0,20,5.69
"NY5110526",0.03,32,33.16
"NY5110607",0,61,9
"NY5110623",0,34,0
"NY5111891",0,11,50.65
"NY5112134",1,41,59
"NY5114323",0,14,8
"NY5130214",0,61,9
"NY5201339",0,37,51
"NY5201340",0,37,51
"NY5201341",1,NA,NA
"NY5201344",0.99,29,43.11
"NY5201345",0,40,49
"NY5201346",1,NA,NA
"NY5201348",0,NA,NA
"NY5201350",0,37,51
"NY5201351",0,NA,NA
"NY5201442",0,35,NA
"NY5203012",0.5,29,43
"NY5203320",0,35,NA
"NY5203324",0.99,35,49.83
"NY5203328",0,44,8.49
"NY5203329",0,57,78.46
"NY5203335",0.01,51,25
"NY5203337",0.94,51,51.8
"NY5203340",0,44,46.16
"NY5203344",1,30,20
"NY5203346",0,33,57
"NY5203348",0.92,19,40.06
"NY5203352",0,37,50.62
"NY5203353",0,33,57
"NY5214752",1,38,10
"NY5214753",1,NA,NA
"NY5214954",0,37,51
"NY5220222",1,30,20
"NY5220232",0,41,8
"NY5220234",1,29,43
"NY5220961",1,30,43
"NY5221008",1,30,20
"NY5221394",1,30,20
"NY5221877",1,NA,NA
"NY5225004",0,33,57
"NY5230003",1,19,9
"NY5230008",0,33,57
"NY5230201",1,30,20
"NY5230210",0,45,46
"NY5230226",1,30,51.67
"NY5230245",0.82,20,40.5
"NY5230257",1,30,20
"NY5300244",0.51,33,62.71
"NY5300245",0,38,74
"NY5301406",0,38,3
"NY5301408",0,34,46
"NY5301414",0,30,28
"NY5301415",0,30,28
"NY5301416",0,29,62
"NY5301417",0.34,42,4.22
"NY5301419",0,NA,NA
"NY5301421",0,38,3
"NY5301422",0,38,3
"NY5301424",0,NA,NA
"NY5301425",0,33,56
"NY5301427",0,29,62
"NY5301428",0,34,46
"NY5301429",0,44,9
"NY5304406",0,30,28
"NY5304407",0,34,46
"NY5304408",0,38,3
"NY5304409",0.89,73,51
"NY5304410",0.79,68,73.39
"NY5305670",0,44,9
"NY5305671",0,26,13.38
"NY5305672",0,43,8.43
"NY5310720",0,38,10.99
"NY5318732",0,NA,NA
"NY5321680",0,34,46
"NY5330013",0,44,9
"NY5330015",0,41,31
"NY5404411",0,41,2.67
"NY5404412",0,30,2
"NY5404415",0,49,59
"NY5404416",0.35,48,33.63
"NY5404417",0,50,15
"NY5404419",0.27,31,21.91
"NY5404421",0.01,27,13.05
"NY5404422",0,27,13
"NY5404423",0,24,12.52
"NY5405793",0,27,20
"NY5405794",0,38,47
"NY5405800",0,27,NA
"NY5405805",0,27,20
"NY5405807",0,27,20
"NY5405808",0,26,39
"NY5405809",0,27,NA
"NY5405812",0,32,3
"NY5405814",0,NA,NA
"NY5405815",0,26,39
"NY5405816",0,NA,NA
"NY5405826",0,30,2
"NY5405827",0,30,2
"NY5405829",0,NA,NA
"NY5405831",0,26,39
"NY5405832",0,13,18
"NY5409757",0,49,59
"NY5417686",0.01,39,0.86
"NY5420407",0,NA,NA
"NY5421825",0,NA,NA
"NY5421865",0,26,39
"NY5430047",0,24,13.44
"NY5501270",0,31,8
"NY5501271",0,23,7
"NY5501272",0,43,25
"NY5501275",0,NA,NA
"NY5501276",0,NA,NA
"NY5501277",0,43,24.18
"NY5501279",0,23,7
"NY5501280",0,29,46
"NY5501282",0,46,26
"NY5501283",1,41,NA
"NY5501368",0,43,25
"NY5501370",0,23,7
"NY5501372",0,34,84
"NY5501373",0,NA,NA
"NY5501375",0,34,49
"NY5501379",0,58,12
"NY5501381",1,55,56
"NY5501382",0,23,6.91
"NY5501383",0,NA,NA
"NY5501385",0,NA,NA
"NY5503015",0,31,8
"NY5503149",0,43,25
"NY5503366",0.81,55,56
"NY5503367",0,31,2.36
"NY5503368",0,36,77
"NY5503369",0,58,12
"NY5503370",0,31,11
"NY5503371",0,31,11
"NY5503373",0,61,53.93
"NY5503374",0.67,69,55.48
"NY5503377",0,38,20.99
"NY5503379",0,33,NA
"NY5503380",1,54,25
"NY5503381",0,41,42
"NY5503382",0,36,25
"NY5503383",0,63,54
"NY5503384",0,46,26
"NY5503385",0,46,26
"NY5503386",0,67,59.53
"NY5503387",0,43,51
"NY5503390",0.53,43,45.33
"NY5503391",0,34,70.56
"NY5503392",0,35,71.35
"NY5503393",0,31,47
"NY5503394",0,50,13
"NY5503396",0,46,26
"NY5503405",0,58,12
"NY5503406",0,36,48
"NY5503413",0,39,52
"NY5503416",0.6,42,8.35
"NY5503746",0,24,0
"NY5503751",0,65,55
"NY5503752",0,47,NA
"NY5505572",1,53,56
"NY5507077",0,21,5
"NY5507116",0,NA,NA
"NY5507411",0,32,65
"NY5508770",0,NA,NA
"NY5510549",0,21,5
"NY5510590",0,NA,47
"NY5510721",0,21,5
"NY5510805",1,NA,NA
"NY5513815",0,NA,NA
"NY5515075",0,23,7
"NY5515079",0,34,49
"NY5515690",0,31,0
"NY5515691",0,43,25
"NY5518027",0,30,12
"NY5519179",0,36,3
"NY5520381",0,43,25
"NY5521293",0,NA,NA
"NY5521422",0,31,11
"NY5521482",0,35,13
"NY5521658",0,39,43.08
"NY5521677",0,49,3
"NY5521830",0,43,25
"NY5521949",0,36,28.33
"NY5522155",0,36,25
"NY5530003",0,36,48
"NY5530040",0,58,12
"NY5530041",0,42,50.47
"NY5530046",0,NA,NA
"NY5530232",0,65,55
"NY5530242",0,41,49.2
"NY5530250",0,47,19.47
"NY5530260",1,48,16
"NY5530289",0,39,48
"NY5530307",0,39,48
"NY5600101",0,32,53
"NY5600102",0,33,28
"NY5600103",0,32,51.86
"NY5600104",0.32,74,51.89
"NY5600106",0,30,33
"NY5600108",0,35,45.14
"NY5600109",0,31,34
"NY5600110",0,33,28
"NY5600112",1,49,63
"NY5600114",0,16,23.59
"NY5601499",0,33,28
"NY5603495",0,31,33
"NY5605392",0,30,21.51
"NY5618220",0,58,52
"NY5620267",0,21,17.44
"NY5621317",1,49,63
"NY5621911",0,30,33
"NY5621920",0,32,30
"NY5622708",0,32,53
"NY5630037",0.53,48,63
"NY5630038",1,49,63
"NY5700116",0,40,23
"NY5700117",0,48,17.98
"NY5700118",0,35,7
"NY5700119",0,60,63
"NY5700120",1,43,42
"NY5700121",0.86,42,38.66
"NY5700122",0,58,6.66
"NY5700123",0,63,54.79
"NY5700124",0,59,29
"NY5701548",1,46,21
"NY5701551",0,29,10.08
"NY5701552",0,59,7
"NY5704191",0,35,7
"NY5722361",0,28,31
"NY5730027",0,60,63
"NY5730106",0,52,25
"NY5730110",0,60,63
"NY5730136",0,35,7
"NY5801228",0.91,76,66.61
"NY5801231",0,36,23.15
"NY5801232",0.71,61,67.7
"NY5801233",0,27,16
"NY5801235",0,65,31.97
"NY5801237",1,52,70
"NY5801239",0,50,18.87
"NY5801240",0,46,29
"NY5801241",0,56,38
"NY5801242",0,60,48
"NY5801245",0.8,52,61.88
"NY5801247",0,57,40.14
"NY5801257",0,21,15.7
"NY5801258",0,50,29.25
"NY5821130",0.96,71,48.42
"NY5830003",0,26,53
"NY5830093",1,52,70
"NY5903150",0,38,15
"NY5903154",0,32,NA
"NY5903156",0,31,16.46
"NY5903418",0,39,1.67
"NY5903419",0,50,1.8
"NY5903420",0,38,6.83
"NY5903422",0.12,61,29.52
"NY5903423",0,41,17.95
"NY5903424",0,7,7
"NY5903425",0,56,17.79
"NY5903426",0,42,25.26
"NY5903427",0,56,16.61
"NY5903428",0,33,3
"NY5903429",0.01,47,11.1
"NY5903432",0,62,0.02
"NY5903433",0,84,9.91
"NY5903435",0,61,4.89
"NY5903437",0,35,13.34
"NY5903441",0.22,73,41.64
"NY5903442",0,45,2
"NY5903444",0.09,70,18.12
"NY5903445",0,59,10
"NY5903446",0,29,5
"NY5903448",0,42,15
"NY5903449",0,42,15
"NY5903450",0.2,61,35
"NY5903451",0.3,49,27.7
"NY5903452",0.29,50,36.56
"NY5903455",0,60,5.82
"NY5903456",0.13,57,8.53
"NY5903457",0,77,4.43
"NY5903461",0,56,12.62
"NY5903464",0.1,54,15.33
"NY5903465",0.22,61,29.94
"NY5903466",0,42,15
"NY5903467",0,38,11.65
"NY5903468",0,32,15
"NY5903469",0,31,14.22
"NY5903472",0,50,2
"NY5903475",0,32,15
"NY5903476",0,33,3
"NY5903478",0,NA,NA
"NY5903479",0,33,3
"NY5903482",1,48,NA
"NY5903485",0,36,4
"NY5903488",0,NA,NA
"NY5903492",0,31,1
"NY5903769",0,30,4.86
"NY5903831",0,NA,NA
"NY5905442",0,36,1
"NY5905657",0,42,15
"NY5907678",0,43,21
"NY5910495",0,40,4.71
"NY5912829",0,57,0
"NY5916740",0,42,15
"NY5917221",0,4,7
"NY5918381",0,7,7
"NY5918382",0,33,3
"NY5918395",0,29,2
"NY5920064",0,32,15
"NY5920065",0,3,NA
"NY5920685",0,32,15
"NY5920706",0,42,15
"NY5922908",0,30,13
"NY5922909",0,31,1
"NY5922910",0,33,3
"NY5922912",0,46,3
"NY5930013",0,32,13.91
"NY5930027",0,42,15
"NY5930031",0,51,3.05
"NY5930049",0,24,12.44
"NY5930061",0,46,3
"NY5930082",0.02,58,16.24
"NY6000607",0,63,34.3
"NY6000608",0.22,40,51.41
"NY6000609",0,47,26
"NY6000610",0,62,32
"NY6000612",0,59,56
"NY6000613",0,67,45.21
"NY6000615",0,47,26
"NY6000616",1,50,63
"NY6000618",0.04,64,74.73
"NY6000620",0,48,34
"NY6000621",0,46,25
"NY6000622",0,43,3
"NY6000763",0,NA,NA
"NY6000765",0,NA,NA
"NY6030008",0,NA,33
"NY6030013",0,41,53
"NY6030016",0,46,25
"NY6100683",0,33,11
"NY6101261",1,47,34
"NY6101262",1,47,34
"NY6101263",0,54,51.84
"NY6101264",1,47,34
"NY6101265",0,33,11
"NY6101266",0,52,19
"NY6130005",0,41,9
"NY6130011",0,59,79
"NY6130026",0,55,50.43
"NY7003493",0.4,64,33.47
"OH0100012",0.99,25,79.54
"OH0100112",1,38,93
