"pwsid","a_int.identified_as_disadvantaged","pw_int_hh.percent_pre_1960s_housing_lead_paint_indicator","pw_int_pop.low_life_expectancy_percentile"
"AZ0406009",1,19,38
"AZ0407001",0,0,15
"AZ0407003",1,2,13
"AZ0407007",1,1,63
"AZ0407008",0,2,7
"AZ0407012",1,2,13
"AZ0407015",0,1,4.96
"AZ0407016",0,1,3.87
"AZ0407017",0,1,18.89
"AZ0407019",0,0,52.6
"AZ0407021",0.01,26,47
"AZ0407025",0.25,14,55.16
"AZ0407026",0,1,17.92
"AZ0407030",0,2,83
"AZ0407032",1,0,46
"AZ0407033",0,0,36.05
"AZ0407037",1,0,46
"AZ0407039",0,0,13
"AZ0407045",0.48,21,39.8
"AZ0407046",0.01,1,32.36
"AZ0407056",0,9,15.54
"AZ0407064",1,1,63
"AZ0407065",0,0,27.66
"AZ0407067",0.75,2,55.9
"AZ0407069",1,10,67
"AZ0407070",0,1,32.37
"AZ0407071",0,2,83
"AZ0407076",0,2,28
"AZ0407078",0.54,2,46.04
"AZ0407079",0.18,1,78.7
"AZ0407082",1,0,46
"AZ0407086",1,1,63
"AZ0407088",0.44,3,58.86
"AZ0407089",0.96,18,85.47
"AZ0407090",0.06,2,36.19
"AZ0407091",0.78,2,66.56
"AZ0407092",0,0,33.77
"AZ0407093",0.22,6,55.8
"AZ0407094",0.01,3,27.43
"AZ0407095",0.16,4,47.93
"AZ0407096",0.07,1,41.61
"AZ0407098",0.02,6,26.34
"AZ0407099",0.42,4,63.36
"AZ0407100",0.15,7,41.39
"AZ0407101",0.69,18,57
"AZ0407111",0.21,5,15
"AZ0407112",0.57,1,63
"AZ0407114",0,1,23
"AZ0407120",0,0,22
"AZ0407121",0.14,0,0
"AZ0407128",0,1,47.18
"AZ0407150",0,0,32.1
"AZ0407154",0,1,45.14
"AZ0407167",1,1,63
"AZ0407169",0,5,15
"AZ0407179",0,0,0
"AZ0407195",0,1,29
"AZ0407280",1,4,37
"AZ0407286",0,1,23
"AZ0407296",0,0,46
"AZ0407305",0.01,5,NA
"AZ0407307",0,NA,45
"AZ0407343",1,4,39
"AZ0407366",0,1,74
"AZ0407392",0,2,31
"AZ0407409",0,1,19.61
"AZ0407411",1,10,67
"AZ0407482",1,1,63
"AZ0407484",0,2,41
"AZ0407492",0,0,38
"AZ0407493",0,5,15
"AZ0407500",0,0,48.95
"AZ0407504",0,0,21.34
"AZ0407511",1,1,63
"AZ0407517",1,2,13
"AZ0407523",0,5,15
"AZ0407524",0,NA,NA
"AZ0407526",0,1,29
"AZ0407528",1,1,63
"AZ0407531",0,1,32
"AZ0407532",0,0,8
"AZ0407555",1,NA,NA
"AZ0407618",1,0,46
"AZ0407621",1,25,NA
"AZ0407624",0,0,8
"AZ0407633",1,0,57
"AZ0407660",0,1,NA
"AZ0407670",0,5,15
"AZ0407671",0,0,38
"AZ0407677",1,0,46
"AZ0407682",0,0,60
"AZ0407695",0.01,0,44.83
"AZ0407700",0,NA,NA
"AZ0407713",0,NA,NA
"AZ0407732",0,1,29
"AZ0407733",1,0,46
"AZ0407736",1,0,46
"AZ0407765",0,0,35
"AZ0407900",0,NA,NA
"AZ0407903",0,0,25
"AZ0408001",1,5,4
"AZ0408005",1,7,47
"AZ0408006",1,0,72
"AZ0408014",1,3,40.34
"AZ0408015",0,0,87
"AZ0408017",1,1,70
"AZ0408018",1,NA,NA
"AZ0408020",0.34,6,76.16
"AZ0408021",1,5,96
"AZ0408022",0.1,1,50.55
"AZ0408024",0.51,2,69.96
"AZ0408026",1,5,4
"AZ0408032",0.35,3,85.97
"AZ0408035",1,1,70
"AZ0408037",1,0,92
"AZ0408038",1,2,87
"AZ0408039",1,1,70
"AZ0408040",1,1,90
"AZ0408041",1,2,87
"AZ0408042",1,5,4
"AZ0408046",1,5,96
"AZ0408057",1,NA,NA
"AZ0408059",1,3,NA
"AZ0408062",1,0,63
"AZ0408063",0.5,0,68.01
"AZ0408064",0.99,NA,NA
"AZ0408066",0,NA,NA
"AZ0408068",0.55,0,63.95
"AZ0408072",1,0,72
"AZ0408078",1,5,5.63
"AZ0408080",1,0,72
"AZ0408081",1,2,80.74
"AZ0408082",1,5,4
"AZ0408089",1,NA,NA
"AZ0408090",1,0,72
"AZ0408093",1,0,72
"AZ0408122",0,0,29
"AZ0408127",1,NA,NA
"AZ0408129",1,1,90
"AZ0408133",1,0,73
"AZ0408137",0,1,98
"AZ0408138",1,0,72
"AZ0408142",1,NA,NA
"AZ0408149",1,1,70
"AZ0408150",1,1,70
"AZ0408164",0.99,NA,NA
"AZ0408173",1,NA,NA
"AZ0408174",1,7,47
"AZ0408177",1,0,72
"AZ0408178",1,5,4
"AZ0408184",1,NA,4
"AZ0408333",1,0,92
"AZ0408341",0,0,69
"AZ0408342",1,4,98
"AZ0408701",1,7,47
"AZ0409000",1,6,44
"AZ0409001",1,29,81
