"pwsid","total_pop","mhi","hh_inc_lowest_quintile","black_alone_per","asian_alone_per","white_alone_per","AIAN_alone_per","NAPI_alone_per","other_alone_per","mixed_alone_per","hisp_alone_per","ageunder_5_per","age_over_61_per","bachelors_per","laborforce_unemployed_per","water_rate_less_125_per","water_rate_between_125_249_per","water_rate_between_250_499_per","water_rate_between_500_749_per","water_rate_between_750_999_per","water_rate_over_1000_per","hh_below_pov_per","hh_rent_home_per","hh_own_home_per","poc_alone_per","pop_in_pov_per","no_health_insurance_per","epic_pop_density","most_common_rate_tidy"
"CT0090114",87,NA,NA,4.24,1.77,88.5,0.18,0,0.73,4.58,3.26,5.89,17.96,29.48,2.69,8.71,14.46,25.61,9.93,25.78,15.51,4.27,8.49,91.51,11.5,3.17,7.48,1308,"Most people pay between $750-999 for water & sewer annually"
"CT0090292",337,131977,57371,4.54,10.14,76.64,0,0,1.71,6.97,8.92,5.54,23.25,26.44,5.17,4.62,9.73,32.33,21.03,8.38,23.91,4.25,15.21,84.79,23.36,4.66,3.48,522,"Most people pay between $250-499 for water & sewer annually"
"CT0100011",41,NA,NA,0.88,2.2,92.46,0,0,1.73,2.73,3.29,2.99,29.58,19.88,1.79,0,0,62.5,37.5,0,0,9.4,23.06,76.94,7.54,5.9,0.5,689,"Most people pay between $250-499 for water & sewer annually"
"CT0105033",34,95338,31705,0.88,2.2,92.46,0,0,1.73,2.73,3.29,2.99,29.58,19.88,1.79,0,0,62.5,37.5,0,0,9.4,23.06,76.94,7.54,5.9,0.5,228,"Most people pay between $250-499 for water & sewer annually"
"CT0110011",207,106902,40115,24.65,7.79,64.35,0,0,0.97,2.24,4.77,1.87,40.77,21.37,1.88,10.69,10.91,30.73,20.34,6.93,20.41,8.73,12.91,87.09,35.65,8.24,1.12,1077,"Most people pay between $250-499 for water & sewer annually"
"CT0110031",183,NA,NA,24.65,7.79,64.35,0,0,0.97,2.24,4.77,1.87,40.77,21.37,1.88,10.69,10.91,30.73,20.34,6.93,20.41,8.73,12.91,87.09,35.65,8.24,1.12,1048,"Most people pay between $250-499 for water & sewer annually"
"CT0110041",166,106902,40115,24.65,7.79,64.35,0,0,0.97,2.24,4.77,1.87,40.77,21.37,1.88,10.69,10.91,30.73,20.34,6.93,20.41,8.73,12.91,87.09,35.65,8.24,1.12,623,"Most people pay between $250-499 for water & sewer annually"
"CT0110051",113,NA,NA,24.65,7.79,64.35,0,0,0.97,2.24,4.77,1.87,40.77,21.37,1.88,10.69,10.91,30.73,20.34,6.93,20.41,8.73,12.91,87.09,35.65,8.24,1.12,768,"Most people pay between $250-499 for water & sewer annually"
"CT0120021",206,118461,57492,0.57,1.94,93.69,0,0,0.13,3.67,3.81,4.93,23.42,28.87,3.15,3.83,22.66,31.57,11.47,3.84,26.63,5.56,10.16,89.84,6.31,3.85,2.61,1160,"Most people pay between $250-499 for water & sewer annually"
"CT0120031",46,NA,NA,0.74,3.45,91.07,0,0,0.29,4.44,5.91,2.15,23.31,26.82,2.06,4.48,15.3,27.24,22.76,7.09,23.13,9.48,11.13,88.87,8.93,7.26,3.12,606,"Most people pay between $250-499 for water & sewer annually"
"CT0120041",87,NA,NA,0.61,3.02,91.25,0,0,1.03,4.08,5.12,2.98,22.92,27.06,2.28,9.74,12.23,20.37,26.25,11.17,20.24,8.24,10.23,89.77,8.75,6.76,2.62,1435,"Most people pay between $500-749 for water & sewer annually"
"CT0120111",63,NA,NA,0.74,3.45,91.07,0,0,0.29,4.44,5.91,2.15,23.31,26.82,2.06,4.48,15.3,27.24,22.76,7.09,23.13,9.48,11.13,88.87,8.93,7.26,3.12,714,"Most people pay between $250-499 for water & sewer annually"
"CT0121081",21,NA,NA,0.74,3.45,91.07,0,0,0.29,4.44,5.91,2.15,23.31,26.82,2.06,4.48,15.3,27.24,22.76,7.09,23.13,9.48,11.13,88.87,8.93,7.26,3.12,425,"Most people pay between $250-499 for water & sewer annually"
"CT0150011",595436,107303,42865,14.12,5.75,64.63,0.26,0.06,8.57,6.61,21.96,5.62,19.25,26.62,6.87,14.67,8.11,21.62,20.25,11.31,24.03,10.48,36.07,63.93,35.37,10.45,7.19,2751,"Most people pay > $1000 for water & sewer annually"
"CT0161011",20,138272,67063,0.6,0.55,96.82,0,0,0.33,1.7,3.62,2.41,37.94,31.85,5.87,22.22,0,22.22,22.22,11.11,22.22,2.21,11.89,88.11,3.18,3.12,3.07,326,"Most people pay < $125 for water & sewer annually"
"CT0170011",57968,76815,33762,5.97,1.71,79.27,0.34,0.02,5.33,7.36,16.78,4.28,21.3,17.57,5.78,8.29,10.97,30.9,27.27,9.49,13.09,9.37,35.64,64.36,20.73,8.75,3.83,2780,"Most people pay between $250-499 for water & sewer annually"
"CT0180021",291,123713,49858,8.18,7.08,75.99,0,0,2.01,6.74,7.19,3.06,25.13,25.6,3.33,4.98,14.06,47.85,10.84,5.76,16.5,6.82,25.77,74.23,24.01,8.96,5.04,1604,"Most people pay between $250-499 for water & sewer annually"
"CT0180061",1664,110377,50222,1.1,3.88,86.93,0,0.64,1.83,5.62,5.87,4.47,21.74,28.09,3.07,10.38,11.86,33.1,24.9,12.06,7.71,4.5,10.52,89.48,13.07,5.05,7.18,2498,"Most people pay between $250-499 for water & sewer annually"
"CT0180091",319,110377,50222,1.1,3.88,86.93,0,0.64,1.83,5.62,5.87,4.47,21.74,28.09,3.07,10.38,11.86,33.1,24.9,12.06,7.71,4.5,10.52,89.48,13.07,5.05,7.18,1748,"Most people pay between $250-499 for water & sewer annually"
"CT0180101",336,110377,50222,1.1,3.88,86.93,0,0.64,1.83,5.62,5.87,4.47,21.74,28.09,3.07,10.38,11.86,33.1,24.9,12.06,7.71,4.5,10.52,89.48,13.07,5.05,7.18,2546,"Most people pay between $250-499 for water & sewer annually"
"CT0180131",286,143870,71571,0.01,1.9,95.02,0,0,1.12,1.95,6.19,6.43,20.67,35.88,3.97,13.47,8.6,25.5,16.91,23.78,11.75,1.37,1.8,98.2,4.98,0.91,3.61,895,"Most people pay between $250-499 for water & sewer annually"
"CT0180171",104,139139,63882,7.18,7.91,76.18,0,0,1.92,6.82,7.66,3.73,24.63,25.84,3.84,4.84,12.83,43.45,13.75,6.51,18.62,6.17,23.19,76.81,23.82,7.79,4.62,1292,"Most people pay between $250-499 for water & sewer annually"
"CT0180181",155,NA,NA,1.1,3.88,86.93,0,0.64,1.83,5.62,5.87,4.47,21.74,28.09,3.07,10.38,11.86,33.1,24.9,12.06,7.71,4.5,10.52,89.48,13.07,5.05,7.18,1627,"Most people pay between $250-499 for water & sewer annually"
"CT0180201",71,110377,50222,1.1,3.88,86.93,0,0.64,1.83,5.62,5.87,4.47,21.74,28.09,3.07,10.38,11.86,33.1,24.9,12.06,7.71,4.5,10.52,89.48,13.07,5.05,7.18,954,"Most people pay between $250-499 for water & sewer annually"
"CT0180231",67,143870,71571,0.01,1.9,95.02,0,0,1.12,1.95,6.19,6.43,20.67,35.88,3.97,13.47,8.6,25.5,16.91,23.78,11.75,1.37,1.8,98.2,4.98,0.91,3.61,403,"Most people pay between $250-499 for water & sewer annually"
"CT0180251",293,123713,49858,8,7.23,76.02,0,0,2,6.76,7.28,3.18,25.04,25.64,3.42,4.95,13.84,47.06,11.37,5.9,16.89,6.7,25.33,74.67,23.98,8.75,4.97,1199,"Most people pay between $250-499 for water & sewer annually"
"CT0184011",90,110377,50222,1.1,3.88,86.93,0,0.64,1.83,5.62,5.87,4.47,21.74,28.09,3.07,10.38,11.86,33.1,24.9,12.06,7.71,4.5,10.52,89.48,13.07,5.05,7.18,1154,"Most people pay between $250-499 for water & sewer annually"
"CT0189971",10,143870,71571,0.01,1.9,95.02,0,0,1.12,1.95,6.19,6.43,20.67,35.88,3.97,13.47,8.6,25.5,16.91,23.78,11.75,1.37,1.8,98.2,4.98,0.91,3.61,202,"Most people pay between $250-499 for water & sewer annually"
"CT0190051",42,NA,NA,1.88,4.98,87.54,0.11,0,1.16,4.33,4.99,5.82,21.92,11.83,8.1,2.1,6.39,36.72,31.64,14.33,8.82,6.22,23.24,76.76,12.46,5.81,0.98,929,"Most people pay between $250-499 for water & sewer annually"
"CT0199091",56,NA,NA,1.42,6.47,86.33,0.06,0,1.3,4.42,4.88,6.22,22.06,11.48,8.62,0.95,6.73,35.92,32.04,15.08,9.28,6.27,23.66,76.34,13.67,5.4,0.75,1059,"Most people pay between $250-499 for water & sewer annually"
"CT0201011",85,142753,70196,0.36,2.72,91.88,0,0,1.1,3.92,5.94,4.15,17.39,29.96,5.56,5.78,0,44.51,33.82,8.96,6.94,3.76,5.34,94.66,8.12,2.4,0.82,1589,"Most people pay between $250-499 for water & sewer annually"
"CT0201021",155,142753,70196,0.49,4.18,90.88,0.11,0,1.26,3.09,6.44,3.99,18.38,30.41,4.82,5.3,4.26,37.71,35.7,8.23,8.8,4.54,10.64,89.36,9.12,3.58,1.41,2437,"Most people pay between $250-499 for water & sewer annually"
"CT0210011",293,80938,23972,1.39,1.55,94.85,0,0,0,2.21,0.41,2.21,31.15,30.62,5.2,5.62,40.62,6.25,35.62,5.62,6.25,15.01,13.92,86.08,5.15,14.31,6.3,472,"Most people pay between $125-249 for water & sewer annually"
"CT0220011",72,95364,49860,0.91,1.21,92.1,0,0,0,5.78,4.08,3.58,24.88,14.9,5.48,0,64,0,36,0,0,5.52,16.93,83.07,7.9,5.6,3.86,538,"Most people pay between $125-249 for water & sewer annually"
"CT0220191",5,95364,49860,0.91,1.21,92.1,0,0,0,5.78,4.08,3.58,24.88,14.9,5.48,0,64,0,36,0,0,5.52,16.93,83.07,7.9,5.6,3.86,59,"Most people pay between $125-249 for water & sewer annually"
"CT0229031",69,95364,49860,0.91,1.21,92.1,0,0,0,5.78,4.08,3.58,24.88,14.9,5.48,0,64,0,36,0,0,5.52,16.93,83.07,7.9,5.6,3.86,642,"Most people pay between $125-249 for water & sewer annually"
"CT0230011",6193,100337,45095,1.87,5.4,88.48,0.3,0,1.13,2.82,2.33,4.94,25.01,30.68,2.22,5.53,6.04,24.97,22.69,15.79,24.97,4.81,27.86,72.14,11.52,4.1,2.23,1065,"Most people pay between $250-499 for water & sewer annually"
"CT0231011",53,NA,NA,3.1,1.34,91.23,0.3,0,1.34,2.69,2.98,5.02,28.42,29.61,2.59,6.57,3.59,33.26,21.75,15.53,19.29,4.55,25.94,74.06,8.77,3.56,2.77,1265,"Most people pay between $250-499 for water & sewer annually"
"CT0248011",26,NA,NA,0.36,0.41,87.91,0.54,0,1.68,9.1,9.51,4.85,24.37,11.75,0.38,0,0,84.85,0,0,15.15,7.73,14,86,12.09,5.12,3.03,337,"Most people pay between $250-499 for water & sewer annually"
"CT0251021",37,138438,48250,0.32,2.21,92.1,0,0,3.47,1.9,4.66,2.88,30.92,36.05,7.12,2.69,2.69,21.2,22.46,17.19,33.77,9.06,14.89,85.11,7.9,5.61,2.53,454,"Most people pay > $1000 for water & sewer annually"
