"pwsid","huc12","num_facilities","npdes_permits","total_permit_eff_viols","total_open_usts","total_facilities_w_rmps","streams_303d_list"
"CT0420031",10802050803,1,1,0,15,0,2
"CT0420071",10802050803,1,1,0,15,0,2
"CT0421001",10802050803,1,1,0,15,0,2
"CT0421011",10802050702,1,4,0,66,1,4
"CT0424011",10802050803,1,1,0,15,0,2
"CT0427011",10802050803,2,1,0,15,0,2
"CT0427021",10802050803,4,1,0,15,0,2
"CT0428031",10802050803,10,1,0,15,0,2
"CT0429011",10802050803,6,1,0,15,0,2
"CT0429011",10802050805,2,0,0,2,0,0
"CT0429031",10802050803,2,1,0,15,0,2
"CT0429121",10802050805,4,0,0,2,0,0
"CT0450011",11000030306,5,1,0,26,0,2
"CT0470021",10802050203,1,1,0,15,1,5
"CT0470071",10802050202,2,1,0,5,0,4
"CT0473011",10802050102,5,6,0,68,0,6
"CT0473011",10802050104,1,0,0,23,0,3
"CT0473011",10802050105,1,6,0,108,2,2
"CT0473011",10802050203,12,1,0,15,1,5
"CT0473011",10802050401,7,1,0,60,0,6
"CT0473011",10802050402,1,5,0,158,0,8
"CT0490021",10802050105,1,6,0,108,2,2
"CT0490021",10802050203,10,1,0,15,1,5
"CT0490031",10802050105,1,6,0,108,2,2
"CT0490031",10802050203,7,1,0,15,1,5
"CT0490041",10802050105,1,6,0,108,2,2
"CT0500011",10802050905,2,0,0,49,0,5
"CT0500021",10802050904,1,1,0,13,0,1
"CT0501001",10802050904,1,1,0,13,0,1
"CT0520011",10802070404,1,1,0,141,1,5
"CT0520011",10802070405,7,1,0,22,0,0
"CT0520011",11000040103,1,3,0,211,2,14
"CT0550011",11000050701,1,0,0,0,0,0
"CT0550321",11000050702,1,3,0,22,0,0
"CT0560011",10802070501,2,0,0,0,0,0
"CT0570011",11000060402,3,1,0,17,0,1
"CT0570011",11000060403,1,11,0,5,0,1
"CT0570011",11000060405,3,9,1,69,0,8
"CT0579143",11000060403,1,11,0,5,0,1
"CT0579143",11000060405,2,9,1,69,0,8
"CT0580011",11000010702,2,2,0,10,0,0
"CT0580011",11000010704,2,0,0,24,0,3
"CT0580021",11000010602,2,0,0,18,0,0
"CT0580031",11000010601,1,0,0,8,0,1
"CT0580041",11000010602,2,0,0,18,0,0
"CT0580051",11000010602,2,0,0,18,0,0
"CT0580061",11000010704,1,0,0,24,0,3
"CT0590011",11000030203,1,5,0,99,0,4
"CT0590011",11000030302,7,0,0,8,0,0
"CT0590071",11000030301,2,1,0,9,0,1
"CT0597021",11000030303,1,3,0,100,0,7
"CT0600041",11000040204,6,1,0,33,0,0
"CT0606011",11000040204,1,1,0,33,0,0
"CT0608011",11000040201,4,0,0,0,0,0
"CT0608011",11000040202,2,0,0,15,0,2
"CT0608011",11000040204,2,1,0,33,0,0
"CT0608011",11000040207,2,0,0,18,0,1
"CT0608011",11000040208,1,4,0,63,1,4
"CT0614021",10802050702,2,4,0,66,1,4
"CT0640011",10802050301,4,1,0,66,0,3
"CT0640011",10802050302,2,1,0,43,0,1
"CT0640011",10802070302,1,0,0,0,0,1
"CT0640011",10802070401,1,1,0,0,0,0
"CT0660341",11000051103,2,0,0,54,0,0
"CT0670011",11000020106,2,0,0,27,0,0
"CT0670021",10802050801,1,0,0,5,0,1
"CT0670041",10802050802,1,1,0,27,0,1
"CT0670051",10802050802,1,1,0,27,0,1
"CT0670331",10802050802,1,1,0,27,0,1
"CT0671021",10802050802,2,1,0,27,0,1
"CT0672021",10802050802,2,1,0,27,0,1
"CT0672031",10802050802,6,1,0,27,0,1
"CT0680011",11000050402,1,0,0,18,0,1
"CT0680011",11000050604,1,2,0,31,0,2
"CT0680021",11000050402,2,0,0,18,0,1
"CT0680031",11000050401,2,0,0,0,0,1
"CT0688011",11000050402,2,0,0,18,0,1
"CT0690011",11000010302,3,0,0,19,0,0
"CT0690011",11000010403,3,3,0,32,0,3
"CT0690051",11000010403,1,3,0,32,0,3
"CT0690061",11000010302,2,0,0,19,0,0
"CT0690071",11000010302,1,0,0,19,0,0
"CT0690141",11000010503,2,2,0,30,0,0
"CT0699231",11000010403,1,3,0,32,0,3
"CT0700011",11000040201,2,0,0,0,0,0
"CT0709133",11000040201,1,0,0,0,0,0
"CT0710011",11000030101,4,0,0,0,0,1
"CT0710021",11000030102,1,0,0,23,0,1
"CT0711001",11000030102,1,0,0,23,0,1
"CT0711071",11000030103,1,1,0,32,1,6
"CT0720011",11000030302,2,0,0,8,0,0
"CT0720041",11000030203,9,5,0,99,0,4
