"pwsid","date_issued","date_lifted","epic_date_lifted_flag","type","state"
"LA1001002   ","2020-07-11","2020-07-15","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1001002   ","2020-07-16","2020-07-18","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1001002   ","2020-07-23","2020-07-24","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1001002   ","2020-07-29","2020-07-30","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1001002   ","2020-08-05","2020-08-07","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1001002   ","2020-09-17","2020-09-18","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1001002   ","2020-09-19","2020-09-20","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1001002   ","2020-09-22","2020-09-24","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1001002   ","2020-09-23","2020-09-24","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1001002   ","2020-10-01","2020-10-03","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1001002   ","2020-10-04","2020-10-05","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1001002   ","2020-10-08","2020-10-09","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1001002   ","2020-10-18","2020-10-19","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1001002   ","2020-12-17","2020-12-20","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1001002   ","2020-12-19","2020-12-21","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1001002   ","2020-01-06","2020-01-08","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1001002   ","2020-01-08","2020-01-10","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1001002   ","2020-03-12","2020-03-14","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1001002   ","2020-03-13","2020-03-15","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1001002   ","2020-03-13","2020-03-15","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1001002   ","2020-03-28","2020-03-30","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1001002   ","2020-03-30","2020-03-31","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1001002   ","2020-04-04","2020-04-04","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1001002   ","2020-04-07","2020-04-08","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1001002   ","2020-04-09","2020-04-11","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1001002   ","2020-04-28","2020-04-30","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1001002   ","2020-05-06","2020-05-08","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1001002   ","2020-06-12","2020-06-13","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1001002   ","2020-06-17","2020-06-18","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1001002   ","2020-07-02","2020-07-07","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1001003   ","2020-07-12","2020-07-12","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
