"pwsid","date_issued","date_lifted","epic_date_lifted_flag","type","state"
"LA1099004   ","2020-02-03","2020-02-03","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1099005   ","2020-10-24","2020-10-26","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1099005   ","2020-12-06","2020-12-07","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1099005   ","2020-06-11","2020-06-14","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1099007   ","2020-10-25","2020-10-26","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1099007   ","2020-01-29","2020-01-30","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1099007   ","2020-02-04","2020-02-05","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1099007   ","2020-03-14","2020-03-15","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1099007   ","2020-05-14","2020-05-15","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1099007   ","2020-06-24","2020-06-25","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1099007   ","2020-06-27","2020-07-02","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1099007   ","2020-06-30","2020-07-08","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1099009   ","2020-08-12","2020-08-24","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1099009   ","2020-01-06","2020-01-07","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1099010   ","2020-11-21","2020-12-11","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1099010   ","2020-04-22","2020-04-24","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1099010   ","2020-04-30","2020-05-08","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1099010   ","2020-06-04","2020-06-04","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1101003   ","2020-06-13","2020-06-18","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1101003   ","2020-07-02","2020-07-04","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1101006   ","2020-01-17","2020-01-19","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1101009   ","2020-11-15","2020-11-15","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1101009   ","2020-03-28","2020-04-04","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1101011   ","2020-09-24","2020-09-25","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1101011   ","2020-12-03","2020-12-04","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1101014   ","2020-12-03","2020-12-05","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1101014   ","2020-01-31","2020-02-01","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1103002   ","2020-07-23","2020-07-23","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1103002   ","2020-09-03","2020-09-05","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1103002   ","2020-02-11","2020-02-13","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1103002   ","2020-02-12","2020-02-15","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1103002   ","2020-02-20","2020-02-25","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1103002   ","2020-05-08","2020-05-13","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1103005   ","2020-07-11","2020-07-11","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1103005   ","2020-07-16","2020-07-18","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1103005   ","2020-08-09","2020-08-09","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1103005   ","2020-08-21","2020-08-22","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1103005   ","2020-01-13","2020-01-15","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1103005   ","2020-02-27","2020-02-28","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1103005   ","2020-04-21","2020-04-24","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1103006   ","2020-07-11","2020-07-13","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1103011   ","2020-07-22","2020-07-23","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1103011   ","2020-09-18","2020-09-19","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1103011   ","2020-10-08","2020-10-10","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1103011   ","2020-11-18","2020-11-21","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1103011   ","2020-04-07","2020-04-09","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1103011   ","2020-04-15","2020-04-17","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1103011   ","2020-05-14","2020-05-15","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1103011   ","2020-06-17","2020-06-18","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1103013   ","2020-07-31","2020-08-01","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1103013   ","2020-08-12","2020-08-14","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1103013   ","2020-08-23","2020-08-24","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1103013   ","2020-09-03","2020-09-05","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1103013   ","2020-10-12","2020-10-15","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1103013   ","2020-10-25","2020-10-26","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1103013   ","2020-01-14","2020-01-16","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1103013   ","2020-03-06","2020-03-08","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1103013   ","2020-03-07","2020-03-11","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1103013   ","2020-04-22","2020-04-24","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1103013   ","2020-04-26","2020-04-29","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1103014   ","2020-01-24","2020-01-28","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1103018   ","2020-09-27","2020-10-01","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1103018   ","2020-11-18","2020-11-22","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1103018   ","2020-12-11","2020-12-13","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1103020   ","2020-08-12","2020-08-13","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1103020   ","2020-08-17","2020-08-17","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1103020   ","2020-02-14","2020-02-15","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1103020   ","2020-02-17","2020-02-18","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1103020   ","2020-02-26","2020-02-27","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1103020   ","2020-03-05","2020-03-06","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1103020   ","2020-03-24","2020-03-25","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1103020   ","2020-04-14","2020-04-15","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1103020   ","2020-04-28","2020-04-29","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1103020   ","2020-05-12","2020-05-13","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1103020   ","2020-05-31","2020-05-31","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1103020   ","2020-06-10","2020-06-11","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1103022   ","2020-02-03","2020-02-04","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1103022   ","2020-04-14","2020-04-15","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1103023   ","2020-08-14","2020-08-16","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1103023   ","2020-08-22","2020-08-23","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1103023   ","2020-09-19","2020-09-20","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1103023   ","2020-09-22","2020-09-24","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1103023   ","2020-10-01","2020-10-02","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1103023   ","2020-10-09","2020-10-09","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1103023   ","2020-10-24","2020-10-26","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1103023   ","2020-10-31","2020-11-01","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1103023   ","2020-11-06","2020-11-08","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1103023   ","2020-11-21","2020-11-22","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1103023   ","2020-01-11","2020-01-14","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1103023   ","2020-02-11","2020-02-13","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1103023   ","2020-03-06","2020-03-08","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1103023   ","2020-03-21","2020-03-27","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1103023   ","2020-03-28","2020-04-02","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1103023   ","2020-04-11","2020-04-16","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1103023   ","2020-04-23","2020-04-24","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1103023   ","2020-05-12","2020-05-14","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1103023   ","2020-05-20","2020-05-21","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1103023   ","2020-06-17","2020-06-17","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1103033   ","2020-07-08","2020-07-10","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1103033   ","2020-10-01","2020-10-03","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1103033   ","2020-03-06","2020-03-08","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1103033   ","2020-03-19","2020-03-21","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1103033   ","2020-06-16","2020-06-18","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1103039   ","2020-11-18","2020-11-26","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1103041   ","2020-08-09","2020-08-10","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1103041   ","2020-09-18","2020-09-19","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1103041   ","2020-10-19","2020-10-22","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1103041   ","2020-12-19","2020-12-21","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1103041   ","2020-03-17","2020-03-19","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1103041   ","2020-06-10","2020-06-12","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1103041   ","2020-07-03","2020-07-04","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1103043   ","2020-10-01","2020-10-02","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1103043   ","2020-11-07","2020-11-09","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1103046   ","2020-07-09","2020-07-10","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1103046   ","2020-07-11","2020-07-13","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1103046   ","2020-08-13","2020-08-15","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1103046   ","2020-10-29","2020-10-30","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1103046   ","2020-12-19","2020-12-21","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1103046   ","2020-01-27","2020-01-29","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1103046   ","2020-02-13","2020-02-15","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1103046   ","2020-03-04","2020-03-07","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1103046   ","2020-04-19","2020-04-23","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1103046   ","2020-05-14","2020-05-16","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1103046   ","2020-05-19","2020-05-21","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1103046   ","2020-07-03","2020-07-03","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1103053   ","2020-08-19","2020-08-21","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1103053   ","2020-08-28","2020-08-30","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1103053   ","2020-09-15","2020-09-17","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1103053   ","2020-09-18","2020-09-20","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1103053   ","2020-09-23","2020-09-25","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1103053   ","2020-10-30","2020-11-02","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1103053   ","2020-03-12","2020-03-15","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1103053   ","2020-03-26","2020-03-28","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1103053   ","2020-05-14","2020-05-15","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1103053   ","2020-06-25","2020-06-25","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1103054   ","2020-10-08","2020-10-10","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1103054   ","2020-10-22","2020-10-25","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1103054   ","2020-10-28","2020-10-29","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1103054   ","2020-12-31","2020-01-03","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1103054   ","2020-03-05","2020-03-07","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1103054   ","2020-04-02","2020-04-04","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1103056   ","2020-08-14","2020-08-16","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1103056   ","2020-08-26","2020-08-28","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1103056   ","2020-09-07","2020-09-10","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1103056   ","2020-09-16","2020-09-19","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1103056   ","2020-09-26","2020-10-02","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1103056   ","2020-10-09","2020-10-21","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1103056   ","2020-10-21","2020-10-23","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1103056   ","2020-10-29","2020-10-31","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1103056   ","2020-11-06","2020-11-08","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1103056   ","2020-12-17","2020-12-19","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1103056   ","2020-12-26","2020-12-24","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1103056   ","2020-01-12","2020-01-14","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1103056   ","2020-01-17","2020-01-25","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1103056   ","2020-02-17","2020-02-19","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1103056   ","2020-02-27","2020-03-01","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1103056   ","2020-05-08","2020-05-09","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1103056   ","2020-06-23","2020-06-25","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1103056   ","2020-06-30","2020-07-03","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1103064   ","2020-07-09","2020-07-11","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1103064   ","2020-08-27","2020-08-28","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1103064   ","2020-09-06","2020-09-06","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1103064   ","2020-09-23","2020-10-03","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1103064   ","2020-10-01","2020-10-03","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1103064   ","2020-12-17","2020-12-19","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1103064   ","2020-12-17","2020-12-19","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1103066   ","2020-10-22","2020-10-24","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1103073   ","2020-02-25","2020-02-27","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1103073   ","2020-03-05","2020-03-07","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1103074   ","2020-09-04","2020-09-09","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1103074   ","2020-10-15","2020-10-16","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1103074   ","2020-12-15","2020-12-17","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1103074   ","2020-01-16","2020-01-16","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1103074   ","2020-05-14","2020-05-15","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1103079   ","2020-08-27","2020-08-29","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1103079   ","2020-09-10","2020-09-11","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1103079   ","2020-01-08","2020-01-09","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1103079   ","2020-02-11","2020-02-12","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1103079   ","2020-03-27","2020-04-01","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1103079   ","2020-05-01","2020-05-02","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1103079   ","2020-06-02","2020-06-04","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1103079   ","2020-06-03","2020-06-04","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1103079   ","2020-06-10","2020-06-11","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1103093   ","2020-07-17","2020-07-19","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1103093   ","2020-02-12","2020-02-14","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1103093   ","2020-04-07","2020-04-09","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1103093   ","2020-05-23","2020-05-24","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1103105   ","2020-08-05","2020-08-07","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1103106   ","2020-10-21","2020-10-22","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1103106   ","2020-01-07","2020-01-11","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1103106   ","2020-01-15","2020-01-18","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1103106   ","2020-05-09","2020-05-15","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1103110   ","2020-07-25","2020-07-30","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1103110   ","2020-08-30","2020-09-07","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1103118   ","2020-10-21","2020-10-22","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1103118   ","2020-11-20","2020-11-21","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1103118   ","2020-01-14","2020-01-15","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1103118   ","2020-03-14","2020-03-15","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1103118   ","2020-03-17","2020-03-19","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1103118   ","2020-05-21","2020-05-23","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1103122   ","2020-07-05","2020-07-10","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1103122   ","2020-08-30","2020-09-05","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1103122   ","2020-02-17","2020-02-19","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1103124   ","2020-09-25","2020-09-26","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1103124   ","2020-10-16","2020-10-18","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1103124   ","2020-12-12","2020-12-13","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1103124   ","2020-12-17","2020-12-18","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1103124   ","2020-01-02","2020-01-03","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1103124   ","2020-01-29","2020-01-30","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1103124   ","2020-03-03","2020-03-04","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1103124   ","2020-04-02","2020-04-04","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1103124   ","2020-04-28","2020-04-29","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1103124   ","2020-05-12","2020-05-13","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1103129   ","2020-02-04","2020-02-05","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1103130   ","2020-08-13","2020-08-14","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1103130   ","2020-08-27","2020-08-29","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1103130   ","2020-06-18","2020-06-18","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1103132   ","2020-08-27","2020-08-28","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1103132   ","2020-01-31","2020-02-01","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1103132   ","2020-02-05","2020-02-07","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1103132   ","2020-04-10","2020-04-12","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1103132   ","2020-06-25","Open","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1103132   ","2020-06-27","2020-07-01","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1103139   ","2020-09-16","2020-09-17","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1103141   ","2020-03-23","2020-03-28","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1103141   ","2020-05-19","2020-05-21","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1103145   ","2020-02-19","2020-02-19","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1103145   ","2020-03-04","2020-03-06","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1103145   ","2020-04-19","2020-04-22","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1103148   ","2020-10-22","2020-10-23","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1103148   ","2020-05-08","2020-05-08","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1103149   ","2020-10-02","2020-10-03","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1103149   ","2020-10-16","2020-10-18","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1103149   ","2020-10-28","2020-10-29","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1103149   ","2020-12-05","2020-12-05","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1103149   ","2020-12-13","2020-12-14","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
