"pwsid","date_of_first_advisory","date_of_last_advisory","total_bwn","min_reporting_year_for_state","max_reporting_year_for_state","state","data_tool_tip","download_link","clean_date_range"
"AK2121123",2020-03-31,2020-03-31,1,1993-12-31,2026-01-28,"Alaska","Continuous data collection started on Sept 10th, 2025, and updates are completed quarterly. Please refer to the source link for the most current information.","https://gis.data.alaska.gov/datasets/ADEC::boil-water-and-do-not-drink-notice-open/explore?location=56.210819%2C-157.551116%2C7.85&showTable=true","Based on the records provided by the state, data covers 1993 to 2026"
"AK2210794",2018-05-14,2018-05-14,1,1993-12-31,2026-01-28,"Alaska","Continuous data collection started on Sept 10th, 2025, and updates are completed quarterly. Please refer to the source link for the most current information.","https://gis.data.alaska.gov/datasets/ADEC::boil-water-and-do-not-drink-notice-open/explore?location=56.210819%2C-157.551116%2C7.85&showTable=true","Based on the records provided by the state, data covers 1993 to 2026"
"AK2211091",NA,NA,1,1993-12-31,2026-01-28,"Alaska","Continuous data collection started on Sept 10th, 2025, and updates are completed quarterly. Please refer to the source link for the most current information.","https://gis.data.alaska.gov/datasets/ADEC::boil-water-and-do-not-drink-notice-open/explore?location=56.210819%2C-157.551116%2C7.85&showTable=true","Based on the records provided by the state, data covers 1993 to 2026"
"AK2211130",2025-10-17,2025-10-17,1,1993-12-31,2026-01-28,"Alaska","Continuous data collection started on Sept 10th, 2025, and updates are completed quarterly. Please refer to the source link for the most current information.","https://gis.data.alaska.gov/datasets/ADEC::boil-water-and-do-not-drink-notice-open/explore?location=56.210819%2C-157.551116%2C7.85&showTable=true","Based on the records provided by the state, data covers 1993 to 2026"
"AK2211677",2025-10-09,2025-10-09,1,1993-12-31,2026-01-28,"Alaska","Continuous data collection started on Sept 10th, 2025, and updates are completed quarterly. Please refer to the source link for the most current information.","https://gis.data.alaska.gov/datasets/ADEC::boil-water-and-do-not-drink-notice-open/explore?location=56.210819%2C-157.551116%2C7.85&showTable=true","Based on the records provided by the state, data covers 1993 to 2026"
"AK2220070",2025-09-16,2025-12-11,2,1993-12-31,2026-01-28,"Alaska","Continuous data collection started on Sept 10th, 2025, and updates are completed quarterly. Please refer to the source link for the most current information.","https://gis.data.alaska.gov/datasets/ADEC::boil-water-and-do-not-drink-notice-open/explore?location=56.210819%2C-157.551116%2C7.85&showTable=true","Based on the records provided by the state, data covers 1993 to 2026"
"AK2220153",2025-12-07,2025-12-07,1,1993-12-31,2026-01-28,"Alaska","Continuous data collection started on Sept 10th, 2025, and updates are completed quarterly. Please refer to the source link for the most current information.","https://gis.data.alaska.gov/datasets/ADEC::boil-water-and-do-not-drink-notice-open/explore?location=56.210819%2C-157.551116%2C7.85&showTable=true","Based on the records provided by the state, data covers 1993 to 2026"
"AK2220488",2025-12-07,2025-12-07,1,1993-12-31,2026-01-28,"Alaska","Continuous data collection started on Sept 10th, 2025, and updates are completed quarterly. Please refer to the source link for the most current information.","https://gis.data.alaska.gov/datasets/ADEC::boil-water-and-do-not-drink-notice-open/explore?location=56.210819%2C-157.551116%2C7.85&showTable=true","Based on the records provided by the state, data covers 1993 to 2026"
"AK2220493",2025-12-07,2025-12-07,1,1993-12-31,2026-01-28,"Alaska","Continuous data collection started on Sept 10th, 2025, and updates are completed quarterly. Please refer to the source link for the most current information.","https://gis.data.alaska.gov/datasets/ADEC::boil-water-and-do-not-drink-notice-open/explore?location=56.210819%2C-157.551116%2C7.85&showTable=true","Based on the records provided by the state, data covers 1993 to 2026"
"AK2223315",2025-09-11,2025-09-11,1,1993-12-31,2026-01-28,"Alaska","Continuous data collection started on Sept 10th, 2025, and updates are completed quarterly. Please refer to the source link for the most current information.","https://gis.data.alaska.gov/datasets/ADEC::boil-water-and-do-not-drink-notice-open/explore?location=56.210819%2C-157.551116%2C7.85&showTable=true","Based on the records provided by the state, data covers 1993 to 2026"
"AK2224214",2025-12-07,2025-12-07,1,1993-12-31,2026-01-28,"Alaska","Continuous data collection started on Sept 10th, 2025, and updates are completed quarterly. Please refer to the source link for the most current information.","https://gis.data.alaska.gov/datasets/ADEC::boil-water-and-do-not-drink-notice-open/explore?location=56.210819%2C-157.551116%2C7.85&showTable=true","Based on the records provided by the state, data covers 1993 to 2026"
"AK2224337",2025-12-07,2025-12-07,1,1993-12-31,2026-01-28,"Alaska","Continuous data collection started on Sept 10th, 2025, and updates are completed quarterly. Please refer to the source link for the most current information.","https://gis.data.alaska.gov/datasets/ADEC::boil-water-and-do-not-drink-notice-open/explore?location=56.210819%2C-157.551116%2C7.85&showTable=true","Based on the records provided by the state, data covers 1993 to 2026"
"AK2226020",2025-09-18,2025-09-18,1,1993-12-31,2026-01-28,"Alaska","Continuous data collection started on Sept 10th, 2025, and updates are completed quarterly. Please refer to the source link for the most current information.","https://gis.data.alaska.gov/datasets/ADEC::boil-water-and-do-not-drink-notice-open/explore?location=56.210819%2C-157.551116%2C7.85&showTable=true","Based on the records provided by the state, data covers 1993 to 2026"
"AK2226051",2025-12-07,2025-12-07,1,1993-12-31,2026-01-28,"Alaska","Continuous data collection started on Sept 10th, 2025, and updates are completed quarterly. Please refer to the source link for the most current information.","https://gis.data.alaska.gov/datasets/ADEC::boil-water-and-do-not-drink-notice-open/explore?location=56.210819%2C-157.551116%2C7.85&showTable=true","Based on the records provided by the state, data covers 1993 to 2026"
"AK2226057",2025-12-07,2025-12-07,1,1993-12-31,2026-01-28,"Alaska","Continuous data collection started on Sept 10th, 2025, and updates are completed quarterly. Please refer to the source link for the most current information.","https://gis.data.alaska.gov/datasets/ADEC::boil-water-and-do-not-drink-notice-open/explore?location=56.210819%2C-157.551116%2C7.85&showTable=true","Based on the records provided by the state, data covers 1993 to 2026"
"AK2240464",2025-02-23,2025-02-23,1,1993-12-31,2026-01-28,"Alaska","Continuous data collection started on Sept 10th, 2025, and updates are completed quarterly. Please refer to the source link for the most current information.","https://gis.data.alaska.gov/datasets/ADEC::boil-water-and-do-not-drink-notice-open/explore?location=56.210819%2C-157.551116%2C7.85&showTable=true","Based on the records provided by the state, data covers 1993 to 2026"
"AK2247953",1993-12-31,1993-12-31,1,1993-12-31,2026-01-28,"Alaska","Continuous data collection started on Sept 10th, 2025, and updates are completed quarterly. Please refer to the source link for the most current information.","https://gis.data.alaska.gov/datasets/ADEC::boil-water-and-do-not-drink-notice-open/explore?location=56.210819%2C-157.551116%2C7.85&showTable=true","Based on the records provided by the state, data covers 1993 to 2026"
"AK2250053",2025-12-27,2025-12-27,1,1993-12-31,2026-01-28,"Alaska","Continuous data collection started on Sept 10th, 2025, and updates are completed quarterly. Please refer to the source link for the most current information.","https://gis.data.alaska.gov/datasets/ADEC::boil-water-and-do-not-drink-notice-open/explore?location=56.210819%2C-157.551116%2C7.85&showTable=true","Based on the records provided by the state, data covers 1993 to 2026"
"AK2250061",2025-10-31,2025-10-31,1,1993-12-31,2026-01-28,"Alaska","Continuous data collection started on Sept 10th, 2025, and updates are completed quarterly. Please refer to the source link for the most current information.","https://gis.data.alaska.gov/datasets/ADEC::boil-water-and-do-not-drink-notice-open/explore?location=56.210819%2C-157.551116%2C7.85&showTable=true","Based on the records provided by the state, data covers 1993 to 2026"
"AK2250087",2018-02-06,2018-02-06,1,1993-12-31,2026-01-28,"Alaska","Continuous data collection started on Sept 10th, 2025, and updates are completed quarterly. Please refer to the source link for the most current information.","https://gis.data.alaska.gov/datasets/ADEC::boil-water-and-do-not-drink-notice-open/explore?location=56.210819%2C-157.551116%2C7.85&showTable=true","Based on the records provided by the state, data covers 1993 to 2026"
"AK2250126",2025-07-21,2025-11-30,3,1993-12-31,2026-01-28,"Alaska","Continuous data collection started on Sept 10th, 2025, and updates are completed quarterly. Please refer to the source link for the most current information.","https://gis.data.alaska.gov/datasets/ADEC::boil-water-and-do-not-drink-notice-open/explore?location=56.210819%2C-157.551116%2C7.85&showTable=true","Based on the records provided by the state, data covers 1993 to 2026"
"AK2260032",2024-07-08,2024-07-08,1,1993-12-31,2026-01-28,"Alaska","Continuous data collection started on Sept 10th, 2025, and updates are completed quarterly. Please refer to the source link for the most current information.","https://gis.data.alaska.gov/datasets/ADEC::boil-water-and-do-not-drink-notice-open/explore?location=56.210819%2C-157.551116%2C7.85&showTable=true","Based on the records provided by the state, data covers 1993 to 2026"
"AK2260040",2025-05-19,2025-12-17,2,1993-12-31,2026-01-28,"Alaska","Continuous data collection started on Sept 10th, 2025, and updates are completed quarterly. Please refer to the source link for the most current information.","https://gis.data.alaska.gov/datasets/ADEC::boil-water-and-do-not-drink-notice-open/explore?location=56.210819%2C-157.551116%2C7.85&showTable=true","Based on the records provided by the state, data covers 1993 to 2026"
"AK2260058",2026-01-22,2026-01-22,1,1993-12-31,2026-01-28,"Alaska","Continuous data collection started on Sept 10th, 2025, and updates are completed quarterly. Please refer to the source link for the most current information.","https://gis.data.alaska.gov/datasets/ADEC::boil-water-and-do-not-drink-notice-open/explore?location=56.210819%2C-157.551116%2C7.85&showTable=true","Based on the records provided by the state, data covers 1993 to 2026"
"AK2260163",2021-02-23,2021-02-23,1,1993-12-31,2026-01-28,"Alaska","Continuous data collection started on Sept 10th, 2025, and updates are completed quarterly. Please refer to the source link for the most current information.","https://gis.data.alaska.gov/datasets/ADEC::boil-water-and-do-not-drink-notice-open/explore?location=56.210819%2C-157.551116%2C7.85&showTable=true","Based on the records provided by the state, data covers 1993 to 2026"
"AK2260197",2025-12-01,2025-12-01,1,1993-12-31,2026-01-28,"Alaska","Continuous data collection started on Sept 10th, 2025, and updates are completed quarterly. Please refer to the source link for the most current information.","https://gis.data.alaska.gov/datasets/ADEC::boil-water-and-do-not-drink-notice-open/explore?location=56.210819%2C-157.551116%2C7.85&showTable=true","Based on the records provided by the state, data covers 1993 to 2026"
"AK2260228",2025-06-17,2025-06-17,1,1993-12-31,2026-01-28,"Alaska","Continuous data collection started on Sept 10th, 2025, and updates are completed quarterly. Please refer to the source link for the most current information.","https://gis.data.alaska.gov/datasets/ADEC::boil-water-and-do-not-drink-notice-open/explore?location=56.210819%2C-157.551116%2C7.85&showTable=true","Based on the records provided by the state, data covers 1993 to 2026"
"AK2260260",2025-09-09,2026-01-28,2,1993-12-31,2026-01-28,"Alaska","Continuous data collection started on Sept 10th, 2025, and updates are completed quarterly. Please refer to the source link for the most current information.","https://gis.data.alaska.gov/datasets/ADEC::boil-water-and-do-not-drink-notice-open/explore?location=56.210819%2C-157.551116%2C7.85&showTable=true","Based on the records provided by the state, data covers 1993 to 2026"
"AK2260333",2025-08-23,2025-08-23,1,1993-12-31,2026-01-28,"Alaska","Continuous data collection started on Sept 10th, 2025, and updates are completed quarterly. Please refer to the source link for the most current information.","https://gis.data.alaska.gov/datasets/ADEC::boil-water-and-do-not-drink-notice-open/explore?location=56.210819%2C-157.551116%2C7.85&showTable=true","Based on the records provided by the state, data covers 1993 to 2026"
"AK2260367",2025-06-29,2026-01-19,5,1993-12-31,2026-01-28,"Alaska","Continuous data collection started on Sept 10th, 2025, and updates are completed quarterly. Please refer to the source link for the most current information.","https://gis.data.alaska.gov/datasets/ADEC::boil-water-and-do-not-drink-notice-open/explore?location=56.210819%2C-157.551116%2C7.85&showTable=true","Based on the records provided by the state, data covers 1993 to 2026"
"AK2260595",2012-01-23,2012-01-23,1,1993-12-31,2026-01-28,"Alaska","Continuous data collection started on Sept 10th, 2025, and updates are completed quarterly. Please refer to the source link for the most current information.","https://gis.data.alaska.gov/datasets/ADEC::boil-water-and-do-not-drink-notice-open/explore?location=56.210819%2C-157.551116%2C7.85&showTable=true","Based on the records provided by the state, data covers 1993 to 2026"
"AK2260804",2021-10-04,2021-10-04,1,1993-12-31,2026-01-28,"Alaska","Continuous data collection started on Sept 10th, 2025, and updates are completed quarterly. Please refer to the source link for the most current information.","https://gis.data.alaska.gov/datasets/ADEC::boil-water-and-do-not-drink-notice-open/explore?location=56.210819%2C-157.551116%2C7.85&showTable=true","Based on the records provided by the state, data covers 1993 to 2026"
"AK2260820",2025-09-21,2025-09-21,1,1993-12-31,2026-01-28,"Alaska","Continuous data collection started on Sept 10th, 2025, and updates are completed quarterly. Please refer to the source link for the most current information.","https://gis.data.alaska.gov/datasets/ADEC::boil-water-and-do-not-drink-notice-open/explore?location=56.210819%2C-157.551116%2C7.85&showTable=true","Based on the records provided by the state, data covers 1993 to 2026"
"AK2261096",2024-01-03,2024-01-03,1,1993-12-31,2026-01-28,"Alaska","Continuous data collection started on Sept 10th, 2025, and updates are completed quarterly. Please refer to the source link for the most current information.","https://gis.data.alaska.gov/datasets/ADEC::boil-water-and-do-not-drink-notice-open/explore?location=56.210819%2C-157.551116%2C7.85&showTable=true","Based on the records provided by the state, data covers 1993 to 2026"
"AK2261444",2022-06-26,2022-06-26,1,1993-12-31,2026-01-28,"Alaska","Continuous data collection started on Sept 10th, 2025, and updates are completed quarterly. Please refer to the source link for the most current information.","https://gis.data.alaska.gov/datasets/ADEC::boil-water-and-do-not-drink-notice-open/explore?location=56.210819%2C-157.551116%2C7.85&showTable=true","Based on the records provided by the state, data covers 1993 to 2026"
"AK2263006",2025-01-27,2025-01-27,1,1993-12-31,2026-01-28,"Alaska","Continuous data collection started on Sept 10th, 2025, and updates are completed quarterly. Please refer to the source link for the most current information.","https://gis.data.alaska.gov/datasets/ADEC::boil-water-and-do-not-drink-notice-open/explore?location=56.210819%2C-157.551116%2C7.85&showTable=true","Based on the records provided by the state, data covers 1993 to 2026"
"AK2270150",2022-09-06,2025-11-17,3,1993-12-31,2026-01-28,"Alaska","Continuous data collection started on Sept 10th, 2025, and updates are completed quarterly. Please refer to the source link for the most current information.","https://gis.data.alaska.gov/datasets/ADEC::boil-water-and-do-not-drink-notice-open/explore?location=56.210819%2C-157.551116%2C7.85&showTable=true","Based on the records provided by the state, data covers 1993 to 2026"
"AK2270168",2026-01-28,2026-01-28,1,1993-12-31,2026-01-28,"Alaska","Continuous data collection started on Sept 10th, 2025, and updates are completed quarterly. Please refer to the source link for the most current information.","https://gis.data.alaska.gov/datasets/ADEC::boil-water-and-do-not-drink-notice-open/explore?location=56.210819%2C-157.551116%2C7.85&showTable=true","Based on the records provided by the state, data covers 1993 to 2026"
"AK2270184",2024-06-19,2024-06-19,1,1993-12-31,2026-01-28,"Alaska","Continuous data collection started on Sept 10th, 2025, and updates are completed quarterly. Please refer to the source link for the most current information.","https://gis.data.alaska.gov/datasets/ADEC::boil-water-and-do-not-drink-notice-open/explore?location=56.210819%2C-157.551116%2C7.85&showTable=true","Based on the records provided by the state, data covers 1993 to 2026"
"AK2270338",2025-10-12,2025-10-12,1,1993-12-31,2026-01-28,"Alaska","Continuous data collection started on Sept 10th, 2025, and updates are completed quarterly. Please refer to the source link for the most current information.","https://gis.data.alaska.gov/datasets/ADEC::boil-water-and-do-not-drink-notice-open/explore?location=56.210819%2C-157.551116%2C7.85&showTable=true","Based on the records provided by the state, data covers 1993 to 2026"
"AK2270346",2025-07-27,2025-07-27,1,1993-12-31,2026-01-28,"Alaska","Continuous data collection started on Sept 10th, 2025, and updates are completed quarterly. Please refer to the source link for the most current information.","https://gis.data.alaska.gov/datasets/ADEC::boil-water-and-do-not-drink-notice-open/explore?location=56.210819%2C-157.551116%2C7.85&showTable=true","Based on the records provided by the state, data covers 1993 to 2026"
"AK2270362",2024-04-02,2024-04-02,1,1993-12-31,2026-01-28,"Alaska","Continuous data collection started on Sept 10th, 2025, and updates are completed quarterly. Please refer to the source link for the most current information.","https://gis.data.alaska.gov/datasets/ADEC::boil-water-and-do-not-drink-notice-open/explore?location=56.210819%2C-157.551116%2C7.85&showTable=true","Based on the records provided by the state, data covers 1993 to 2026"
"AK2271025",2019-09-26,2019-09-26,1,1993-12-31,2026-01-28,"Alaska","Continuous data collection started on Sept 10th, 2025, and updates are completed quarterly. Please refer to the source link for the most current information.","https://gis.data.alaska.gov/datasets/ADEC::boil-water-and-do-not-drink-notice-open/explore?location=56.210819%2C-157.551116%2C7.85&showTable=true","Based on the records provided by the state, data covers 1993 to 2026"
"AK2271059",2014-07-02,2014-07-02,1,1993-12-31,2026-01-28,"Alaska","Continuous data collection started on Sept 10th, 2025, and updates are completed quarterly. Please refer to the source link for the most current information.","https://gis.data.alaska.gov/datasets/ADEC::boil-water-and-do-not-drink-notice-open/explore?location=56.210819%2C-157.551116%2C7.85&showTable=true","Based on the records provided by the state, data covers 1993 to 2026"
"AK2271211",2023-02-02,2023-02-02,1,1993-12-31,2026-01-28,"Alaska","Continuous data collection started on Sept 10th, 2025, and updates are completed quarterly. Please refer to the source link for the most current information.","https://gis.data.alaska.gov/datasets/ADEC::boil-water-and-do-not-drink-notice-open/explore?location=56.210819%2C-157.551116%2C7.85&showTable=true","Based on the records provided by the state, data covers 1993 to 2026"
"AK2271700",2020-01-30,2020-01-30,1,1993-12-31,2026-01-28,"Alaska","Continuous data collection started on Sept 10th, 2025, and updates are completed quarterly. Please refer to the source link for the most current information.","https://gis.data.alaska.gov/datasets/ADEC::boil-water-and-do-not-drink-notice-open/explore?location=56.210819%2C-157.551116%2C7.85&showTable=true","Based on the records provided by the state, data covers 1993 to 2026"
"AK2271874",2024-02-07,2024-02-07,1,1993-12-31,2026-01-28,"Alaska","Continuous data collection started on Sept 10th, 2025, and updates are completed quarterly. Please refer to the source link for the most current information.","https://gis.data.alaska.gov/datasets/ADEC::boil-water-and-do-not-drink-notice-open/explore?location=56.210819%2C-157.551116%2C7.85&showTable=true","Based on the records provided by the state, data covers 1993 to 2026"
"AK2272005",2025-10-09,2025-10-09,1,1993-12-31,2026-01-28,"Alaska","Continuous data collection started on Sept 10th, 2025, and updates are completed quarterly. Please refer to the source link for the most current information.","https://gis.data.alaska.gov/datasets/ADEC::boil-water-and-do-not-drink-notice-open/explore?location=56.210819%2C-157.551116%2C7.85&showTable=true","Based on the records provided by the state, data covers 1993 to 2026"
"AK2272747",2025-07-28,2025-07-28,1,1993-12-31,2026-01-28,"Alaska","Continuous data collection started on Sept 10th, 2025, and updates are completed quarterly. Please refer to the source link for the most current information.","https://gis.data.alaska.gov/datasets/ADEC::boil-water-and-do-not-drink-notice-open/explore?location=56.210819%2C-157.551116%2C7.85&showTable=true","Based on the records provided by the state, data covers 1993 to 2026"
"AK2280066",2010-12-15,2010-12-15,1,1993-12-31,2026-01-28,"Alaska","Continuous data collection started on Sept 10th, 2025, and updates are completed quarterly. Please refer to the source link for the most current information.","https://gis.data.alaska.gov/datasets/ADEC::boil-water-and-do-not-drink-notice-open/explore?location=56.210819%2C-157.551116%2C7.85&showTable=true","Based on the records provided by the state, data covers 1993 to 2026"
"AK2280155",2025-10-22,2025-10-22,1,1993-12-31,2026-01-28,"Alaska","Continuous data collection started on Sept 10th, 2025, and updates are completed quarterly. Please refer to the source link for the most current information.","https://gis.data.alaska.gov/datasets/ADEC::boil-water-and-do-not-drink-notice-open/explore?location=56.210819%2C-157.551116%2C7.85&showTable=true","Based on the records provided by the state, data covers 1993 to 2026"
"AK2280302",2025-09-24,2025-11-18,2,1993-12-31,2026-01-28,"Alaska","Continuous data collection started on Sept 10th, 2025, and updates are completed quarterly. Please refer to the source link for the most current information.","https://gis.data.alaska.gov/datasets/ADEC::boil-water-and-do-not-drink-notice-open/explore?location=56.210819%2C-157.551116%2C7.85&showTable=true","Based on the records provided by the state, data covers 1993 to 2026"
"AK2300159",2025-10-21,2025-10-21,1,1993-12-31,2026-01-28,"Alaska","Continuous data collection started on Sept 10th, 2025, and updates are completed quarterly. Please refer to the source link for the most current information.","https://gis.data.alaska.gov/datasets/ADEC::boil-water-and-do-not-drink-notice-open/explore?location=56.210819%2C-157.551116%2C7.85&showTable=true","Based on the records provided by the state, data covers 1993 to 2026"
"AK2300183",2025-08-04,2025-08-04,1,1993-12-31,2026-01-28,"Alaska","Continuous data collection started on Sept 10th, 2025, and updates are completed quarterly. Please refer to the source link for the most current information.","https://gis.data.alaska.gov/datasets/ADEC::boil-water-and-do-not-drink-notice-open/explore?location=56.210819%2C-157.551116%2C7.85&showTable=true","Based on the records provided by the state, data covers 1993 to 2026"
"AK2300191",2025-07-13,2025-07-13,1,1993-12-31,2026-01-28,"Alaska","Continuous data collection started on Sept 10th, 2025, and updates are completed quarterly. Please refer to the source link for the most current information.","https://gis.data.alaska.gov/datasets/ADEC::boil-water-and-do-not-drink-notice-open/explore?location=56.210819%2C-157.551116%2C7.85&showTable=true","Based on the records provided by the state, data covers 1993 to 2026"
"AK2300214",2024-07-06,2025-08-17,4,1993-12-31,2026-01-28,"Alaska","Continuous data collection started on Sept 10th, 2025, and updates are completed quarterly. Please refer to the source link for the most current information.","https://gis.data.alaska.gov/datasets/ADEC::boil-water-and-do-not-drink-notice-open/explore?location=56.210819%2C-157.551116%2C7.85&showTable=true","Based on the records provided by the state, data covers 1993 to 2026"
"AK2300272",2025-04-15,2025-04-15,1,1993-12-31,2026-01-28,"Alaska","Continuous data collection started on Sept 10th, 2025, and updates are completed quarterly. Please refer to the source link for the most current information.","https://gis.data.alaska.gov/datasets/ADEC::boil-water-and-do-not-drink-notice-open/explore?location=56.210819%2C-157.551116%2C7.85&showTable=true","Based on the records provided by the state, data covers 1993 to 2026"
"AK2300816",2025-07-28,2025-07-28,1,1993-12-31,2026-01-28,"Alaska","Continuous data collection started on Sept 10th, 2025, and updates are completed quarterly. Please refer to the source link for the most current information.","https://gis.data.alaska.gov/datasets/ADEC::boil-water-and-do-not-drink-notice-open/explore?location=56.210819%2C-157.551116%2C7.85&showTable=true","Based on the records provided by the state, data covers 1993 to 2026"
"AK2310837",2025-10-08,2025-11-04,2,1993-12-31,2026-01-28,"Alaska","Continuous data collection started on Sept 10th, 2025, and updates are completed quarterly. Please refer to the source link for the most current information.","https://gis.data.alaska.gov/datasets/ADEC::boil-water-and-do-not-drink-notice-open/explore?location=56.210819%2C-157.551116%2C7.85&showTable=true","Based on the records provided by the state, data covers 1993 to 2026"
"AK2310895",2025-10-06,2025-10-06,1,1993-12-31,2026-01-28,"Alaska","Continuous data collection started on Sept 10th, 2025, and updates are completed quarterly. Please refer to the source link for the most current information.","https://gis.data.alaska.gov/datasets/ADEC::boil-water-and-do-not-drink-notice-open/explore?location=56.210819%2C-157.551116%2C7.85&showTable=true","Based on the records provided by the state, data covers 1993 to 2026"
"AK2320086",2025-10-13,2026-01-15,6,1993-12-31,2026-01-28,"Alaska","Continuous data collection started on Sept 10th, 2025, and updates are completed quarterly. Please refer to the source link for the most current information.","https://gis.data.alaska.gov/datasets/ADEC::boil-water-and-do-not-drink-notice-open/explore?location=56.210819%2C-157.551116%2C7.85&showTable=true","Based on the records provided by the state, data covers 1993 to 2026"
"AK2340117",2026-01-07,2026-01-07,1,1993-12-31,2026-01-28,"Alaska","Continuous data collection started on Sept 10th, 2025, and updates are completed quarterly. Please refer to the source link for the most current information.","https://gis.data.alaska.gov/datasets/ADEC::boil-water-and-do-not-drink-notice-open/explore?location=56.210819%2C-157.551116%2C7.85&showTable=true","Based on the records provided by the state, data covers 1993 to 2026"
"AK2340125",NA,NA,2,1993-12-31,2026-01-28,"Alaska","Continuous data collection started on Sept 10th, 2025, and updates are completed quarterly. Please refer to the source link for the most current information.","https://gis.data.alaska.gov/datasets/ADEC::boil-water-and-do-not-drink-notice-open/explore?location=56.210819%2C-157.551116%2C7.85&showTable=true","Based on the records provided by the state, data covers 1993 to 2026"
"AK2340183",2025-09-15,2025-09-15,1,1993-12-31,2026-01-28,"Alaska","Continuous data collection started on Sept 10th, 2025, and updates are completed quarterly. Please refer to the source link for the most current information.","https://gis.data.alaska.gov/datasets/ADEC::boil-water-and-do-not-drink-notice-open/explore?location=56.210819%2C-157.551116%2C7.85&showTable=true","Based on the records provided by the state, data covers 1993 to 2026"
"AK2340230",2025-11-05,2025-11-05,1,1993-12-31,2026-01-28,"Alaska","Continuous data collection started on Sept 10th, 2025, and updates are completed quarterly. Please refer to the source link for the most current information.","https://gis.data.alaska.gov/datasets/ADEC::boil-water-and-do-not-drink-notice-open/explore?location=56.210819%2C-157.551116%2C7.85&showTable=true","Based on the records provided by the state, data covers 1993 to 2026"
"AK2340361",2025-09-24,2026-01-20,2,1993-12-31,2026-01-28,"Alaska","Continuous data collection started on Sept 10th, 2025, and updates are completed quarterly. Please refer to the source link for the most current information.","https://gis.data.alaska.gov/datasets/ADEC::boil-water-and-do-not-drink-notice-open/explore?location=56.210819%2C-157.551116%2C7.85&showTable=true","Based on the records provided by the state, data covers 1993 to 2026"
"AK2340379",2025-08-27,2026-01-20,2,1993-12-31,2026-01-28,"Alaska","Continuous data collection started on Sept 10th, 2025, and updates are completed quarterly. Please refer to the source link for the most current information.","https://gis.data.alaska.gov/datasets/ADEC::boil-water-and-do-not-drink-notice-open/explore?location=56.210819%2C-157.551116%2C7.85&showTable=true","Based on the records provided by the state, data covers 1993 to 2026"
"AK2340387",2025-09-10,2025-11-08,2,1993-12-31,2026-01-28,"Alaska","Continuous data collection started on Sept 10th, 2025, and updates are completed quarterly. Please refer to the source link for the most current information.","https://gis.data.alaska.gov/datasets/ADEC::boil-water-and-do-not-drink-notice-open/explore?location=56.210819%2C-157.551116%2C7.85&showTable=true","Based on the records provided by the state, data covers 1993 to 2026"
"AK2340418",2025-09-28,2025-10-01,2,1993-12-31,2026-01-28,"Alaska","Continuous data collection started on Sept 10th, 2025, and updates are completed quarterly. Please refer to the source link for the most current information.","https://gis.data.alaska.gov/datasets/ADEC::boil-water-and-do-not-drink-notice-open/explore?location=56.210819%2C-157.551116%2C7.85&showTable=true","Based on the records provided by the state, data covers 1993 to 2026"
"AK2340442",2025-07-31,2025-07-31,1,1993-12-31,2026-01-28,"Alaska","Continuous data collection started on Sept 10th, 2025, and updates are completed quarterly. Please refer to the source link for the most current information.","https://gis.data.alaska.gov/datasets/ADEC::boil-water-and-do-not-drink-notice-open/explore?location=56.210819%2C-157.551116%2C7.85&showTable=true","Based on the records provided by the state, data covers 1993 to 2026"
"AK2340565",2025-10-26,2025-10-26,1,1993-12-31,2026-01-28,"Alaska","Continuous data collection started on Sept 10th, 2025, and updates are completed quarterly. Please refer to the source link for the most current information.","https://gis.data.alaska.gov/datasets/ADEC::boil-water-and-do-not-drink-notice-open/explore?location=56.210819%2C-157.551116%2C7.85&showTable=true","Based on the records provided by the state, data covers 1993 to 2026"
"AK2340751",2025-06-11,2026-01-15,2,1993-12-31,2026-01-28,"Alaska","Continuous data collection started on Sept 10th, 2025, and updates are completed quarterly. Please refer to the source link for the most current information.","https://gis.data.alaska.gov/datasets/ADEC::boil-water-and-do-not-drink-notice-open/explore?location=56.210819%2C-157.551116%2C7.85&showTable=true","Based on the records provided by the state, data covers 1993 to 2026"
"AK2350235",2025-10-21,2025-12-25,2,1993-12-31,2026-01-28,"Alaska","Continuous data collection started on Sept 10th, 2025, and updates are completed quarterly. Please refer to the source link for the most current information.","https://gis.data.alaska.gov/datasets/ADEC::boil-water-and-do-not-drink-notice-open/explore?location=56.210819%2C-157.551116%2C7.85&showTable=true","Based on the records provided by the state, data covers 1993 to 2026"
"AK2360109",2025-09-11,2025-09-11,1,1993-12-31,2026-01-28,"Alaska","Continuous data collection started on Sept 10th, 2025, and updates are completed quarterly. Please refer to the source link for the most current information.","https://gis.data.alaska.gov/datasets/ADEC::boil-water-and-do-not-drink-notice-open/explore?location=56.210819%2C-157.551116%2C7.85&showTable=true","Based on the records provided by the state, data covers 1993 to 2026"
"AK2360141",2025-10-12,2025-10-12,1,1993-12-31,2026-01-28,"Alaska","Continuous data collection started on Sept 10th, 2025, and updates are completed quarterly. Please refer to the source link for the most current information.","https://gis.data.alaska.gov/datasets/ADEC::boil-water-and-do-not-drink-notice-open/explore?location=56.210819%2C-157.551116%2C7.85&showTable=true","Based on the records provided by the state, data covers 1993 to 2026"
