"pwsid","pw_int_hh.redlining","pw_int_pop.life_expectancy","pw_int_pop.cancer","a_int.overall_cvi_score"
"VT0005253",0,79,7.8,0.38
"VT0005254",0,76.7,7.5,0.43
"VT0005255",0,76.3,9.5,0.4
"VT0005258",0,76.3,9.5,0.4
"VT0005261",0,85.6,7.5,0.38
"VT0005262",0,85.4,7.6,0.33
"VT0005264",0,89.1,8.2,0.35
"VT0005267",NA,NA,NA,0.35
"VT0005268",0,NA,7.5,0.31
"VT0005269",0,85.6,7.5,0.38
"VT0005272",0,79.5,7.8,0.35
"VT0005275",0,80.7,5.5,0.35
"VT0005277",0,85.6,7.5,0.38
"VT0005281",0,82.4,7.8,0.33
"VT0005282",NA,NA,NA,0.33
"VT0005283",0,NA,NA,0.33
"VT0005284",0,82.5,7.2,0.36
"VT0005287",0,82.5,7.2,0.37
"VT0005289",0,83.1,7.3,0.36
"VT0005290",0,77.8,7.5,0.42
"VT0005291",0,80,8.2,0.36
"VT0005294",0,80,7.9,0.37
"VT0005298",0,73.8,7.1,0.43
"VT0005303",0,85.9,8,0.44
"VT0005304",0,85.9,8,0.44
"VT0005305",0,76.9,7.5,0.37
"VT0005306",0,NA,7.4,0.4
"VT0005309",0,NA,7.4,0.4
"VT0005310",0,82.8,7.6,0.36
"VT0005312",0,82.9,8.6,0.4
"VT0005313",0,82.8,7.6,0.36
"VT0005314",0,86.5,8.1,0.35
"VT0005315",0,83.5,7.8,0.38
"VT0005317",0,82.6,8.3,0.4
"VT0005318",0,81.9,8.9,0.38
"VT0005319",0,80.6,7.8,0.4
"VT0005320",0,87.8,8.2,0.38
"VT0005322",0,82.5,7.6,0.38
"VT0005323",0,78.3,9,0.41
"VT0005324",NA,NA,NA,0.41
"VT0005325",0,NA,NA,0.41
"VT0005326",0,86.2,8,0.34
"VT0005328",0,83.5,9.5,0.37
"VT0005330",0,84.5,6.2,0.38
"VT0005331",NA,NA,NA,0.38
"VT0005333",0,78.3,8.1,0.44
"VT0005335",NA,NA,NA,0.35
"VT0005339",0,82.1,8.7,0.4
"VT0005341",0,77,8.2,0.44
"VT0005342",0,77,8.2,0.44
"VT0005343",0,NA,9.9,0.36
"VT0005344",0,76.3,9.5,0.4
"VT0005347",NA,NA,NA,0.39
"VT0005353",0,87.7,7.6,0.39
"VT0005357",NA,NA,NA,0.41
"VT0005359",0,78.3,9,0.41
"VT0005374",NA,NA,NA,0.38
"VT0005375",0,87.8,8.2,0.38
"VT0005378",0,84.8,9.8,0.41
"VT0005379",0,78.7,6.3,0.36
"VT0005381",0,84.5,7.2,0.42
"VT0005382",NA,NA,NA,0.37
"VT0005384",NA,NA,NA,0.37
"VT0005385",0,84.5,8,0.34
"VT0005397",NA,NA,NA,0.31
"VT0005399",0,78.4,7.5,0.43
"VT0005403",0,84.2,6.3,0.36
"VT0005404",0,78.5,7.4,0.41
"VT0005419",0,83.8,8.7,0.37
"VT0005424",0,87.8,8.2,0.38
"VT0005426",NA,NA,NA,0.32
"VT0005427",0,85.9,8,0.44
"VT0005429",0,84.8,9.8,0.41
"VT0005435",NA,NA,NA,0.33
"VT0005441",0,86.8,8,0.4
"VT0005450",NA,NA,NA,0.31
"VT0005452",0,NA,7.4,0.4
"VT0005462",0,83.8,8.7,0.37
"VT0005469",0,89,8.5,0.4
"VT0005471",0,78.3,9.5,0.44
"VT0005475",0,86.2,8,0.34
"VT0005476",0,82.5,7.2,0.3
"VT0005490",NA,NA,NA,0.4
"VT0005493",NA,NA,NA,0.33
"VT0005499",0,84.8,9.8,0.41
"VT0005502",0,82.6,7.1,0.39
"VT0005503",0,82,7.2,0.4
"VT0005504",NA,NA,NA,0.31
"VT0005513",0,83.7,7.7,0.29
"VT0005515",0,80,5.7,0.42
"VT0005517",0,81.9,7.8,0.44
"VT0005518",0,78.9,7.2,0.4
"VT0005523",NA,NA,NA,0.34
"VT0005524",NA,NA,NA,0.31
"VT0005525",0,82.4,7.8,0.33
"VT0005529",NA,NA,NA,0.4
"VT0005530",0,80.1,9,0.4
"VT0005534",0,84.4,9.5,0.41
"VT0005535",0,80.6,6.3,0.35
"VT0005536",0,80,8.2,0.36
"VT0005537",0,86.8,8,0.4
"VT0005538",NA,NA,NA,0.34
"VT0005539",0,83.5,8,0.37
"VT0005540",0,83.5,8,0.37
"VT0005541",0,80,8.2,0.36
"VT0005542",0,80,8.2,0.36
"VT0005545",NA,NA,NA,0.36
"VT0005555",0,82.1,7.2,0.41
"VT0005556",0,78.7,6.3,0.36
"VT0005557",0,83.7,7.7,0.29
"VT0005563",0,79.3,7.6,0.39
"VT0005565",0,88,7.6,0.44
"VT0005566",0,79,7.8,0.37
"VT0005570",NA,NA,NA,0.4
"VT0005571",0,83.5,8,0.37
"VT0005573",0,83.5,8,0.37
"VT0005575",0,83.5,8,0.37
"VT0005578",NA,NA,NA,0.36
"VT0005581",0,82.3,7.7,0.38
"VT0005582",NA,NA,NA,0.38
"VT0005584",NA,NA,NA,0.42
"VT0005586",0,NA,9.9,0.36
"VT0005589",0,82.4,7.8,0.33
"VT0005590",0,83.5,8,0.37
"VT0005592",0,81.5,9.6,0.35
"VT0005593",NA,NA,NA,0.33
"VT0005594",0,80,5.7,0.42
"VT0005596",0,NA,8.1,0.31
"VT0005597",NA,NA,NA,0.37
"VT0005599",0,83.8,8.7,0.38
"VT0005600",NA,NA,NA,0.36
"VT0005602",0,82.9,9.4,0.32
"VT0005603",0,81.5,7.7,0.35
"VT0005604",0,NA,NA,0.37
"VT0005607",0,76.8,8.3,0.44
"VT0005608",NA,NA,NA,0.33
"VT0005609",0,78.3,9,0.41
"VT0005611",0,NA,NA,0.34
"VT0005615",0,NA,NA,0.36
"VT0005617",0,82.2,7,0.4
"VT0005618",0,83.8,8.7,0.37
"VT0005619",NA,NA,NA,0.37
"VT0005621",NA,NA,NA,0.37
"VT0005623",0,80,8.2,0.36
"VT0005626",0,83.5,8,0.37
"VT0005628",0,81.9,7.8,0.44
"VT0005629",0,81.5,9.6,0.35
"VT0005630",0,80,8.2,0.36
"VT0005631",0,83.5,8,0.37
"VT0005632",NA,NA,NA,0.37
"VT0005633",0,81.5,9.6,0.35
"VT0005635",0,78.3,9,0.41
"VT0005636",0,NA,NA,0.36
"VT0005637",0,78.3,9,0.41
"VT0005638",0,82.3,7.7,0.38
"VT0005640",NA,NA,NA,0.31
"VT0005645",NA,NA,NA,0.44
"VT0005646",NA,NA,NA,0.38
"VT0005647",NA,NA,NA,0.37
"VT0005649",0,NA,NA,0.36
"VT0005650",NA,NA,NA,0.34
"VT0005652",0,82.5,7.2,0.3
"VT0005654",0,80.3,6.3,0.33
"VT0005655",NA,NA,NA,0.44
"VT0005657",0,82.4,7.9,0.32
"VT0006624",0,83.1,6.2,0.41
"VT0008300",0,76.3,9.5,0.4
"VT0020002",0,80.3,6.3,0.32
"VT0020003",NA,NA,NA,0.36
"VT0020031",0,78.6,7.9,0.42
"VT0020080",0,79.4,7.6,0.32
"VT0020091",0,86.5,9.8,0.38
"VT0020092",0,79.3,7.5,0.37
"VT0020098",0,83,6.6,0.33
"VT0020100",0,NA,NA,0.36
"VT0020135",NA,NA,NA,0.33
"VT0020151",0,80,7.9,0.37
"VT0020153",0,78.3,9,0.41
"VT0020184",0,84.6,7.3,0.39
"VT0020308",0,86.2,8,0.34
"VT0020333",0,77.8,5.8,0.34
"VT0020415",0,80,6.8,0.36
"VT0020439",NA,NA,NA,0.34
"VT0020449",0,82.9,9.4,0.32
"VT0020455",0,83.1,8,0.42
"VT0020456",0,80,8.2,0.36
"VT0020466",0,79.7,4.9,0.36
"VT0020471",0,78.5,7.4,0.4
"VT0020508",0,NA,NA,0.41
"VT0020551",0,79.7,4.9,0.36
"VT0020552",0,84.9,8.4,0.4
"VT0020562",0,80,7.4,0.36
"VT0020568",0,78.5,8.4,0.42
"VT0020603",0,76.5,7.6,0.43
"VT0020605",0,83.1,8,0.42
"VT0020614",0,79.4,7.6,0.32
"VT0020618",0,NA,NA,0.41
"VT0020722",0,75.1,8.2,0.45
"VT0020734",0,81.9,7.8,0.44
"VT0020737",0,78.2,8.4,0.39
"VT0020744",0,78.5,8.4,0.42
"VT0020760",NA,NA,NA,0.47
"VT0020775",0,73.5,7,0.45
"VT0020790",0,83.8,8.7,0.37
"VT0020791",0,76.3,7.1,0.43
"VT0020801",0,78.3,9.5,0.44
"VT0020847",0,82.5,7.6,0.38
"VT0020855",0,84.2,6.3,0.36
"VT0020867",NA,NA,NA,0.32
"VT0020885",0,84.8,9.8,0.4
"VT0020889",0,80,5.7,0.42
"VT0020917",0,78.3,9,0.41
"VT0020934",0,83.3,6.3,0.4
"VT0020962",0,80,8.2,0.36
"VT0020986",0,78.6,7.9,0.42
"VT0020990",NA,NA,NA,0.34
"VT0020997",0,NA,8.1,0.31
"VT0021005",0,NA,NA,0.36
"VT0021015",0,83.7,7.7,0.29
"VT0021020",NA,NA,NA,0.36
"VT0021023",NA,NA,NA,0.37
"VT0021029",0,80.3,8.3,0.39
"VT0021035",0,NA,NA,0.36
"VT0021051",0,84.8,9.8,0.41
"VT0021053",0,84.8,9.8,0.41
"VT0021057",0,80,8.2,0.36
"VT0021071",0,79.5,7,0.36
"VT0021121",NA,NA,NA,0.33
"VT0021199",0,84.5,8,0.34
"VT0021202",0,76.3,9.5,0.4
"VT0021207",0,83.5,8,0.37
"VT0021208",NA,NA,NA,0.37
"VT0021254",NA,NA,NA,0.35
"VT0021272",0,NA,NA,0.41
"VT0021384",0,81.5,7.8,0.43
"VT0021515",0,89,8.2,0.35
"VT0021748",0,NA,7.4,0.4
"VT0021767",NA,NA,NA,0.39
"CT0010111",0,85.2,7.1,0.37
"CT0012011",0,81.9,7.9,0.37
"CT0030011",NA,NA,NA,0.42
"CT0030021",0,78.1,7.1,0.42
"CT0030031",0,78.1,7.1,0.42
"CT0030041",0,NA,NA,0.42
"CT0030051",NA,NA,NA,0.42
"CT0030061",NA,NA,NA,0.42
"CT0030411",NA,NA,NA,0.42
"CT0037001",0,78.1,7.1,0.4
"CT0040011",0,82.8,8.8,0.4
"CT0050011",NA,NA,NA,0.39
"CT0051011",NA,NA,NA,0.39
"CT0051031",NA,NA,NA,0.39
"CT0055071",NA,NA,NA,0.39
"CT0070011",1,80.7,8.8,0.44
"CT0070021",1,80.6,8.2,0.45
"CT0070031",3,80.4,8.3,0.47
"CT0081011",0,82.6,7.9,0.45
"CT0090011",0,79.7,6.8,0.41
"CT0090114",NA,NA,NA,0.4
"CT0090292",0,81.1,7.8,0.44
"CT0100011",NA,NA,NA,0.38
"CT0105033",0,81.1,8.3,0.38
"CT0110011",1,82.1,10.2,0.45
"CT0110031",NA,NA,NA,0.45
"CT0110041",1,82.1,10.2,0.45
"CT0110051",1,82.1,10.2,0.45
"CT0120021",0,80.9,8,0.39
"CT0120031",NA,NA,NA,0.39
"CT0120041",0,80.9,7.8,0.39
"CT0120111",0,80.9,7.8,0.39
"CT0121081",NA,NA,NA,0.39
"CT0150011",0,81,6.9,0.42
"CT0161011",0,81.5,9.8,0.37
"CT0170011",0,79.2,7.4,0.48
"CT0180021",0,80.5,7.8,0.45
"CT0180061",0,83.2,7.4,0.41
"CT0180091",0,83.2,7.4,0.41
"CT0180101",0,83.2,7.4,0.41
"CT0180131",0,80.5,7.8,0.41
"CT0180171",0,80.8,7.8,0.45
"CT0180181",NA,NA,NA,0.41
"CT0180201",0,83.2,7.4,0.42
