"pwsid","total_pop_pct_change_2011_2021","laborforce_unemployed_pct_change_2011_2021","mhi_pct_change_2011_2021","hh_inc_lowest_quintile_pct_change_2011_2021","hh_total_pct_change_2011_2021","hh_below_pov_pct_change_2011_2021","poc_alone_per_pct_change_2011_2021","pop_in_pov_per_pct_change_2011_2021","income_change_flag","population_change_flag","total_pop_pct_change_2011_2021_cap","mhi_pct_change_2011_2021_cap"
"CT0680021",0,100,NA,NA,0,-66.67,400,-55.56,NA,NA,0,NA
"CT0680031",0,0,NA,NA,0,0,400,-55.56,NA,NA,0,NA
"CT0680082",0,100,4.86,20.68,0,-50,400,-55.56,"Increase in income the last 10 years",NA,0,4.86
"CT0688011",0,NA,NA,NA,8.33,0,400,-55.56,NA,NA,0,NA
"CT0690011",3.3,-7.52,9.01,-6.04,5.28,59.63,71.43,50,"Increase in income the last 10 years","Increase in people the last 10 years",3.3,9.01
"CT0690051",-18.29,-50,7.31,-1.44,-9.68,100,50,25,"Increase in income the last 10 years","Decrease in people the last 10 years",-18.29,7.31
"CT0690061",18.46,66.67,16.58,21.14,20,-50,0,-62.5,"Increase in income the last 10 years","Increase in people the last 10 years",18.46,16.58
"CT0690071",17.65,0,17.86,3.61,20,0,0,-11.11,"Increase in income the last 10 years","Increase in people the last 10 years",17.65,17.86
"CT0690141",20,NA,NA,NA,25,NA,0,-62.5,NA,"Increase in people the last 10 years",20,NA
"CT0699231",NA,NA,NA,NA,NA,NA,NA,NA,"Not Enough Data - Operating < 10 years","Not Enough Data - Operating < 10 years",NA,NA
"CT0700011",-3.48,-26.67,-6.15,-13.75,-7.37,NA,-20,NA,"Decrease in income the last 10 years","Decrease in people the last 10 years",-3.48,-6.15
"CT0709133",-1.43,0,6.15,-2.67,20.83,NA,0,300,"Increase in income the last 10 years","Decrease in people the last 10 years",-1.43,6.15
"CT0710011",-1.86,-57.14,0.79,8.59,2.44,0,60,-25,"Increase in income the last 10 years","Decrease in people the last 10 years",-1.86,0.79
"CT0710021",-1.72,-75,0.79,8.59,2.27,0,60,-25,"Increase in income the last 10 years","Decrease in people the last 10 years",-1.72,0.79
"CT0711001",0,-100,NA,NA,0,NA,60,-25,NA,NA,0,NA
"CT0711071",-4,-100,NA,NA,11.11,NA,60,-25,NA,"Decrease in people the last 10 years",-4,NA
"CT0720011",8.61,-42.86,-5.34,-11.65,12.66,-33.33,33.33,-33.33,"Decrease in income the last 10 years","Increase in people the last 10 years",8.61,-5.34
"CT0720041",-4.31,-30.51,-12.07,-30.92,-8.1,130.43,28.57,350,"Decrease in income the last 10 years","Decrease in people the last 10 years",-4.31,-12.07
"CT0720101",-5.26,NA,NA,NA,-14.29,NA,28.57,350,NA,"Decrease in people the last 10 years",-5.26,NA
"CT0720313",8.97,-33.33,NA,NA,13.79,0,33.33,-33.33,NA,"Increase in people the last 10 years",8.97,NA
"CT0727031",9.26,-50,-5.34,-11.65,13.11,0,33.33,-33.33,"Decrease in income the last 10 years","Increase in people the last 10 years",9.26,-5.34
