"pwsid","pw_int_pop.rpl_themes"
"090400001",0.9598
"090400003",0.7351
"090400005",0.6087
"090400008",0.8114
"090400018",0.6087
"090400020",0.8114
"090400027",NA
"090400030",0.9625
"090400034",0.8747
"090400037",NA
"090400040",0.9598
"090400042",0.9598
"090400047",0.9148
"090400049",0.872
"090400051",0.9059
"090400054",0.9366
"090400057",0.9366
"090400071",0.8871
"090400073",0.2547
"090400076",0.7738
"090400088",0.798
"090400090",NA
"090400092",0.8176
"090400096",0.9148
"090400101",0.5113
"090400104",0.8695
"090400105",0.906
"090400106",0.9366
"090400107",0.9355
"090400108",0.9229
"090400109",0.9772
"090400110",0.8852
"090400112",0.9295
"090400114",0.9165
"090400116",0.8072
"090400119",0.5354
"090400220",0.6087
"090400226",0.8747
"090400227",0.8232
"090400228",0.9183
"090400239",0.9295
"090400243",0.872
"090400244",0.9212
"090400259",0.9069
"090400274",0.411
"090400277",0.4546
"090400300",0.4319
"090400301",0.676
"090400304",0.676
"090400343",0.5589
"090400394",0.9366
"090400676",0.8354
"090400687",0.906
"090400692",0.9399
"090400693",0.9623
"090400695",0.0409
"090400699",0.6687
"090400700",0.906
"090400706",0.9772
"090408027",0.411
"090600237",0.4152
"AZ0401001",0.6611
"AZ0401004",0.7184
"AZ0401010",NA
"AZ0401011",0.5113
"AZ0401012",0.7064
"AZ0401013",0.7561
"AZ0401015",NA
"AZ0401018",0.4998
"AZ0401019",0.6611
"AZ0401022",0.8592
"AZ0401039",0.6611
"AZ0401047",0.6611
"AZ0401049",0.5551
"AZ0401054",0.6611
"AZ0401056",NA
"AZ0401372",0.3975
"AZ0401704",0.8262
"AZ0402001",0.75
"AZ0402004",0.5922
"AZ0402005",0.7775
"AZ0402006",0.9185
"AZ0402007",0.4021
"AZ0402008",0.6208
"AZ0402009",0.601
"AZ0402010",0.6621
"AZ0402011",0.6051
"AZ0402012",0.427
"AZ0402013",0.7558
"AZ0402014",0.9416
"AZ0402015",0.223
"AZ0402016",0.7216
"AZ0402017",0.7216
"AZ0402018",0.296
"AZ0402019",0.8647
"AZ0402023",0.5795
"AZ0402024",0.8941
"AZ0402026",0.2776
"AZ0402027",0.9185
"AZ0402028",0.7434
"AZ0402029",0.7434
"AZ0402033",0.296
"AZ0402035",0.9544
"AZ0402036",0.4003
"AZ0402038",0.615
"AZ0402039",0.2851
"AZ0402040",0.9718
"AZ0402041",0.9718
"AZ0402042",0.427
"AZ0402043",NA
"AZ0402044",0.3828
"AZ0402049",0.6208
"AZ0402052",0.427
"AZ0402054",0.7558
"AZ0402061",NA
"AZ0402075",0.296
"AZ0402078",0.165
"AZ0402094",0.4111
"AZ0402101",0.4922
"AZ0402104",0.615
"AZ0402105",NA
"AZ0402110",0.4761
"AZ0402112",0.8941
"AZ0402120",0.615
"AZ0402122",0.3537
"AZ0402125",0.223
"AZ0402327",0.223
"AZ0402345",0.8941
"AZ0402353",NA
"AZ0402360",0.6428
"AZ0402401",0.7216
"AZ0403002",0.4877
"AZ0403003",0.4884
"AZ0403004",0.4071
"AZ0403005",0.239
"AZ0403006",0.9362
"AZ0403008",0.5563
"AZ0403009",0.5457
"AZ0403010",0.8197
"AZ0403011",0.7769
"AZ0403013",0.1725
"AZ0403015",0.3801
"AZ0403017",0.6922
"AZ0403018",0.4877
"AZ0403021",0.5798
"AZ0403024",0.4877
"AZ0403026",0.8144
"AZ0403032",0.4877
"AZ0403037",0.5457
"AZ0403044",0.2039
"AZ0403063",0.4877
"AZ0403067",NA
"AZ0403073",0.1738
"AZ0403081",NA
"AZ0403084",0.2039
"AZ0403087",0.2039
"AZ0403088",0.2039
"AZ0403105",NA
"AZ0403175",NA
"AZ0403299",0.2039
"AZ0403300",NA
"AZ0403312",0.8197
"AZ0403362",0.5798
"AZ0403659",NA
"AZ0403702",0.8197
"AZ0403712",0.5457
"AZ0404002",0.8069
"AZ0404003",0.7102
"AZ0404004",0.5589
"AZ0404005",0.5589
"AZ0404008",0.6022
"AZ0404015",0.5589
"AZ0404016",0.1543
"AZ0404020",0.1543
"AZ0404021",0.5589
"AZ0404022",0.4527
"AZ0404023",0.5589
"AZ0404024",0.5589
"AZ0404026",0.6423
"AZ0404027",0.5589
"AZ0404028",0.5589
"AZ0404029",NA
"AZ0404030",0.5589
"AZ0404032",0.6593
"AZ0404034",0.1543
"AZ0404035",0.5589
"AZ0404036",0.6687
"AZ0404037",0.6804
"AZ0404038",0.5589
"AZ0404039",0.5589
"AZ0404044",0.1543
"AZ0404047",0.4527
"AZ0404049",NA
"AZ0404054",0.7093
"AZ0404064",0.5834
"AZ0404083",0.4527
"AZ0404092",0.6294
"AZ0404104",0.569
"AZ0404112",0.6025
"AZ0404141",NA
"AZ0404200",0.6687
"AZ0404233",0.1543
"AZ0404300",NA
"AZ0404314",0.6025
"AZ0404318",0.6804
"AZ0404324",0.6804
"AZ0404332",0.6025
"AZ0404341",NA
"AZ0404342",0.7857
"AZ0404346",0.5834
"AZ0404356",NA
"AZ0404400",NA
"AZ0405001",0.5879
"AZ0405002",0.5879
"AZ0405003",0.5879
"AZ0405005",0.6933
"AZ0405007",0.5879
"AZ0405303",0.3912
"AZ0405306",0.3912
"AZ0406001",0.5811
"AZ0406002",0.4669
"AZ0406003",0.4669
"AZ0406004",0.6686
"AZ0406005",0.6686
"AZ0406009",0.5811
"AZ0407001",0.4946
"AZ0407003",0.4341
"AZ0407007",0.3193
"AZ0407008",0.0043
"AZ0407012",0.4341
"AZ0407015",0.0592
"AZ0407016",0.3187
"AZ0407017",0.1252
"AZ0407019",0.6017
"AZ0407021",0.5246
"AZ0407025",0.6127
"AZ0407026",0.1254
"AZ0407030",0.7574
"AZ0407032",0.6589
"AZ0407033",0.2422
"AZ0407037",0.6589
"AZ0407039",0.0248
"AZ0407045",0.5033
"AZ0407046",0.3089
"AZ0407056",0.1419
"AZ0407064",0.3214
"AZ0407065",0.0975
"AZ0407067",0.5037
"AZ0407069",0.9254
"AZ0407070",0.1298
"AZ0407071",0.7574
"AZ0407076",0.0467
"AZ0407078",0.6499
"AZ0407079",0.683
"AZ0407082",0.6589
"AZ0407086",0.5127
"AZ0407088",0.6383
"AZ0407089",0.9046
"AZ0407090",0.3609
"AZ0407091",0.6945
"AZ0407092",0.2135
"AZ0407093",0.7263
"AZ0407094",0.381
"AZ0407095",0.5357
"AZ0407096",0.4313
"AZ0407098",0.2222
"AZ0407099",0.4251
"AZ0407100",0.5289
"AZ0407101",0.932
"AZ0407111",0.4609
"AZ0407112",0.5124
"AZ0407114",0.4769
"AZ0407120",0.179
"AZ0407121",0.0036
"AZ0407128",0.1344
"AZ0407150",0.1652
"AZ0407154",0.3331
