"pwsid","pw_int_pop.rpl_themes"
"AZ0407167",0.5127
"AZ0407169",0.4609
"AZ0407179",0.0409
"AZ0407195",0.458
"AZ0407280",0.6383
"AZ0407286",0.336
"AZ0407296",NA
"AZ0407305",0.415
"AZ0407307",0.4121
"AZ0407343",0.7779
"AZ0407366",NA
"AZ0407392",0.6108
"AZ0407409",0.2102
"AZ0407411",NA
"AZ0407482",0.3193
"AZ0407484",NA
"AZ0407492",0.4082
"AZ0407493",NA
"AZ0407500",0.4077
"AZ0407504",0.1499
"AZ0407511",0.5127
"AZ0407517",0.4341
"AZ0407523",0.2803
"AZ0407524",NA
"AZ0407526",0.458
"AZ0407528",0.5127
"AZ0407531",0.0559
"AZ0407532",0.5278
"AZ0407555",0.5548
"AZ0407618",0.6589
"AZ0407621",0.981
"AZ0407624",0.5278
"AZ0407633",0.8497
"AZ0407660",0.2545
"AZ0407670",0.4609
"AZ0407671",0.0379
"AZ0407677",0.6589
"AZ0407682",0.5596
"AZ0407695",0.2571
"AZ0407700",NA
"AZ0407713",NA
"AZ0407732",0.0324
"AZ0407733",0.6589
"AZ0407736",0.6589
"AZ0407765",0.0743
"AZ0407900",0.036
"AZ0407903",0.0488
"AZ0408001",0.6133
"AZ0408005",0.7344
"AZ0408006",0.7725
"AZ0408014",0.3762
"AZ0408015",0.309
"AZ0408017",0.4467
"AZ0408018",NA
"AZ0408020",0.6556
"AZ0408021",0.3844
"AZ0408022",0.4186
"AZ0408024",0.4068
"AZ0408026",0.6133
"AZ0408032",0.8202
"AZ0408035",0.3157
"AZ0408037",0.6845
"AZ0408038",0.3859
"AZ0408039",0.4499
"AZ0408040",0.676
"AZ0408041",0.6369
"AZ0408042",0.6133
"AZ0408046",0.3844
"AZ0408057",NA
"AZ0408059",0.2682
"AZ0408062",0.5496
"AZ0408063",0.5465
"AZ0408064",NA
"AZ0408066",NA
"AZ0408068",0.5593
"AZ0408072",0.7725
"AZ0408078",0.5973
"AZ0408080",0.7725
"AZ0408081",0.5429
"AZ0408082",0.4216
"AZ0408089",NA
"AZ0408090",0.411
"AZ0408093",0.7725
"AZ0408122",0.5283
"AZ0408127",NA
"AZ0408129",0.676
"AZ0408133",0.6995
"AZ0408137",0.1758
"AZ0408138",0.7725
"AZ0408142",NA
"AZ0408149",0.4499
"AZ0408150",0.4499
"AZ0408164",NA
"AZ0408173",NA
"AZ0408174",0.7344
"AZ0408177",0.7725
"AZ0408178",0.6133
"AZ0408184",0.6133
"AZ0408333",0.6856
"AZ0408341",0.6148
"AZ0408342",0.8148
"AZ0408701",0.7344
"AZ0409000",0.7612
"AZ0409001",0.783
"AZ0409003",0.613
"AZ0409004",0.5415
"AZ0409005",0.292
"AZ0409009",0.256
"AZ0409013",0.6544
"AZ0409014",0.4121
"AZ0409015",0.8085
"AZ0409016",0.8242
"AZ0409017",0.6383
"AZ0409018",0.1935
"AZ0409021",0.1795
"AZ0409023",0.0968
"AZ0409024",0.5944
"AZ0409026",0.5753
"AZ0409028",0.5944
"AZ0409029",0.6832
"AZ0409030",0.6201
"AZ0409031",0.4303
"AZ0409032",0.6953
"AZ0409034",0.7612
"AZ0409035",0.883
"AZ0409036",0.0717
"AZ0409039",0.6715
"AZ0409040",0.256
"AZ0409041",0.256
"AZ0409046",0.8242
"AZ0409049",0.7612
"AZ0409050",0.6856
"AZ0409060",0.2443
"AZ0409074",NA
"AZ0409075",0.5944
"AZ0409086",NA
"AZ0409090",0.292
"AZ0409091",0.4172
"AZ0409300",0.6201
"AZ0409305",0.6054
"AZ0409311",0.7858
"AZ0409316",NA
"AZ0409329",0.6054
"AZ0409330",0.292
"AZ0409343",0.5589
"AZ0410001",0.8114
"AZ0410002",0.7767
"AZ0410003",0.8114
"AZ0410004",0.4109
"AZ0410006",0.5154
"AZ0410007",0.7543
"AZ0410008",NA
"AZ0410011",NA
"AZ0410035",0.1523
"AZ0410041",0.1347
"AZ0410046",0.6294
"AZ0410047",0.7767
"AZ0410048",0.4351
"AZ0410049",0.2721
"AZ0410051",0.9495
"AZ0410057",0.4705
"AZ0410058",0.4705
"AZ0410060",0.0837
"AZ0410063",0.7767
"AZ0410064",0.7511
"AZ0410065",0.0287
"AZ0410070",0.7041
"AZ0410074",0.5291
"AZ0410076",0.4893
"AZ0410092",0.1747
"AZ0410093",0.3983
"AZ0410095",0.9326
"AZ0410098",0.2116
"AZ0410101",0.3621
"AZ0410112",0.6179
"AZ0410117",0.6294
"AZ0410118",0.8114
"AZ0410119",0.2785
"AZ0410123",0.2854
"AZ0410127",0.2392
"AZ0410128",0.1463
"AZ0410132",0.7457
"AZ0410136",0.3983
"AZ0410138",0.0598
"AZ0410139",0.7041
"AZ0410140",0.0622
"AZ0410142",0.3983
"AZ0410144",0.287
"AZ0410150",0.3735
"AZ0410152",0.632
"AZ0410153",0.8114
"AZ0410154",NA
"AZ0410157",0.0547
"AZ0410158",0.6087
"AZ0410159",0.6087
"AZ0410162",0.7627
"AZ0410164",0.1648
"AZ0410169",0.1766
"AZ0410171",0.6846
"AZ0410173",0.7041
"AZ0410175",0.3442
"AZ0410177",0.2159
"AZ0410178",0.6087
"AZ0410179",0.287
"AZ0410187",NA
"AZ0410188",0.6087
"AZ0410199",0.1764
"AZ0410206",NA
"AZ0410208",0.6087
"AZ0410213",0.1516
"AZ0410218",0.7358
"AZ0410219",0.8143
"AZ0410228",0.7457
"AZ0410242",0.4006
"AZ0410260",0.396
"AZ0410262",0.0507
"AZ0410264",0.6087
"AZ0410265",0.6087
"AZ0410268",0.6091
"AZ0410269",0.6087
"AZ0410270",0.6087
"AZ0410272",0.3983
"AZ0410278",0.6087
"AZ0410281",0.1574
"AZ0410282",0.6087
"AZ0410283",0.6087
"AZ0410286",0.6087
"AZ0410311",NA
"AZ0410312",0.1786
"AZ0410317",0.6087
"AZ0410319",0.9177
"AZ0410329",0.2311
"AZ0410350",0.7627
"AZ0410351",0.7457
"AZ0410354",0.3983
"AZ0410357",0.7247
"AZ0410400",NA
"AZ0410402",NA
"AZ0410405",0.1764
"AZ0410408",0.1523
"AZ0410409",0.9177
"AZ0410410",0.9177
"AZ0410411",0.3983
"AZ0410414",0.396
"AZ0410435",NA
"AZ0410445",NA
"AZ0410450",0.7767
"AZ0410481",NA
"AZ0410701",0.8114
"AZ0410810",0.1764
"AZ0411003",0.8492
"AZ0411004",0.49
"AZ0411005",0.5974
"AZ0411009",0.7637
"AZ0411012",0.8747
"AZ0411017",0.6765
"AZ0411018",0.8304
"AZ0411019",0.4076
"AZ0411020",0.6698
"AZ0411021",0.6398
"AZ0411022",0.5403
"AZ0411024",0.735
"AZ0411030",0.9245
"AZ0411031",0.5403
"AZ0411036",0.4108
"AZ0411037",0.8714
"AZ0411039",0.595
"AZ0411042",0.6213
"AZ0411044",0.2093
"AZ0411052",0.508
"AZ0411061",0.9663
"AZ0411062",0.829
"AZ0411066",0.5726
"AZ0411076",0.8712
"AZ0411079",0.8714
"AZ0411087",0.8694
"AZ0411090",0.4982
"AZ0411097",0.9063
"AZ0411100",0.8547
"AZ0411111",0.4061
"AZ0411115",0.7635
"AZ0411117",0.2758
"AZ0411128",0.2782
"AZ0411129",0.4982
"AZ0411130",0.1173
"AZ0411131",0.3483
"AZ0411135",0.8449
"AZ0411136",0.2649
"AZ0411160",0.5974
"AZ0411201",0.2637
"AZ0411301",0.9063
"AZ0411315",0.5403
"AZ0411321",0.7635
"AZ0411322",0.8694
"AZ0411324",0.3482
"AZ0411328",0.7995
"AZ0411334",0.742
"AZ0411365",0.9928
"AZ0411381",0.5403
"AZ0411383",0.735
"AZ0411407",0.4982
"AZ0411409",0.8747
"AZ0411556",0.1359
"AZ0411557",0.4386
"AZ0411705",0.6681
"AZ0411708",0.2093
"AZ0411712",0.9063
"AZ0412001",0.7098
"AZ0412004",0.9652
"AZ0412005",0.5589
"AZ0412006",0.5589
"AZ0412009",0.9488
"AZ0412011",0.6499
"AZ0412015",0.6205
"AZ0412020",0.5589
"AZ0412037",0.7098
"AZ0412040",0.7098
"AZ0412044",0.7098
"AZ0412305",0.9765
"AZ0412306",NA
"AZ0412308",0.5589
"AZ0412311",0.9765
"AZ0412321",0.5589
"AZ0413001",0.5186
"AZ0413008",0.5334
"AZ0413010",0.5334
"AZ0413011",0.1495
"AZ0413012",0.4854
"AZ0413015",0.8454
"AZ0413016",0.4108
"AZ0413017",0.3553
"AZ0413020",0.7155
"AZ0413021",0.4206
"AZ0413023",0.6746
"AZ0413024",0.3605
"AZ0413025",0.6917
"AZ0413026",NA
"AZ0413027",0.4671
"AZ0413028",0.4108
"AZ0413029",0.341
"AZ0413030",0.2705
"AZ0413034",0.5166
"AZ0413035",0.5166
"AZ0413036",0.0611
"AZ0413037",0.3911
"AZ0413038",0.6214
"AZ0413039",0.691
"AZ0413040",0.3589
"AZ0413041",0.4108
"AZ0413042",0.4459
"AZ0413043",0.3589
"AZ0413044",0.3589
"AZ0413045",0.4249
"AZ0413046",0.3709
"AZ0413048",0.541
"AZ0413049",0.6621
"AZ0413051",0.5059
"AZ0413052",0.6833
"AZ0413055",0.6833
"AZ0413057",0.4293
"AZ0413058",0.4189
"AZ0413059",0.8087
"AZ0413060",0.7832
"AZ0413062",0.7462
"AZ0413071",0.3109
"AZ0413072",0.805
"AZ0413074",0.4108
"AZ0413075",NA
"AZ0413077",0.6001
"AZ0413078",0.4189
"AZ0413079",0.6541
"AZ0413096",0.5102
"AZ0413103",0.749
"AZ0413104",0.7208
"AZ0413105",0.7832
"AZ0413106",0.4833
"AZ0413108",0.8585
"AZ0413109",0.4108
"AZ0413113",NA
"AZ0413114",0.3551
"AZ0413119",NA
"AZ0413121",0.4459
"AZ0413122",0.6833
"AZ0413127",0.6881
"AZ0413130",0.8087
"AZ0413137",0.7168
"AZ0413141",0.305
"AZ0413148",0.4671
"AZ0413150",0.1226
"AZ0413155",0.453
"AZ0413164",0.4459
"AZ0413184",0.4302
"AZ0413190",0.378
"AZ0413192",0.7155
"AZ0413193",NA
"AZ0413202",0.7155
"AZ0413208",0.5657
"AZ0413221",0.3911
"AZ0413247",0.2203
"AZ0413248",NA
"AZ0413256",0.0679
"AZ0413258",0.1226
"AZ0413263",0.1598
"AZ0413264",NA
"AZ0413267",NA
"AZ0413268",0.8249
"AZ0413281",NA
"AZ0413298",0.2039
"AZ0413303",0.1582
"AZ0413307",0.5657
"AZ0413330",NA
"AZ0413338",NA
"AZ0413340",NA
"AZ0413341",0.6913
"AZ0413348",0.937
"AZ0413351",NA
"AZ0413358",0.4671
"AZ0413373",0.4108
"AZ0413378",0.8087
"AZ0413408",0.7545
"AZ0413415",NA
"AZ0413419",NA
"AZ0413423",NA
"AZ0413425",NA
"AZ0413431",0.5657
"AZ0413487",0.5189
"AZ0414001",0.8495
"AZ0414003",0.9524
"AZ0414004",0.51
"AZ0414005",0.9185
"AZ0414014",0.5841
"AZ0414015",0.7842
"AZ0414018",0.8495
"AZ0414022",0.6462
"AZ0414024",0.7637
"AZ0414030",0.8495
"AZ0414037",0.9819
"AZ0414039",0.5841
"AZ0414065",NA
"AZ0414070",0.6127
"AZ0414073",0.8354
"AZ0414075",NA
"AZ0414080",0.5383
"AZ0414082",0.2116
"AZ0414086",0.5841
"AZ0414098",0.7596
"AZ0414099",0.8354
"AZ0414107",0.8495
"AZ0414322",0.5841
"AZ0414391",0.7507
"AZ0414403",0.9524
"AZ0414432",0.7507
"AZ0414442",0.7826
"AZ0414463",0.7507
"AZ0415002",0.4426
"AZ0415006",0.4426
"AZ0415010",0.4426
"AZ0415011",0.4426
"AZ0415021",0.4055
"AZ0415023",0.6307
"AZ0415026",0.5831
"AZ0415027",0.5831
"AZ0415029",0.0361
"AZ0415038",0.4817
"AZ0415040",0.4426
"AZ0415058",0.5831
"AZ0415096",0.3947
"AZ0415122",NA
"AZ0415123",0.917
"AZ0415346",0.6708
"AZ0415497",0.917
"AZ0415509",0.3947
"AZ0415801",NA
"AZ0420019",0.9348
"AZ0420026",0.968
"AZ0420033",0.8995
"AZ0420042",0.6951
"AZ0420043",0.9072
"AZ0420092",NA
"AZ0420096",0.6951
"AZ0420159",NA
"AZ0420175",0.632
"AZ0420176",NA
"AZ0420197",0.1017
"AZ0420205",0.9588
"AZ0420419",0.396
"AZ0420420",0.9588
"AZ0420439",0.8713
"AZ0420443",0.8225
"AZ0420445",0.9072
"AZ0420475",NA
"AZ0420478",NA
"AZ0420487",NA
"AZ0420500",NA
"AZ0420529",NA
"AZ0420531",0.7279
"AZ0420542",0.8922
"AZ0420546",NA
"AZ0420549",0.4685
"AZ0420557",NA
"AZ0420570",0.3637
"AZ0420575",NA
"AZ0420595",0.8939
"AZ0420597",0.0073
"AZ0420598",0.6087
"AZ0420600",0.7767
"AZ0420602",0.8365
"AZ0420606",0.9177
"IA0105002",0.4717
"IA0135046",0.4099
"IA0140007",0.4099
"IA0140701",0.0595
"IA0160099",0.0595
"IA0180001",0.4401
"IA0207704",0.1048
"IA0220075",0.484
"IA0345054",0.3047
"IA0370047",0.0467
"IA0375053",0.7724
"IA0398082",0.3882
"IA0400900",0.4621
"IA0400901",0.295
"IA0400902",0.2342
"IA0407008",0.6691
"IA0410026",0.4785
"IA0467008",0.3949
"IA0472012",0.3945
"IA0477040",0.2719
"IA0505077",0.3501
"IA0510040",0.2133
"IA0520030",0.2133
"IA0543031",0.1792
"IA0600600",0.2068
"IA0603072",0.023
"IA0607013",0.3509
"IA0610099",0.2826
"IA0625078",0.0906
"IA0640030",0.3509
"IA0650001",0.0906
"IA0653050",0.023
"IA0656081",0.023
"IA0670043",0.2068
"IA0680041",0.0597
"IA0685045",0.0906
"IA0688053",0.5714
"IA0690301",0.023
"IA0690305",0.023
"IA0709084",0.2963
"IA0717084",0.0987
"IA0717353",0.0987
"IA0721014",0.0914
"IA0723027",0.5331
"IA0733084",0.0914
"IA0737062",0.0888
"IA0743057",0.2283
"IA0790074",0.6171
"IA0790601",0.0914
"IA0800601",0.1558
"IA0800923",NA
"IA0819033",0.2669
"IA0819303",0.1706
"IA0819305",0.1258
"IA0819602",0.1706
"IA0837701",0.1258
"IA0844006",0.1855
"IA0848015",0.1558
"IA0848701",0.1467
"IA0858090",0.1706
"IA0862042",0.1706
"IA0900647",0.1013
"IA0915030",0.1013
"IA0932001",0.1555
"IA0960045",0.024
"IA0965073",0.0225
"IA0970006",0.3583
"IA0975032",0.0666
"IA0990085",0.2989
"IA0990990",0.1013
"IA1011001",0.158
"IA1025031",0.3667
"IA1031044",0.4899
"IA1031601",0.4899
"IA1037070",0.3698
"IA1037301",0.356
"IA1037302",0.3907
"IA1044006",0.218
"IA1051051",0.2017
"IA1093031",0.1975
"IA1103009",0.34
"IA1108025",0.4921
"IA1145047",0.8722
"IA1147085",0.5065
"IA1150030",0.34
"IA1155049",0.2016
"IA1170078",0.5065
"IA1175056",0.4878
"IA1178097",0.8376
"IA1182035",0.4921
"IA1203026",0.375
"IA1207061",0.2914
"IA1222044",0.3312
"IA1228038",0.4171
"IA1240081",0.3312
"IA1253006",0.3744
"IA1271058",0.3002
"IA1281028",0.2914
"IA1286042",0.3009
"IA1300101",0.3206
"IA1320039",0.3212
"IA1335001",0.6172
"IA1340001",0.3212
"IA1345043",0.23
"IA1351027",0.283
"IA1363051",0.6172
"IA1374086",0.3212
"IA1376098",0.6172
"IA1381073",0.3212
"IA1389001",0.3212
"IA1400902",0.1141
"IA1400903",0.3144
"IA1403062",0.0641
"IA1409041",0.0641
"IA1415072",0.4198
"IA1427070",0.3962
"IA1433016",0.3962
"IA1438091",0.1483
"IA1444022",0.0641
"IA1449053",0.1483
"IA1453080",0.1483
"IA1457025",0.1141
"IA1471069",0.1483
"IA1479015",0.1141
"IA1503053",0.3659
"IA1509074",0.4816
"IA1516093",0.094
"IA1528010",0.3119
"IA1535078",0.3119
"IA1558055",0.094
"IA1570032",0.3659
"IA1600301",0.2021
"IA1600682",0.2185
"IA1603005",0.0926
"IA1630028",0.2824
"IA1636090",0.1025
"IA1656001",0.2824
"IA1667076",0.2021
"IA1681092",0.2021
"IA1689022",0.4092
"IA1694000",0.2184
"IA1700642",0.1342
"IA1716076",0.394
"IA1750048",0.3858
"IA1754073",0.2104
"IA1759048",0.0582
"IA1773097",0.2104
"IA1778008",0.2104
"IA1781019",0.2104
"IA1785032",0.537
"IA1800601",0.658
"IA1800900",0.1372
"IA1803079",0.1808
"IA1811001",0.4803
"IA1811020",0.4683
"IA1817045",0.1372
"IA1833060",0.3196
"IA1838032",0.3196
"IA1849071",0.1372
"IA1855066",0.1808
"IA1880073",0.1372
"IA1903027",0.3486
"IA1940068",0.2505
"IA1946078",0.3486
"IA1957064",0.2505
"IA1967041",0.2345
"IA1970051",0.3786
"IA2032023",0.4842
"IA2038038",0.9102
"IA2038701",0.8332
"IA2109041",0.1325
"IA2115029",0.1612
"IA2122067",0.1612
"IA2154039",0.1612
"IA2171071",0.4789
"IA2203039",0.4996
"IA2220002",0.379
"IA2223011",0.465
"IA2228037",0.4996
"IA2234074",0.465
"IA2242018",0.4281
"IA2254061",0.444
"IA2256041",0.4996
"IA2258012",0.4996
"IA2258603",0.4996
"IA2264095",0.444
"IA2277020",0.444
"IA2279003",0.5933
"IA2285055",0.5933
"IA2300607",0.4014
"IA2307001",0.1496
"IA2320062",0.4014
"IA2322066",0.4207
"IA2324016",0.1496
"IA2326048",0.5359
"IA2328024",0.1672
"IA2330036",0.2659
"IA2330301",0.2659
"IA2339094",0.1496
"IA2341099",0.4014
"IA2346047",0.1672
"IA2348002",0.4207
"IA2391001",0.1672
"IA2394017",0.4014
"IA2417018",0.1567
"IA2421025",0.3687
"IA2424027",0.9178
"IA2424701",0.0623
"IA2427049",0.1567
"IA2432034",0.3903
"IA2436023",0.0623
"IA2446029",0.3903
"IA2452044",0.3687
"IA2458023",0.3687
"IA2503003",0.3893
"IA2520098",0.2579
"IA2525010",0.1648
"IA2529035",0.061
"IA2533038",0.1201
"IA2537001",0.0594
"IA2547085",0.2579
"IA2561036",0.8188
"IA2564074",0.1328
"IA2570046",0.061
"IA2570304",0.5355
"IA2573080",0.2722
"IA2573301",0.3712
"IA2573701",0.21
"IA2576036",0.0595
"IA2576705",0.0595
"IA2613019",0.6786
"IA2662064",0.5734
"IA2718755",0.7738
"IA2725073",0.4039
"IA2740050",0.7738
"IA2742076",0.56
"IA2809055",0.0635
"IA2813019",0.0635
"IA2817020",0.223
"IA2825099",0.0635
"IA2835056",0.223
"IA2839021",0.5039
"IA2864013",0.223
"IA2900603",0.2526
"IA2900626",0.0796
"IA2909053",0.5306
"IA2915000",0.1384
"IA2948062",0.2526
"IA2952075",0.1151
"IA2985002",0.5999
"IA3000099",0.2027
"IA3003067",0.202
"IA3045046",0.0894
"IA3050079",0.4221
"IA3060091",0.2027
"IA3070078",0.3302
"IA3073001",0.2
"IA3080016",0.489
"IA3087057",0.2027
"IA3090081",0.2027
"IA3100600",0.3192
"IA3100606",0.1428
"IA3100608",0.1131
"IA3100609",0.5107
"IA3100629",0.0802
"IA3100823",0.0802
"IA3102001",0.1494
"IA3113001",0.1127
"IA3118080",0.1922
"IA3122301",0.0879
"IA3126052",0.3955
"IA3126303",0.5107
"IA3126304",0.1428
"IA3126306",0.0879
"IA3126603",0.125
"IA3126605",0.0802
"IA3130091",0.2618
"IA3133033",0.189
"IA3135018",0.189
"IA3146055",0.301
"IA3158001",0.301
"IA3165014",0.301
"IA3170001",0.0879
"IA3170302",0.0879
"IA3170335",0.0879
"IA3189001",0.301
"IA3203066",0.4071
"IA3203301",0.3787
"IA3215044",0.2116
"IA3218024",0.5265
"IA3225701",0.2116
"IA3275087",0.4071
"IA3290060",0.2116
"IA3307065",0.4956
"IA3317047",0.1102
"IA3338010",0.1102
"IA3342041",0.4956
"IA3346037",0.0822
"IA3350059",0.1114
"IA3353088",0.6413
"IA3371056",0.4956
"IA3375001",0.0822
"IA3379009",0.1114
"IA3383014",0.6652
"IA3405012",0.3451
"IA3409066",0.3955
"IA3414044",0.3955
"IA3420031",0.2854
"IA3423069",0.2049
"IA3430091",0.2854
"IA3440007",0.2052
"IA3500933",0.6965
"IA3503014",0.1615
"IA3525079",0.1615
"IA3539080",0.3598
"IA3544024",0.6965
"IA3544301",0.3598
"IA3549026",0.3598
"IA3554061",0.1615
"IA3570037",0.3598
"IA3615040",0.1583
"IA3621023",0.147
"IA3649072",0.1583
"IA3655071",0.1583
"IA3661048",0.3611
"IA3667012",0.3424
"IA3671021",0.147
"IA3709001",0.3172
"IA3730098",0.3213
"IA3742004",0.4681
"IA3759031",0.3172
"IA3803094",0.2942
"IA3809067",0.2942
"IA3815042",0.1722
"IA3833013",0.2614
"IA3839052",0.0398
"IA3870073",0.1722
"IA3880001",0.0398
"IA3890097",0.0398
"IA3900301",0.3303
"IA3907092",0.0994
"IA3914081",0.1113
"IA3937016",0.4192
"IA3949000",0.3303
"IA3971026",0.3303
"IA3980040",0.3303
"IA4003012",0.1692
"IA4009016",0.0484
"IA4027010",0.0484
"IA4039071",0.0484
"IA4045090",0.3354
"IA4051002",0.3354
