"pwsid","pws_name","primacy_agency","pop_cat_5","population_served_count","service_connections_count","service_area_type","symbology_field","detailed_facility_report","ewg_report_link","epic_area_mi2"
"CT0830011","Middletown Water Department","CT","10,001-100,000",41019,11001,"Residential Area","System Sourced","https://echo.epa.gov/detailed-facility-report?fid=CT0830011&sys=SDWIS","https://www.ewg.org/tapwater/system.php?pws=CT0830011",18.14
"CT0830021","Connecticut Valley Hospital","CT","501-3,300",2928,70,"Institution","System Sourced","https://echo.epa.gov/detailed-facility-report?fid=CT0830021&sys=SDWIS","https://www.ewg.org/tapwater/system.php?pws=CT0830021",0.8
"CT0860011","Scwa, Montville Division (Mtv)","CT","501-3,300",2570,422,"Residential Area","System Sourced","https://echo.epa.gov/detailed-facility-report?fid=CT0860011&sys=SDWIS","https://www.ewg.org/tapwater/system.php?pws=CT0860011",0.73
"CT0860021","Scwa, Mohegan Division","CT","501-3,300",1428,359,"Residential Area","System Sourced","https://echo.epa.gov/detailed-facility-report?fid=CT0860021&sys=SDWIS","https://www.ewg.org/tapwater/system.php?pws=CT0860021",0.74
"CT0860031","Oakdale Heights Association, Inc","CT","501-3,300",876,219,"Residential Area","System Sourced","https://echo.epa.gov/detailed-facility-report?fid=CT0860031&sys=SDWIS","https://www.ewg.org/tapwater/system.php?pws=CT0860031",0.29
"CT0860041","Kitemaug Orchard Association, Inc.","CT","<=500",490,118,"Residential Area","System Sourced","https://echo.epa.gov/detailed-facility-report?fid=CT0860041&sys=SDWIS","https://www.ewg.org/tapwater/system.php?pws=CT0860041",0.32
"CT0860051","Deer Run Supply","CT","<=500",84,21,"Residential Area","System Sourced","https://echo.epa.gov/detailed-facility-report?fid=CT0860051&sys=SDWIS","https://www.ewg.org/tapwater/system.php?pws=CT0860051",0.06
"CT0860081","Scwa, Chesterfield Division","CT","501-3,300",524,131,"Residential Area","System Sourced","https://echo.epa.gov/detailed-facility-report?fid=CT0860081&sys=SDWIS","https://www.ewg.org/tapwater/system.php?pws=CT0860081",0.25
"CT0860091","Lakeside Manor Apartments","CT","<=500",72,24,"Residential Area","System Sourced","https://echo.epa.gov/detailed-facility-report?fid=CT0860091&sys=SDWIS","https://www.ewg.org/tapwater/system.php?pws=CT0860091",0.06
"CT0860131","Scwa, Hillcrest Division (Hlc)","CT","<=500",450,223,"Residential Area","System Sourced","https://echo.epa.gov/detailed-facility-report?fid=CT0860131&sys=SDWIS","https://www.ewg.org/tapwater/system.php?pws=CT0860131",0.42
"CT0860141","Marina Cove","CT","<=500",70,26,"Mobile Home Park","System Sourced","https://echo.epa.gov/detailed-facility-report?fid=CT0860141&sys=SDWIS","https://www.ewg.org/tapwater/system.php?pws=CT0860141",0.06
"CT0860171","Oakridge Gardens, Llc","CT","<=500",70,28,"Mobile Home Park","System Sourced","https://echo.epa.gov/detailed-facility-report?fid=CT0860171&sys=SDWIS","https://www.ewg.org/tapwater/system.php?pws=CT0860171",0.09
"CT0860191","Independence Village Elderly Housing","CT","<=500",55,11,"Residential Area","System Sourced","https://echo.epa.gov/detailed-facility-report?fid=CT0860191&sys=SDWIS","https://www.ewg.org/tapwater/system.php?pws=CT0860191",0.06
"CT0860211","Oakridge Village","CT","<=500",33,15,"Residential Area","System Sourced","https://echo.epa.gov/detailed-facility-report?fid=CT0860211&sys=SDWIS","https://www.ewg.org/tapwater/system.php?pws=CT0860211",0.11
"CT0861021","Meadows Apartments","CT","<=500",301,114,"Residential Area","System Sourced","https://echo.epa.gov/detailed-facility-report?fid=CT0861021&sys=SDWIS","https://www.ewg.org/tapwater/system.php?pws=CT0861021",0.09
"CT0861051","Mountview Apartments","CT","<=500",105,35,"Residential Area","System Sourced","https://echo.epa.gov/detailed-facility-report?fid=CT0861051&sys=SDWIS","https://www.ewg.org/tapwater/system.php?pws=CT0861051",0.05
"CT0861111","Fox Laurel Mobile Home Park, Llc","CT","<=500",40,16,"Mobile Home Park","System Sourced","https://echo.epa.gov/detailed-facility-report?fid=CT0861111&sys=SDWIS","https://www.ewg.org/tapwater/system.php?pws=CT0861111",0.08
"CT0861251","St. Thomas More School-Main System","CT","<=500",270,27,"School","System Sourced","https://echo.epa.gov/detailed-facility-report?fid=CT0861251&sys=SDWIS","https://www.ewg.org/tapwater/system.php?pws=CT0861251",0.13
"CT0864011","Montville Water Supply","CT","501-3,300",1300,468,"Residential Area","System Sourced","https://echo.epa.gov/detailed-facility-report?fid=CT0864011&sys=SDWIS","https://www.ewg.org/tapwater/system.php?pws=CT0864011",2.83
"CT0866301","Freedom Village Elderly Housing","CT","<=500",43,41,"Residential Area","System Sourced","https://echo.epa.gov/detailed-facility-report?fid=CT0866301&sys=SDWIS","https://www.ewg.org/tapwater/system.php?pws=CT0866301",0.08
"CT0867071","Thompson Hill Water Co - Beechwood Acres","CT","<=500",77,26,"Residential Area","System Sourced","https://echo.epa.gov/detailed-facility-report?fid=CT0867071&sys=SDWIS","https://www.ewg.org/tapwater/system.php?pws=CT0867071",0.19
"CT0867101","Scwa, Robin Hill Division (Rbn)","CT","<=500",388,98,"Residential Area","System Sourced","https://echo.epa.gov/detailed-facility-report?fid=CT0867101&sys=SDWIS","https://www.ewg.org/tapwater/system.php?pws=CT0867101",0.43
"CT0868011","St. Thomas More School-The Cove","CT","<=500",25,5,"School","System Sourced","https://echo.epa.gov/detailed-facility-report?fid=CT0868011&sys=SDWIS","https://www.ewg.org/tapwater/system.php?pws=CT0868011",0.05
"CT0869011","Scwa, Birchwood Division (Bwd)","CT","<=500",108,39,"Residential Area","System Sourced","https://echo.epa.gov/detailed-facility-report?fid=CT0869011&sys=SDWIS","https://www.ewg.org/tapwater/system.php?pws=CT0869011",0.07
"CT0869121","Scwa, Seven Oaks (Oak)","CT","<=500",26,13,"Residential Area","System Sourced","https://echo.epa.gov/detailed-facility-report?fid=CT0869121&sys=SDWIS","https://www.ewg.org/tapwater/system.php?pws=CT0869121",0.13
"CT0878011","Breezy Knoll Association","CT","<=500",100,25,"Residential Area","System Sourced","https://echo.epa.gov/detailed-facility-report?fid=CT0878011&sys=SDWIS","https://www.ewg.org/tapwater/system.php?pws=CT0878011",0.09
"CT0878021","Eldridge Elderly Housing","CT","<=500",40,21,"Other Residential","System Sourced","https://echo.epa.gov/detailed-facility-report?fid=CT0878021&sys=SDWIS","https://www.ewg.org/tapwater/system.php?pws=CT0878021",0.07
"CT0880011","Ctwc - Naugatuck Region-Central System","CT","10,001-100,000",22735,10281,"Residential Area","System Sourced","https://echo.epa.gov/detailed-facility-report?fid=CT0880011&sys=SDWIS","https://www.ewg.org/tapwater/system.php?pws=CT0880011",18.61
"CT0880031","Idleview Mobile Home Park","CT","<=500",138,58,"Mobile Home Park","System Sourced","https://echo.epa.gov/detailed-facility-report?fid=CT0880031&sys=SDWIS","https://www.ewg.org/tapwater/system.php?pws=CT0880031",0.12
"CT0890011","New Britain Water Department","CT","10,001-100,000",73534,17037,"Residential Area","System Sourced","https://echo.epa.gov/detailed-facility-report?fid=CT0890011&sys=SDWIS","https://www.ewg.org/tapwater/system.php?pws=CT0890011",18.41
"CT0900011","Aquarion-New Canaan","CT","10,001-100,000",10097,3742,"Residential Area","Modeled","https://echo.epa.gov/detailed-facility-report?fid=CT0900011&sys=SDWIS","https://www.ewg.org/tapwater/system.php?pws=CT0900011",0.32
"CT0910011","Aquarion-Ball Pond","CT","501-3,300",629,213,"Residential Area","System Sourced","https://echo.epa.gov/detailed-facility-report?fid=CT0910011&sys=SDWIS","https://www.ewg.org/tapwater/system.php?pws=CT0910011",0.45
"CT0910021","Aquarion-Fieldstone Ridge","CT","<=500",84,29,"Residential Area","System Sourced","https://echo.epa.gov/detailed-facility-report?fid=CT0910021&sys=SDWIS","https://www.ewg.org/tapwater/system.php?pws=CT0910021",0.15
"CT0910031","Aquarion-Oakwood Acres","CT","<=500",286,99,"Residential Area","System Sourced","https://echo.epa.gov/detailed-facility-report?fid=CT0910031&sys=SDWIS","https://www.ewg.org/tapwater/system.php?pws=CT0910031",0.38
"CT0910041","Aquarion-Possum Ridge","CT","<=500",307,106,"Residential Area","System Sourced","https://echo.epa.gov/detailed-facility-report?fid=CT0910041&sys=SDWIS","https://www.ewg.org/tapwater/system.php?pws=CT0910041",0.41
"CT0910081","Knollcrest Tax District","CT","<=500",356,89,"Residential Area","System Sourced","https://echo.epa.gov/detailed-facility-report?fid=CT0910081&sys=SDWIS","https://www.ewg.org/tapwater/system.php?pws=CT0910081",0.21
"CT0910591","Candlewood Knolls Water Authority","CT","501-3,300",524,145,"Residential Area","System Sourced","https://echo.epa.gov/detailed-facility-report?fid=CT0910591&sys=SDWIS","https://www.ewg.org/tapwater/system.php?pws=CT0910591",0.32
"CT0911061","Aquarion-Interlaken","CT","<=500",64,18,"Residential Area","System Sourced","https://echo.epa.gov/detailed-facility-report?fid=CT0911061&sys=SDWIS","https://www.ewg.org/tapwater/system.php?pws=CT0911061",0.09
"CT0911091","Aquarion-Birches","CT","<=500",66,1,"Residential Area","System Sourced","https://echo.epa.gov/detailed-facility-report?fid=CT0911091&sys=SDWIS","https://www.ewg.org/tapwater/system.php?pws=CT0911091",0.05
"CT0915221","Aquarion-New Fairfield","CT","<=500",406,73,"Residential Area","System Sourced","https://echo.epa.gov/detailed-facility-report?fid=CT0915221&sys=SDWIS","https://www.ewg.org/tapwater/system.php?pws=CT0915221",0.11
"CT0920011","Aquarion-New Hartford","CT","501-3,300",1872,550,"Residential Area","System Sourced","https://echo.epa.gov/detailed-facility-report?fid=CT0920011&sys=SDWIS","https://www.ewg.org/tapwater/system.php?pws=CT0920011",1.54
"CT0920041","Little Brook Rd Property Owners Assn","CT","<=500",64,16,"Residential Area","System Sourced","https://echo.epa.gov/detailed-facility-report?fid=CT0920041&sys=SDWIS","https://www.ewg.org/tapwater/system.php?pws=CT0920041",0.15
"CT0930011","Regional Water Authority","CT",">100,000",418900,115707,"Residential Area","System Sourced","https://echo.epa.gov/detailed-facility-report?fid=CT0930011&sys=SDWIS","https://www.ewg.org/tapwater/system.php?pws=CT0930011",168.12
"CT0950011","New London Dept. Of Public Utilities","CT","10,001-100,000",27620,7027,"Residential Area","System Sourced","https://echo.epa.gov/detailed-facility-report?fid=CT0950011&sys=SDWIS","https://www.ewg.org/tapwater/system.php?pws=CT0950011",5.89
"CT0960011","Aquarion-New Milford Regional","CT","10,001-100,000",12934,4826,"Residential Area","System Sourced","https://echo.epa.gov/detailed-facility-report?fid=CT0960011&sys=SDWIS","https://www.ewg.org/tapwater/system.php?pws=CT0960011",11.08
"CT0960031","Sunny Valley Tax District","CT","<=500",500,111,"Residential Area","System Sourced","https://echo.epa.gov/detailed-facility-report?fid=CT0960031&sys=SDWIS","https://www.ewg.org/tapwater/system.php?pws=CT0960031",0.28
"CT0960061","Birch Groves Association, Inc","CT","<=500",300,75,"Residential Area","System Sourced","https://echo.epa.gov/detailed-facility-report?fid=CT0960061&sys=SDWIS","https://www.ewg.org/tapwater/system.php?pws=CT0960061",0.26
"CT0960071","Clc Owners Corporation","CT","501-3,300",736,182,"Residential Area","System Sourced","https://echo.epa.gov/detailed-facility-report?fid=CT0960071&sys=SDWIS","https://www.ewg.org/tapwater/system.php?pws=CT0960071",0.49
"CT0960091","Candlewood Trails Association, Inc.","CT","<=500",312,77,"Residential Area","System Sourced","https://echo.epa.gov/detailed-facility-report?fid=CT0960091&sys=SDWIS","https://www.ewg.org/tapwater/system.php?pws=CT0960091",0.24
"CT0960101","Aquarion-Carmen Hill","CT","<=500",322,124,"Residential Area","System Sourced","https://echo.epa.gov/detailed-facility-report?fid=CT0960101&sys=SDWIS","https://www.ewg.org/tapwater/system.php?pws=CT0960101",0.51
"CT0960141","Aquarion-Forest Hills","CT","<=500",265,102,"Residential Area","System Sourced","https://echo.epa.gov/detailed-facility-report?fid=CT0960141&sys=SDWIS","https://www.ewg.org/tapwater/system.php?pws=CT0960141",0.29
"CT0960151","Candle Hill Mobile Home Park","CT","<=500",233,89,"Mobile Home Park","System Sourced","https://echo.epa.gov/detailed-facility-report?fid=CT0960151&sys=SDWIS","https://www.ewg.org/tapwater/system.php?pws=CT0960151",0.11
"CT0960161","Aquarion-Dean Heights","CT","<=500",162,62,"Residential Area","System Sourced","https://echo.epa.gov/detailed-facility-report?fid=CT0960161&sys=SDWIS","https://www.ewg.org/tapwater/system.php?pws=CT0960161",0.2
"CT0960171","Lillinonah Park Estates Homeowners Assn","CT","<=500",128,32,"Residential Area","System Sourced","https://echo.epa.gov/detailed-facility-report?fid=CT0960171&sys=SDWIS","https://www.ewg.org/tapwater/system.php?pws=CT0960171",0.19
"CT0960191","Old Farms Condominium Association Inc","CT","<=500",285,95,"Residential Area","System Sourced","https://echo.epa.gov/detailed-facility-report?fid=CT0960191&sys=SDWIS","https://www.ewg.org/tapwater/system.php?pws=CT0960191",0.17
"CT0960201","Aquarion-Meadowbrook","CT","<=500",396,141,"Residential Area","System Sourced","https://echo.epa.gov/detailed-facility-report?fid=CT0960201&sys=SDWIS","https://www.ewg.org/tapwater/system.php?pws=CT0960201",0.5
"CT0960211","Candlewood Springs Property Owners Assn","CT","<=500",148,37,"Residential Area","System Sourced","https://echo.epa.gov/detailed-facility-report?fid=CT0960211&sys=SDWIS","https://www.ewg.org/tapwater/system.php?pws=CT0960211",0.1
"CT0960301","Aquarion-Pleasant View","CT","<=500",0,90,"Residential Area","System Sourced","https://echo.epa.gov/detailed-facility-report?fid=CT0960301&sys=SDWIS","https://www.ewg.org/tapwater/system.php?pws=CT0960301",0.58
"CT0968011","Aquarion-Twin Oaks","CT","<=500",152,57,"Institution","System Sourced","https://echo.epa.gov/detailed-facility-report?fid=CT0968011&sys=SDWIS","https://www.ewg.org/tapwater/system.php?pws=CT0968011",0.13
"CT0969361","Aquarion-Park Glen","CT","<=500",37,18,"Residential Area","System Sourced","https://echo.epa.gov/detailed-facility-report?fid=CT0969361&sys=SDWIS","https://www.ewg.org/tapwater/system.php?pws=CT0969361",0.11
"CT0970011","Aquarion-Newtown Regional","CT","3,301-10,000",6054,1947,"Residential Area","System Sourced","https://echo.epa.gov/detailed-facility-report?fid=CT0970011&sys=SDWIS","https://www.ewg.org/tapwater/system.php?pws=CT0970011",0.04
"CT0970021","Fairfield Hills","CT","501-3,300",2610,22,"Residential Area","Modeled","https://echo.epa.gov/detailed-facility-report?fid=CT0970021&sys=SDWIS","https://www.ewg.org/tapwater/system.php?pws=CT0970021",0.45
"CT0970071","55 Sugar Street","CT","<=500",158,62,"Mobile Home Park","System Sourced","https://echo.epa.gov/detailed-facility-report?fid=CT0970071&sys=SDWIS","https://www.ewg.org/tapwater/system.php?pws=CT0970071",0.07
"CT0971011","Stone Bridge Center For Health & Rehab","CT","501-3,300",504,2,"Other Residential","System Sourced","https://echo.epa.gov/detailed-facility-report?fid=CT0971011&sys=SDWIS","https://www.ewg.org/tapwater/system.php?pws=CT0971011",0.12
"CT0980011","Aquarion-Norfolk","CT","501-3,300",913,424,"Residential Area","System Sourced","https://echo.epa.gov/detailed-facility-report?fid=CT0980011&sys=SDWIS","https://www.ewg.org/tapwater/system.php?pws=CT0980011",2.32
"CT0990011","Blue Trails Water Association","CT","<=500",228,56,"Residential Area","System Sourced","https://echo.epa.gov/detailed-facility-report?fid=CT0990011&sys=SDWIS","https://www.ewg.org/tapwater/system.php?pws=CT0990011",0.24
"CT0990031","Northford Glen Condominium Association","CT","<=500",84,21,"Residential Area","System Sourced","https://echo.epa.gov/detailed-facility-report?fid=CT0990031&sys=SDWIS","https://www.ewg.org/tapwater/system.php?pws=CT0990031",0.06
"CT1000011","Aquarion-North Canaan","CT","501-3,300",1481,749,"Residential Area","System Sourced","https://echo.epa.gov/detailed-facility-report?fid=CT1000011&sys=SDWIS","https://www.ewg.org/tapwater/system.php?pws=CT1000011",2.15
"CT1020011","Scwa, Cedar Ridge Division","CT","<=500",370,123,"Residential Area","System Sourced","https://echo.epa.gov/detailed-facility-report?fid=CT1020011&sys=SDWIS","https://www.ewg.org/tapwater/system.php?pws=CT1020011",0.21
"CT1020021","Scwa, North Stonington Division (Nst)","CT","501-3,300",1860,220,"Residential Area","System Sourced","https://echo.epa.gov/detailed-facility-report?fid=CT1020021&sys=SDWIS","https://www.ewg.org/tapwater/system.php?pws=CT1020021",0.78
"CT1021001","Northstone Gardens","CT","<=500",79,32,"Mobile Home Park","System Sourced","https://echo.epa.gov/detailed-facility-report?fid=CT1021001&sys=SDWIS","https://www.ewg.org/tapwater/system.php?pws=CT1021001",0.08
"CT1030011","Norwalk First Taxing District","CT","10,001-100,000",40256,11042,"Residential Area","System Sourced","https://echo.epa.gov/detailed-facility-report?fid=CT1030011&sys=SDWIS","https://www.ewg.org/tapwater/system.php?pws=CT1030011",13.47
"CT1030021","South Norwalk Electric & Water","CT","10,001-100,000",42000,9682,"Residential Area","System Sourced","https://echo.epa.gov/detailed-facility-report?fid=CT1030021&sys=SDWIS","https://www.ewg.org/tapwater/system.php?pws=CT1030021",12.25
"CT1040011","Norwich Public Utilities","CT","10,001-100,000",36163,12846,"Residential Area","System Sourced","https://echo.epa.gov/detailed-facility-report?fid=CT1040011&sys=SDWIS","https://www.ewg.org/tapwater/system.php?pws=CT1040011",18.9
"CT1040091","Sunny Waters Mobile Home Park","CT","<=500",303,121,"Mobile Home Park","System Sourced","https://echo.epa.gov/detailed-facility-report?fid=CT1040091&sys=SDWIS","https://www.ewg.org/tapwater/system.php?pws=CT1040091",0.14
"CT1041001","Aquarion-Pleasure Valley","CT","<=500",328,132,"Residential Area","System Sourced","https://echo.epa.gov/detailed-facility-report?fid=CT1041001&sys=SDWIS","https://www.ewg.org/tapwater/system.php?pws=CT1041001",0.1
"CT1050011","Chadwick Homeowners Assn., Inc.","CT","<=500",292,73,"Residential Area","System Sourced","https://echo.epa.gov/detailed-facility-report?fid=CT1050011&sys=SDWIS","https://www.ewg.org/tapwater/system.php?pws=CT1050011",0.34
"CT1050131","Mile Creek Apartments","CT","<=500",60,20,"Residential Area","System Sourced","https://echo.epa.gov/detailed-facility-report?fid=CT1050131&sys=SDWIS","https://www.ewg.org/tapwater/system.php?pws=CT1050131",0.08
"CT1050141","Lyme Regis, Inc.","CT","<=500",32,16,"Residential Area","System Sourced","https://echo.epa.gov/detailed-facility-report?fid=CT1050141&sys=SDWIS","https://www.ewg.org/tapwater/system.php?pws=CT1050141",0.06
"CT1050732","Ctwc - Shoreline Region-Sound View","CT","501-3,300",3028,848,"Residential Area","System Sourced","https://echo.epa.gov/detailed-facility-report?fid=CT1050732&sys=SDWIS","https://www.ewg.org/tapwater/system.php?pws=CT1050732",1.37
"CT1050752","Ctwc - Shoreline Region-Point O Woods","CT","501-3,300",1068,400,"Residential Area","System Sourced","https://echo.epa.gov/detailed-facility-report?fid=CT1050752&sys=SDWIS","https://www.ewg.org/tapwater/system.php?pws=CT1050752",0.61
"CT1051011","Boxwood Condominium Association","CT","<=500",28,12,"Residential Area","System Sourced","https://echo.epa.gov/detailed-facility-report?fid=CT1051011&sys=SDWIS","https://www.ewg.org/tapwater/system.php?pws=CT1051011",0.07
"CT1056221","Lymewood Elderly Housing","CT","<=500",50,25,"Residential Area","System Sourced","https://echo.epa.gov/detailed-facility-report?fid=CT1056221&sys=SDWIS","https://www.ewg.org/tapwater/system.php?pws=CT1056221",0.07
"CT1056231","Laurel Heights Association, Inc.","CT","<=500",45,15,"Residential Area","System Sourced","https://echo.epa.gov/detailed-facility-report?fid=CT1056231&sys=SDWIS","https://www.ewg.org/tapwater/system.php?pws=CT1056231",0.08
"CT1056241","Rye Field Manor Elderly Housing","CT","<=500",78,40,"Residential Area","System Sourced","https://echo.epa.gov/detailed-facility-report?fid=CT1056241&sys=SDWIS","https://www.ewg.org/tapwater/system.php?pws=CT1056241",0.12
"CT1059251","Lyme Academy Apartments,Llc","CT","<=500",48,2,"Other Residential","System Sourced","https://echo.epa.gov/detailed-facility-report?fid=CT1059251&sys=SDWIS","https://www.ewg.org/tapwater/system.php?pws=CT1059251",0.09
"CT1080011","Aquarion-Hawkstone","CT","<=500",120,65,"Residential Area","System Sourced","https://echo.epa.gov/detailed-facility-report?fid=CT1080011&sys=SDWIS","https://www.ewg.org/tapwater/system.php?pws=CT1080011",0.31
"CT1090031","Ctwc - Gallup System","CT","501-3,300",2538,1085,"Residential Area","System Sourced","https://echo.epa.gov/detailed-facility-report?fid=CT1090031&sys=SDWIS","https://www.ewg.org/tapwater/system.php?pws=CT1090031",4
"CT1090081","Ctwc - Plainfield System","CT","501-3,300",1713,676,"Residential Area","System Sourced","https://echo.epa.gov/detailed-facility-report?fid=CT1090081&sys=SDWIS","https://www.ewg.org/tapwater/system.php?pws=CT1090081",2.85
"CT1090161","Westview Terrace Mobile Home Park","CT","<=500",60,24,"Mobile Home Park","System Sourced","https://echo.epa.gov/detailed-facility-report?fid=CT1090161&sys=SDWIS","https://www.ewg.org/tapwater/system.php?pws=CT1090161",0.1
"CT1090221","Moosup Garden Apartments","CT","<=500",270,89,"Residential Area","System Sourced","https://echo.epa.gov/detailed-facility-report?fid=CT1090221&sys=SDWIS","https://www.ewg.org/tapwater/system.php?pws=CT1090221",0.07
"CT1094201","Jumbo Apartments","CT","<=500",35,11,"Residential Area","System Sourced","https://echo.epa.gov/detailed-facility-report?fid=CT1094201&sys=SDWIS","https://www.ewg.org/tapwater/system.php?pws=CT1094201",0.04
"CT1099131","Moosup Manor","CT","<=500",27,1,"Residential Area","System Sourced","https://echo.epa.gov/detailed-facility-report?fid=CT1099131&sys=SDWIS","https://www.ewg.org/tapwater/system.php?pws=CT1099131",0.04
"CT1099141","Arnio Drive Llc","CT","<=500",33,11,"Residential Area","System Sourced","https://echo.epa.gov/detailed-facility-report?fid=CT1099141&sys=SDWIS","https://www.ewg.org/tapwater/system.php?pws=CT1099141",0.04
"CT1099181","Moosup Pond Terrace, Llc","CT","<=500",46,3,"Residential Area","System Sourced","https://echo.epa.gov/detailed-facility-report?fid=CT1099181&sys=SDWIS","https://www.ewg.org/tapwater/system.php?pws=CT1099181",0.04
"CT1100011","Aquarion-Plainville Regional","CT","10,001-100,000",18231,6622,"Residential Area","System Sourced","https://echo.epa.gov/detailed-facility-report?fid=CT1100011&sys=SDWIS","https://www.ewg.org/tapwater/system.php?pws=CT1100011",8.78
"CT1110011","Ctwc - Naugatuck Reg-Terryville System","CT","3,301-10,000",5607,2383,"Residential Area","System Sourced","https://echo.epa.gov/detailed-facility-report?fid=CT1110011&sys=SDWIS","https://www.ewg.org/tapwater/system.php?pws=CT1110011",5.95
"CT1120041","Country Manor","CT","<=500",66,1,"Residential Area","System Sourced","https://echo.epa.gov/detailed-facility-report?fid=CT1120041&sys=SDWIS","https://www.ewg.org/tapwater/system.php?pws=CT1120041",0.05
"CT1120051","Pomfret School","CT","<=500",400,3,"School","System Sourced","https://echo.epa.gov/detailed-facility-report?fid=CT1120051&sys=SDWIS","https://www.ewg.org/tapwater/system.php?pws=CT1120051",0.56
"CT1120061","The Rectory School","CT","<=500",300,16,"School","System Sourced","https://echo.epa.gov/detailed-facility-report?fid=CT1120061&sys=SDWIS","https://www.ewg.org/tapwater/system.php?pws=CT1120061",0.27
"CT1121011","Brookscrossing Apartments","CT","<=500",36,3,"Residential Area","System Sourced","https://echo.epa.gov/detailed-facility-report?fid=CT1121011&sys=SDWIS","https://www.ewg.org/tapwater/system.php?pws=CT1121011",0.04
"CT1121131","Seely - Brown Village","CT","<=500",48,1,"Residential Area","System Sourced","https://echo.epa.gov/detailed-facility-report?fid=CT1121131&sys=SDWIS","https://www.ewg.org/tapwater/system.php?pws=CT1121131",0.06
"CT1130011","Portland Water Department","CT","3,301-10,000",5010,2322,"Residential Area","System Sourced","https://echo.epa.gov/detailed-facility-report?fid=CT1130011&sys=SDWIS","https://www.ewg.org/tapwater/system.php?pws=CT1130011",5.32
"CT1130021","Ctwc - Rivercrest Division","CT","<=500",88,22,"Residential Area","System Sourced","https://echo.epa.gov/detailed-facility-report?fid=CT1130021&sys=SDWIS","https://www.ewg.org/tapwater/system.php?pws=CT1130021",0.16
"CT1140011","Preston Plains Water Company","CT","501-3,300",550,105,"Residential Area","System Sourced","https://echo.epa.gov/detailed-facility-report?fid=CT1140011&sys=SDWIS","https://www.ewg.org/tapwater/system.php?pws=CT1140011",0.6
"CT1140021","Lincoln Park Elderly Housing","CT","<=500",80,11,"Residential Area","System Sourced","https://echo.epa.gov/detailed-facility-report?fid=CT1140021&sys=SDWIS","https://www.ewg.org/tapwater/system.php?pws=CT1140021",0.08
"CT1150031","Harmony Acres Mobile Home Park","CT","<=500",465,154,"Mobile Home Park","System Sourced","https://echo.epa.gov/detailed-facility-report?fid=CT1150031&sys=SDWIS","https://www.ewg.org/tapwater/system.php?pws=CT1150031",0.22
"CT1160011","Putnam Water Pollution Control Authority","CT","3,301-10,000",7300,2230,"Residential Area","System Sourced","https://echo.epa.gov/detailed-facility-report?fid=CT1160011&sys=SDWIS","https://www.ewg.org/tapwater/system.php?pws=CT1160011",4.42
"CT1160021","Matulaitis Nursing Home","CT","<=500",254,2,"Residential Area","System Sourced","https://echo.epa.gov/detailed-facility-report?fid=CT1160021&sys=SDWIS","https://www.ewg.org/tapwater/system.php?pws=CT1160021",0.07
"CT1180011","Aquarion-Ridgefield","CT","3,301-10,000",7476,2814,"Residential Area","System Sourced","https://echo.epa.gov/detailed-facility-report?fid=CT1180011&sys=SDWIS","https://www.ewg.org/tapwater/system.php?pws=CT1180011",10.7
"CT1180021","Aquarion-Ridgefield Knolls","CT","501-3,300",958,223,"Residential Area","System Sourced","https://echo.epa.gov/detailed-facility-report?fid=CT1180021&sys=SDWIS","https://www.ewg.org/tapwater/system.php?pws=CT1180021",0.98
"CT1180041","Aquarion-Scodon","CT","<=500",130,75,"Residential Area","System Sourced","https://echo.epa.gov/detailed-facility-report?fid=CT1180041&sys=SDWIS","https://www.ewg.org/tapwater/system.php?pws=CT1180041",0.46
"CT1180091","Brookview Water Company","CT","<=500",55,23,"Residential Area","System Sourced","https://echo.epa.gov/detailed-facility-report?fid=CT1180091&sys=SDWIS","https://www.ewg.org/tapwater/system.php?pws=CT1180091",0.13
"CT1189161","Aquarion-Mckeon","CT","<=500",67,24,"Residential Area","System Sourced","https://echo.epa.gov/detailed-facility-report?fid=CT1189161&sys=SDWIS","https://www.ewg.org/tapwater/system.php?pws=CT1189161",0.1
"CT1189171","Aquarion-Barnum","CT","<=500",120,47,"Residential Area","System Sourced","https://echo.epa.gov/detailed-facility-report?fid=CT1189171&sys=SDWIS","https://www.ewg.org/tapwater/system.php?pws=CT1189171",0.15
"CT1200071","Bernhardt Meadow","CT","<=500",36,7,"Residential Area","System Sourced","https://echo.epa.gov/detailed-facility-report?fid=CT1200071&sys=SDWIS","https://www.ewg.org/tapwater/system.php?pws=CT1200071",0.08
"CT1210011","Salem Manor Condominiums, System #1","CT","<=500",32,12,"Residential Area","System Sourced","https://echo.epa.gov/detailed-facility-report?fid=CT1210011&sys=SDWIS","https://www.ewg.org/tapwater/system.php?pws=CT1210011",0.05
"CT1210021","Crystal Lake Condominiums","CT","<=500",184,74,"Residential Area","System Sourced","https://echo.epa.gov/detailed-facility-report?fid=CT1210021&sys=SDWIS","https://www.ewg.org/tapwater/system.php?pws=CT1210021",0.1
"CT1219111","Salem Manor Condominiums, System #2","CT","<=500",25,2,"Residential Area","System Sourced","https://echo.epa.gov/detailed-facility-report?fid=CT1219111&sys=SDWIS","https://www.ewg.org/tapwater/system.php?pws=CT1219111",0.06
"CT1219141","Green Village Ii","CT","<=500",96,48,"Residential Area","Modeled","https://echo.epa.gov/detailed-facility-report?fid=CT1219141&sys=SDWIS","https://www.ewg.org/tapwater/system.php?pws=CT1219141",0.33
